"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005930","GO:0005930","axoneme","31/62","111/8256",0.279279279279279,37.1891891891892,33.3888300641375,3.43818936653279e-43,1.10022059729049e-41,3.99434874559174e-42,"ENSG00000133665/ENSG00000122735/ENSG00000186471/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000188596/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000181322/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000215187/ENSG00000162643/ENSG00000159625",31
"GO:0097014","GO:0097014","ciliary plasm","31/62","111/8256",0.279279279279279,37.1891891891892,33.3888300641375,3.43818936653279e-43,1.10022059729049e-41,3.99434874559174e-42,"ENSG00000133665/ENSG00000122735/ENSG00000186471/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000188596/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000181322/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000215187/ENSG00000162643/ENSG00000159625",31
"GO:0005929","GO:0005929","cilium","41/62","394/8256",0.104060913705584,13.8568855411822,22.7469814008245,6.43271188633742e-40,1.37231186908532e-38,4.98217558037072e-39,"ENSG00000133665/ENSG00000153789/ENSG00000122735/ENSG00000186471/ENSG00000185681/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000140057/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000188596/ENSG00000165164/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000183644/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000188817/ENSG00000179902/ENSG00000124237/ENSG00000157330/ENSG00000181322/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473/ENSG00000215187/ENSG00000162643/ENSG00000159625",41
"GO:0031514","GO:0031514","motile cilium","29/62","165/8256",0.175757575757576,23.4041055718475,25.2856944540867,9.71489617632778e-34,1.55438338821244e-32,5.6431858776006e-33,"ENSG00000122735/ENSG00000185681/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000140057/ENSG00000151023/ENSG00000157856/ENSG00000186710/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473/ENSG00000159625",29
"GO:0097729","GO:0097729","9+2 motile cilium","27/62","140/8256",0.192857142857143,25.6811059907834,25.6191088822982,1.94979684052258e-32,2.4957399558689e-31,9.06077907157741e-32,"ENSG00000122735/ENSG00000185681/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000140057/ENSG00000151023/ENSG00000157856/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000163075/ENSG00000111834/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473",27
"GO:0036126","GO:0036126","sperm flagellum","26/62","133/8256",0.195488721804511,26.0315304390007,25.3140364426391,2.45040355587162e-31,2.61376379292973e-30,9.4892643832275e-31,"ENSG00000122735/ENSG00000185681/ENSG00000163060/ENSG00000170788/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000140057/ENSG00000151023/ENSG00000157856/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000215217/ENSG00000145491/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000163075/ENSG00000164675/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000105479/ENSG00000137473",26
"GO:0005879","GO:0005879","axonemal microtubule","13/62","24/8256",0.541666666666667,72.1290322580645,30.3533230198964,1.48151666968721e-22,1.18521333574977e-21,4.30291471780248e-22,"ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000213085/ENSG00000163576/ENSG00000215217/ENSG00000167858/ENSG00000188523/ENSG00000179902/ENSG00000157330/ENSG00000137098/ENSG00000215187",13
"GO:0097545","GO:0097545","axonemal doublet microtubule","13/62","24/8256",0.541666666666667,72.1290322580645,30.3533230198964,1.48151666968721e-22,1.18521333574977e-21,4.30291471780248e-22,"ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000186710/ENSG00000213085/ENSG00000163576/ENSG00000215217/ENSG00000167858/ENSG00000188523/ENSG00000179902/ENSG00000157330/ENSG00000137098",13
"GO:0097649","GO:0097649","A axonemal microtubule","12/62","22/8256",0.545454545454545,72.633431085044,29.2636211829995,6.35820374317614e-21,4.06925039563273e-20,1.47734056727559e-20,"ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000213085/ENSG00000163576/ENSG00000215217/ENSG00000167858/ENSG00000188523/ENSG00000179902/ENSG00000157330/ENSG00000137098",12
"GO:0160110","GO:0160110","axonemal microtubule doublet inner sheath","12/62","22/8256",0.545454545454545,72.633431085044,29.2636211829995,6.35820374317614e-21,4.06925039563273e-20,1.47734056727559e-20,"ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000213085/ENSG00000163576/ENSG00000215217/ENSG00000167858/ENSG00000188523/ENSG00000179902/ENSG00000157330/ENSG00000137098",12
"GO:0005881","GO:0005881","cytoplasmic microtubule","13/62","56/8256",0.232142857142857,30.9124423963134,19.5364372305813,9.39251290481769e-17,5.46473478098484e-16,1.98397090285113e-16,"ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000213085/ENSG00000163576/ENSG00000215217/ENSG00000167858/ENSG00000188523/ENSG00000179902/ENSG00000157330/ENSG00000137098/ENSG00000215187",13
"GO:0005874","GO:0005874","microtubule","19/62","233/8256",0.0815450643776824,10.8586459919701,13.2780176081073,2.55319335334151e-15,1.36170312178214e-14,4.94366054385249e-15,"ENSG00000122735/ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000215217/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000215187/ENSG00000243910",19
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","20/62","378/8256",0.0529100529100529,7.04557091653866,10.4660218087704,1.56677968703399e-12,7.71337692078272e-12,2.80033999578631e-12,"ENSG00000122735/ENSG00000163060/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000270765/ENSG00000213085/ENSG00000163576/ENSG00000171595/ENSG00000215217/ENSG00000115423/ENSG00000167858/ENSG00000188523/ENSG00000152936/ENSG00000179902/ENSG00000157330/ENSG00000158486/ENSG00000137098/ENSG00000215187/ENSG00000243910",20
"GO:0160111","GO:0160111","axonemal A tubule inner sheath","6/62","14/8256",0.428571428571429,57.0691244239631,18.2632427085107,4.01311663354702e-10,1.83456760390721e-09,6.66039412951946e-10,"ENSG00000163060/ENSG00000163263/ENSG00000163576/ENSG00000167858/ENSG00000157330/ENSG00000137098",6
"GO:0005858","GO:0005858","axonemal dynein complex","6/62","15/8256",0.4,53.2645161290323,17.6225604992216,6.64961781323991e-10,2.83717026698236e-09,1.03003411541831e-09,"ENSG00000122735/ENSG00000157856/ENSG00000171595/ENSG00000158486/ENSG00000105479/ENSG00000162643",6
"GO:0030286","GO:0030286","dynein complex","7/62","28/8256",0.25,33.2903225806452,14.8871190560219,9.95241600722061e-10,3.98096640288824e-09,1.44528908082431e-09,"ENSG00000122735/ENSG00000157856/ENSG00000171595/ENSG00000115423/ENSG00000158486/ENSG00000105479/ENSG00000162643",7
"GO:0097228","GO:0097228","sperm principal piece","6/62","35/8256",0.171428571428571,22.8276497695853,11.2560257671631,1.91905269576284e-07,7.22466897228365e-07,2.62291466982392e-07,"ENSG00000163060/ENSG00000140057/ENSG00000151023/ENSG00000213085/ENSG00000105479/ENSG00000137473",6
"GO:0001534","GO:0001534","radial spoke","4/62","11/8256",0.363636363636364,48.4222873900293,13.6895733926061,9.14830215358294e-07,3.25272965460727e-06,1.1809028705358e-06,"ENSG00000170788/ENSG00000145491/ENSG00000111834/ENSG00000164675",4
"GO:0005875","GO:0005875","microtubule associated complex","7/62","76/8256",0.0921052631578947,12.2648556876061,8.58147971946101,1.38743990228048e-06,4.67348177610267e-06,1.6967066528198e-06,"ENSG00000122735/ENSG00000157856/ENSG00000171595/ENSG00000115423/ENSG00000158486/ENSG00000105479/ENSG00000162643",7
"GO:0002177","GO:0002177","manchette","3/62","15/8256",0.2,26.6322580645161,8.64269014484723,0.000172090157377604,0.000550688503608333,0.000199927354479345,"ENSG00000122735/ENSG00000178125/ENSG00000163075",3
"GO:0120293","GO:0120293","dynein axonemal particle","3/62","16/8256",0.1875,24.9677419354839,8.34699030645421,0.000210671270336642,0.000626142903858749,0.00022732105986278,"ENSG00000122735/ENSG00000171595/ENSG00000181322",3
"GO:0097225","GO:0097225","sperm midpiece","4/62","40/8256",0.1,13.3161290322581,6.79173002809611,0.000215236623201445,0.000626142903858749,0.00022732105986278,"ENSG00000118492/ENSG00000151023/ENSG00000213085/ENSG00000105479",4
"GO:0005815","GO:0005815","microtubule organizing center","9/62","309/8256",0.029126213592233,3.87848418415284,4.48588240405853,0.000452847192407595,0.00126009653539505,0.000457477802894718,"ENSG00000153789/ENSG00000122735/ENSG00000178125/ENSG00000270765/ENSG00000226321/ENSG00000215217/ENSG00000163075/ENSG00000137098/ENSG00000152669",9
"GO:0035097","GO:0035097","histone methyltransferase complex","2/62","16/8256",0.125,16.6451612903226,5.44857375320362,0.00622271098686789,0.016593895964981,0.0060244107132182,"ENSG00000133665/ENSG00000170788",2
"GO:0097229","GO:0097229","sperm end piece","2/62","18/8256",0.111111111111111,14.7956989247312,5.09654038957787,0.00785782590820497,0.0201160343250047,0.00730312236202826,"ENSG00000163060/ENSG00000213085",2
"GO:0005814","GO:0005814","centriole","3/62","61/8256",0.0491803278688525,6.54891591750397,3.783597991993,0.0106547412717324,0.0262270554381105,0.00952172739246776,"ENSG00000153789/ENSG00000226321/ENSG00000163075",3
"GO:1990234","GO:1990234","transferase complex","6/62","274/8256",0.0218978102189781,2.91594066399812,2.80548453110605,0.0164184887862853,0.0389178993452689,0.0141291358127334,"ENSG00000133665/ENSG00000164287/ENSG00000186471/ENSG00000170788/ENSG00000136918/ENSG00000152669",6
"GO:0035869","GO:0035869","ciliary transition zone","2/62","28/8256",0.0714285714285714,9.51152073732719,3.92414855094512,0.0185026233442694,0.0409746534784144,0.0148758400020525,"ENSG00000153789/ENSG00000145491",2
"GO:0001669","GO:0001669","acrosomal vesicle","3/62","75/8256",0.04,5.32645161290323,3.27390211155298,0.0185666398574065,0.0409746534784144,0.0148758400020525,"ENSG00000151023/ENSG00000164675/ENSG00000137098",3
"GO:0036064","GO:0036064","ciliary basal body","3/62","77/8256",0.038961038961039,5.18810222036029,3.21158140972508,0.0199025977610066,0.0424588752234807,0.0154146864188698,"ENSG00000153789/ENSG00000270765/ENSG00000215217",3
"GO:0034708","GO:0034708","methyltransferase complex","2/62","30/8256",0.0666666666666667,8.87741935483871,3.75972988330096,0.0210897042631602,0.0435400346078146,0.0158072011237603,"ENSG00000133665/ENSG00000170788",2
