"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","GO:0031012","extracellular matrix","100/519","359/8256",0.278551532033426,4.43106252113288,17.2147494602797,4.05242452422272e-40,1.23340863213194e-37,1.23340863213194e-37,"ENSG00000140092/ENSG00000129038/ENSG00000136859/ENSG00000113140/ENSG00000166923/ENSG00000136378/ENSG00000083782/ENSG00000106823/ENSG00000158270/ENSG00000111799/ENSG00000108821/ENSG00000139330/ENSG00000151388/ENSG00000038427/ENSG00000174807/ENSG00000106624/ENSG00000113578/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000162745/ENSG00000137573/ENSG00000171502/ENSG00000064205/ENSG00000179954/ENSG00000049192/ENSG00000105329/ENSG00000152377/ENSG00000107796/ENSG00000087116/ENSG00000060718/ENSG00000149968/ENSG00000164692/ENSG00000117122/ENSG00000154736/ENSG00000197859/ENSG00000118523/ENSG00000140945/ENSG00000101680/ENSG00000101955/ENSG00000123342/ENSG00000104415/ENSG00000206384/ENSG00000115380/ENSG00000106819/ENSG00000106366/ENSG00000140682/ENSG00000173376/ENSG00000166147/ENSG00000123500/ENSG00000099953/ENSG00000134013/ENSG00000119699/ENSG00000077942/ENSG00000163359/ENSG00000145423/ENSG00000124491/ENSG00000130508/ENSG00000185585/ENSG00000149131/ENSG00000106538/ENSG00000137745/ENSG00000185070/ENSG00000143631/ENSG00000127083/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000183287/ENSG00000197614/ENSG00000105989/ENSG00000157227/ENSG00000164932/ENSG00000182492/ENSG00000135862/ENSG00000138316/ENSG00000162804/ENSG00000132386/ENSG00000100234/ENSG00000188783/ENSG00000164176/ENSG00000011465/ENSG00000091986/ENSG00000138080/ENSG00000196569/ENSG00000170558/ENSG00000204262/ENSG00000101825/ENSG00000130635/ENSG00000186340/ENSG00000133110/ENSG00000112769/ENSG00000163520/ENSG00000117385/ENSG00000105664/ENSG00000144810/ENSG00000107562",100
"GO:0030312","GO:0030312","external encapsulating structure","100/519","361/8256",0.277008310249307,4.40651369830112,17.1412935632212,6.9684103510279e-40,1.23340863213194e-37,1.23340863213194e-37,"ENSG00000140092/ENSG00000129038/ENSG00000136859/ENSG00000113140/ENSG00000166923/ENSG00000136378/ENSG00000083782/ENSG00000106823/ENSG00000158270/ENSG00000111799/ENSG00000108821/ENSG00000139330/ENSG00000151388/ENSG00000038427/ENSG00000174807/ENSG00000106624/ENSG00000113578/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000162745/ENSG00000137573/ENSG00000171502/ENSG00000064205/ENSG00000179954/ENSG00000049192/ENSG00000105329/ENSG00000152377/ENSG00000107796/ENSG00000087116/ENSG00000060718/ENSG00000149968/ENSG00000164692/ENSG00000117122/ENSG00000154736/ENSG00000197859/ENSG00000118523/ENSG00000140945/ENSG00000101680/ENSG00000101955/ENSG00000123342/ENSG00000104415/ENSG00000206384/ENSG00000115380/ENSG00000106819/ENSG00000106366/ENSG00000140682/ENSG00000173376/ENSG00000166147/ENSG00000123500/ENSG00000099953/ENSG00000134013/ENSG00000119699/ENSG00000077942/ENSG00000163359/ENSG00000145423/ENSG00000124491/ENSG00000130508/ENSG00000185585/ENSG00000149131/ENSG00000106538/ENSG00000137745/ENSG00000185070/ENSG00000143631/ENSG00000127083/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000183287/ENSG00000197614/ENSG00000105989/ENSG00000157227/ENSG00000164932/ENSG00000182492/ENSG00000135862/ENSG00000138316/ENSG00000162804/ENSG00000132386/ENSG00000100234/ENSG00000188783/ENSG00000164176/ENSG00000011465/ENSG00000091986/ENSG00000138080/ENSG00000196569/ENSG00000170558/ENSG00000204262/ENSG00000101825/ENSG00000130635/ENSG00000186340/ENSG00000133110/ENSG00000112769/ENSG00000163520/ENSG00000117385/ENSG00000105664/ENSG00000144810/ENSG00000107562",100
"GO:0005614","GO:0005614","interstitial matrix","37/519","74/8256",0.5,7.95375722543353,15.5618622166057,1.99951140183601e-25,2.35942345416649e-23,2.35942345416649e-23,"ENSG00000140092/ENSG00000129038/ENSG00000083782/ENSG00000106823/ENSG00000111799/ENSG00000108821/ENSG00000139330/ENSG00000038427/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000119681/ENSG00000080573/ENSG00000152377/ENSG00000060718/ENSG00000164692/ENSG00000117122/ENSG00000106819/ENSG00000166147/ENSG00000123500/ENSG00000077942/ENSG00000163359/ENSG00000127083/ENSG00000142156/ENSG00000142798/ENSG00000197614/ENSG00000182492/ENSG00000188783/ENSG00000011465/ENSG00000091986/ENSG00000138080/ENSG00000204262/ENSG00000130635/ENSG00000186340/ENSG00000163520/ENSG00000105664/ENSG00000144810",37
"GO:0140151","GO:0140151","solid phase of interstitial matrix","28/519","50/8256",0.56,8.90820809248555,14.526241288309,2.71587870997134e-21,2.40355265832463e-19,2.40355265832463e-19,"ENSG00000140092/ENSG00000129038/ENSG00000111799/ENSG00000108821/ENSG00000038427/ENSG00000115414/ENSG00000168542/ENSG00000119681/ENSG00000080573/ENSG00000060718/ENSG00000164692/ENSG00000117122/ENSG00000166147/ENSG00000123500/ENSG00000077942/ENSG00000163359/ENSG00000142156/ENSG00000142798/ENSG00000197614/ENSG00000182492/ENSG00000011465/ENSG00000138080/ENSG00000204262/ENSG00000130635/ENSG00000186340/ENSG00000163520/ENSG00000105664/ENSG00000144810",28
"GO:0140149","GO:0140149","non-collagenous component of interstitial matrix","19/519","31/8256",0.612903225806452,9.74976692149916,12.6405303939231,7.4791545622379e-16,5.29524143006444e-14,5.29524143006444e-14,"ENSG00000140092/ENSG00000129038/ENSG00000038427/ENSG00000115414/ENSG00000119681/ENSG00000117122/ENSG00000166147/ENSG00000077942/ENSG00000163359/ENSG00000142156/ENSG00000142798/ENSG00000197614/ENSG00000182492/ENSG00000011465/ENSG00000138080/ENSG00000186340/ENSG00000163520/ENSG00000105664/ENSG00000144810",19
"GO:0071953","GO:0071953","elastic fiber","16/519","26/8256",0.615384615384615,9.78923966207203,11.625027328195,1.40487300847723e-13,8.28875075001568e-12,8.28875075001568e-12,"ENSG00000140092/ENSG00000129038/ENSG00000038427/ENSG00000119681/ENSG00000117122/ENSG00000166147/ENSG00000077942/ENSG00000163359/ENSG00000142156/ENSG00000142798/ENSG00000197614/ENSG00000182492/ENSG00000011465/ENSG00000138080/ENSG00000163520/ENSG00000144810",16
"GO:0001527","GO:0001527","microfibril","12/519","20/8256",0.6,9.54450867052023,9.90831586627248,2.66687377441651e-10,1.3486761659192e-08,1.3486761659192e-08,"ENSG00000129038/ENSG00000038427/ENSG00000119681/ENSG00000117122/ENSG00000166147/ENSG00000163359/ENSG00000142156/ENSG00000142798/ENSG00000197614/ENSG00000011465/ENSG00000138080/ENSG00000163520",12
"GO:0030055","GO:0030055","cell-substrate junction","37/519","190/8256",0.194736842105263,3.09777912990569,7.57640830360179,4.18700040482591e-10,1.81829838066684e-08,1.81829838066684e-08,"ENSG00000099250/ENSG00000077943/ENSG00000259207/ENSG00000078098/ENSG00000153071/ENSG00000073712/ENSG00000204381/ENSG00000244486/ENSG00000122861/ENSG00000165801/ENSG00000162614/ENSG00000196549/ENSG00000188158/ENSG00000137809/ENSG00000086991/ENSG00000140945/ENSG00000154096/ENSG00000130176/ENSG00000128591/ENSG00000140682/ENSG00000031081/ENSG00000171914/ENSG00000131016/ENSG00000197635/ENSG00000162733/ENSG00000213949/ENSG00000002586/ENSG00000164741/ENSG00000185070/ENSG00000142798/ENSG00000123384/ENSG00000157227/ENSG00000138639/ENSG00000197702/ENSG00000079819/ENSG00000173517/ENSG00000170558",37
"GO:0005925","GO:0005925","focal adhesion","36/519","182/8256",0.197802197802198,3.14654131995172,7.58379340540938,4.62279249322078e-10,1.81829838066684e-08,1.81829838066684e-08,"ENSG00000099250/ENSG00000077943/ENSG00000259207/ENSG00000078098/ENSG00000153071/ENSG00000073712/ENSG00000204381/ENSG00000244486/ENSG00000122861/ENSG00000162614/ENSG00000196549/ENSG00000188158/ENSG00000137809/ENSG00000086991/ENSG00000140945/ENSG00000154096/ENSG00000130176/ENSG00000128591/ENSG00000140682/ENSG00000031081/ENSG00000171914/ENSG00000131016/ENSG00000197635/ENSG00000162733/ENSG00000213949/ENSG00000002586/ENSG00000164741/ENSG00000185070/ENSG00000142798/ENSG00000123384/ENSG00000157227/ENSG00000138639/ENSG00000197702/ENSG00000079819/ENSG00000173517/ENSG00000170558",36
"GO:0005604","GO:0005604","basement membrane","21/519","71/8256",0.295774647887324,4.70503948546772,8.12023489849169,1.1148004547625e-09,3.94639360985923e-08,3.94639360985923e-08,"ENSG00000129038/ENSG00000113140/ENSG00000115414/ENSG00000171502/ENSG00000107796/ENSG00000101680/ENSG00000166147/ENSG00000134013/ENSG00000077942/ENSG00000130508/ENSG00000142156/ENSG00000142798/ENSG00000135862/ENSG00000132386/ENSG00000100234/ENSG00000091986/ENSG00000196569/ENSG00000130635/ENSG00000186340/ENSG00000112769/ENSG00000144810",21
