"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140375","GO:0140375","immune receptor activity","62/672","108/8044",0.574074074074074,6.87180335097002,18.5474222080935,2.0734960967683e-39,1.27520009951251e-36,1.27520009951251e-36,"ENSG00000172215/ENSG00000100385/ENSG00000186818/ENSG00000241106/ENSG00000187116/ENSG00000162894/ENSG00000171049/ENSG00000186810/ENSG00000143226/ENSG00000180871/ENSG00000104921/ENSG00000203747/ENSG00000134460/ENSG00000115604/ENSG00000167618/ENSG00000134470/ENSG00000196735/ENSG00000113302/ENSG00000147168/ENSG00000124334/ENSG00000171051/ENSG00000163606/ENSG00000189013/ENSG00000197405/ENSG00000187474/ENSG00000105609/ENSG00000232629/ENSG00000167286/ENSG00000170128/ENSG00000183813/ENSG00000163823/ENSG00000204577/ENSG00000019582/ENSG00000150045/ENSG00000104972/ENSG00000158869/ENSG00000121966/ENSG00000198851/ENSG00000237541/ENSG00000117322/ENSG00000240403/ENSG00000179934/ENSG00000103522/ENSG00000179344/ENSG00000096996/ENSG00000160791/ENSG00000162594/ENSG00000160683/ENSG00000239961/ENSG00000186431/ENSG00000167633/ENSG00000131042/ENSG00000134545/ENSG00000126353/ENSG00000104998/ENSG00000115590/ENSG00000164509/ENSG00000160712/ENSG00000204475/ENSG00000150337/ENSG00000203710/ENSG00000244482",62
"GO:0003823","GO:0003823","antigen binding","31/672","41/8044",0.75609756097561,9.05066782810685,15.6026524787363,9.95522260225716e-26,3.06123095019408e-23,3.06123095019408e-23,"ENSG00000168394/ENSG00000231925/ENSG00000241106/ENSG00000198502/ENSG00000198053/ENSG00000196735/ENSG00000206503/ENSG00000117090/ENSG00000242574/ENSG00000232629/ENSG00000204592/ENSG00000196126/ENSG00000089692/ENSG00000204525/ENSG00000158488/ENSG00000204632/ENSG00000158485/ENSG00000237541/ENSG00000090659/ENSG00000223865/ENSG00000125730/ENSG00000179344/ENSG00000234745/ENSG00000085265/ENSG00000128322/ENSG00000204287/ENSG00000158481/ENSG00000204267/ENSG00000204642/ENSG00000132465/ENSG00000182866",31
"GO:0042605","GO:0042605","peptide antigen binding","20/672","24/8044",0.833333333333333,9.97519841269841,13.2942396243491,1.62434411904284e-18,3.32990544403782e-16,3.32990544403782e-16,"ENSG00000168394/ENSG00000231925/ENSG00000241106/ENSG00000198502/ENSG00000196735/ENSG00000206503/ENSG00000242574/ENSG00000232629/ENSG00000204592/ENSG00000196126/ENSG00000204525/ENSG00000204632/ENSG00000237541/ENSG00000090659/ENSG00000223865/ENSG00000179344/ENSG00000234745/ENSG00000204287/ENSG00000204267/ENSG00000204642",20
"GO:0005126","GO:0005126","cytokine receptor binding","49/672","146/8044",0.335616438356164,4.01740867579909,11.1084382579158,2.50943929222774e-18,3.85826291180015e-16,3.85826291180015e-16,"ENSG00000125657/ENSG00000125726/ENSG00000108688/ENSG00000169248/ENSG00000186074/ENSG00000226979/ENSG00000150782/ENSG00000184371/ENSG00000113302/ENSG00000172156/ENSG00000102524/ENSG00000182393/ENSG00000117560/ENSG00000275385/ENSG00000271503/ENSG00000197272/ENSG00000108691/ENSG00000156234/ENSG00000232810/ENSG00000138684/ENSG00000115415/ENSG00000168811/ENSG00000110944/ENSG00000274736/ENSG00000181374/ENSG00000099985/ENSG00000169245/ENSG00000131142/ENSG00000125730/ENSG00000108702/ENSG00000096996/ENSG00000102962/ENSG00000162594/ENSG00000105639/ENSG00000104432/ENSG00000172724/ENSG00000035720/ENSG00000111537/ENSG00000227507/ENSG00000138755/ENSG00000151651/ENSG00000164400/ENSG00000125538/ENSG00000106178/ENSG00000102970/ENSG00000003402/ENSG00000160712/ENSG00000185338/ENSG00000169194",49
"GO:0023023","GO:0023023","MHC protein complex binding","16/672","19/8044",0.842105263157895,10.0802005012531,11.963292627164,3.63714851600246e-15,4.47369267468303e-13,4.47369267468303e-13,"ENSG00000231925/ENSG00000241106/ENSG00000198502/ENSG00000156738/ENSG00000196735/ENSG00000242574/ENSG00000232629/ENSG00000196126/ENSG00000019582/ENSG00000104972/ENSG00000237541/ENSG00000223865/ENSG00000179344/ENSG00000131042/ENSG00000134545/ENSG00000204287",16
"GO:0038187","GO:0038187","pattern recognition receptor activity","21/672","37/8044",0.567567567567568,6.79391891891892,10.6644722550765,6.08028079457779e-14,5.5334428965026e-12,5.5334428965026e-12,"ENSG00000167207/ENSG00000038945/ENSG00000019169/ENSG00000101916/ENSG00000104921/ENSG00000163568/ENSG00000187912/ENSG00000166523/ENSG00000198178/ENSG00000172243/ENSG00000174125/ENSG00000113088/ENSG00000091592/ENSG00000090659/ENSG00000115267/ENSG00000132514/ENSG00000166527/ENSG00000085265/ENSG00000174130/ENSG00000136869/ENSG00000205846",21
"GO:0005125","GO:0005125","cytokine activity","44/672","152/8044",0.289473684210526,3.46506892230576,9.26314217304206,6.29822768707613e-14,5.5334428965026e-12,5.5334428965026e-12,"ENSG00000125657/ENSG00000108688/ENSG00000169248/ENSG00000226979/ENSG00000150782/ENSG00000135925/ENSG00000184371/ENSG00000113302/ENSG00000172156/ENSG00000102524/ENSG00000182393/ENSG00000117560/ENSG00000275385/ENSG00000271503/ENSG00000008517/ENSG00000197272/ENSG00000108691/ENSG00000125084/ENSG00000156234/ENSG00000232810/ENSG00000138684/ENSG00000168811/ENSG00000110944/ENSG00000274736/ENSG00000169884/ENSG00000181374/ENSG00000099985/ENSG00000169245/ENSG00000131142/ENSG00000125730/ENSG00000108702/ENSG00000102962/ENSG00000118785/ENSG00000104432/ENSG00000172724/ENSG00000111537/ENSG00000090554/ENSG00000227507/ENSG00000138755/ENSG00000164400/ENSG00000125538/ENSG00000106178/ENSG00000102970/ENSG00000169194",44
"GO:0023026","GO:0023026","MHC class II protein complex binding","12/672","14/8044",0.857142857142857,10.2602040816327,10.4695450699772,8.20297635832474e-12,6.30603807546214e-10,6.30603807546214e-10,"ENSG00000241106/ENSG00000198502/ENSG00000156738/ENSG00000196735/ENSG00000242574/ENSG00000232629/ENSG00000196126/ENSG00000019582/ENSG00000237541/ENSG00000223865/ENSG00000179344/ENSG00000204287",12
"GO:0004896","GO:0004896","cytokine receptor activity","26/672","69/8044",0.376811594202899,4.51052449965493,8.84162752800397,1.29636422785793e-11,8.85848889036251e-10,8.85848889036251e-10,"ENSG00000172215/ENSG00000100385/ENSG00000186810/ENSG00000180871/ENSG00000134460/ENSG00000115604/ENSG00000134470/ENSG00000113302/ENSG00000147168/ENSG00000124334/ENSG00000170128/ENSG00000183813/ENSG00000163823/ENSG00000019582/ENSG00000121966/ENSG00000179934/ENSG00000103522/ENSG00000096996/ENSG00000160791/ENSG00000162594/ENSG00000160683/ENSG00000126353/ENSG00000104998/ENSG00000115590/ENSG00000164509/ENSG00000160712",26
"GO:0032393","GO:0032393","MHC class I receptor activity","10/672","10/8044",1,11.9702380952381,10.4797554282624,1.55661916821335e-11,9.57320788451212e-10,9.57320788451212e-10,"ENSG00000186818/ENSG00000187116/ENSG00000105609/ENSG00000204577/ENSG00000150045/ENSG00000104972/ENSG00000239961/ENSG00000167633/ENSG00000131042/ENSG00000244482",10
