"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004888","GO:0004888","transmembrane signaling receptor activity","118/596","434/6764",0.271889400921659,3.08567098629883,13.9607725160549,1.2180451230464e-31,7.04030081120821e-29,7.04030081120821e-29,"ENSG00000139193/ENSG00000187037/ENSG00000172215/ENSG00000132704/ENSG00000120949/ENSG00000019169/ENSG00000100385/ENSG00000179921/ENSG00000167850/ENSG00000019582/ENSG00000186188/ENSG00000186407/ENSG00000151490/ENSG00000165409/ENSG00000162881/ENSG00000186818/ENSG00000078589/ENSG00000026103/ENSG00000241106/ENSG00000148734/ENSG00000187116/ENSG00000237988/ENSG00000162894/ENSG00000171049/ENSG00000186810/ENSG00000173762/ENSG00000143226/ENSG00000186074/ENSG00000180871/ENSG00000147434/ENSG00000182885/ENSG00000203747/ENSG00000188389/ENSG00000131042/ENSG00000150045/ENSG00000111796/ENSG00000115604/ENSG00000105609/ENSG00000168229/ENSG00000134470/ENSG00000147168/ENSG00000188822/ENSG00000171631/ENSG00000198851/ENSG00000183484/ENSG00000124334/ENSG00000105369/ENSG00000117090/ENSG00000171051/ENSG00000163606/ENSG00000133216/ENSG00000105366/ENSG00000197405/ENSG00000139572/ENSG00000125910/ENSG00000187474/ENSG00000005844/ENSG00000124731/ENSG00000160856/ENSG00000232629/ENSG00000167286/ENSG00000183813/ENSG00000140749/ENSG00000125245/ENSG00000174123/ENSG00000204577/ENSG00000163823/ENSG00000158869/ENSG00000089692/ENSG00000140030/ENSG00000104972/ENSG00000182162/ENSG00000174837/ENSG00000121966/ENSG00000237541/ENSG00000174125/ENSG00000007312/ENSG00000120436/ENSG00000135898/ENSG00000170909/ENSG00000154165/ENSG00000186827/ENSG00000239961/ENSG00000083454/ENSG00000235568/ENSG00000117322/ENSG00000143297/ENSG00000179934/ENSG00000103522/ENSG00000179344/ENSG00000134460/ENSG00000132185/ENSG00000121933/ENSG00000137101/ENSG00000260314/ENSG00000160255/ENSG00000171522/ENSG00000028137/ENSG00000174130/ENSG00000126353/ENSG00000096996/ENSG00000196735/ENSG00000160712/ENSG00000104998/ENSG00000181631/ENSG00000054219/ENSG00000007908/ENSG00000136869/ENSG00000090339/ENSG00000115590/ENSG00000160791/ENSG00000095970/ENSG00000107593/ENSG00000134545/ENSG00000135077/ENSG00000203710/ENSG00000244482/ENSG00000150337",118
"GO:0140375","GO:0140375","immune receptor activity","51/596","91/6764",0.56043956043956,6.36042481008924,16.002210661845,8.06764807228245e-31,2.33155029288963e-28,2.33155029288963e-28,"ENSG00000172215/ENSG00000100385/ENSG00000019582/ENSG00000186818/ENSG00000241106/ENSG00000187116/ENSG00000162894/ENSG00000171049/ENSG00000186810/ENSG00000143226/ENSG00000180871/ENSG00000203747/ENSG00000131042/ENSG00000150045/ENSG00000115604/ENSG00000105609/ENSG00000134470/ENSG00000147168/ENSG00000198851/ENSG00000124334/ENSG00000171051/ENSG00000163606/ENSG00000197405/ENSG00000187474/ENSG00000232629/ENSG00000167286/ENSG00000183813/ENSG00000204577/ENSG00000163823/ENSG00000158869/ENSG00000104972/ENSG00000121966/ENSG00000237541/ENSG00000239961/ENSG00000117322/ENSG00000179934/ENSG00000103522/ENSG00000179344/ENSG00000134460/ENSG00000126353/ENSG00000096996/ENSG00000196735/ENSG00000160712/ENSG00000104998/ENSG00000115590/ENSG00000160791/ENSG00000134545/ENSG00000203710/ENSG00000244482/ENSG00000150337/ENSG00000204475",51
"GO:0003823","GO:0003823","antigen binding","30/596","38/6764",0.789473684210526,8.95973154362416,15.2943994447597,2.82771649077576e-25,5.44806710556129e-23,5.44806710556129e-23,"ENSG00000168394/ENSG00000231925/ENSG00000241106/ENSG00000198502/ENSG00000132465/ENSG00000204642/ENSG00000204525/ENSG00000204267/ENSG00000198053/ENSG00000242574/ENSG00000206503/ENSG00000117090/ENSG00000158477/ENSG00000232629/ENSG00000204592/ENSG00000196126/ENSG00000089692/ENSG00000158488/ENSG00000204632/ENSG00000237541/ENSG00000090659/ENSG00000085265/ENSG00000223865/ENSG00000179344/ENSG00000182866/ENSG00000234745/ENSG00000196735/ENSG00000125730/ENSG00000204287/ENSG00000158481",30
"GO:0042605","GO:0042605","peptide antigen binding","20/596","23/6764",0.869565217391304,9.86868981616574,13.2428622356253,8.14266367649585e-19,1.17661490125365e-16,1.17661490125365e-16,"ENSG00000168394/ENSG00000231925/ENSG00000241106/ENSG00000198502/ENSG00000204642/ENSG00000204525/ENSG00000204267/ENSG00000242574/ENSG00000206503/ENSG00000232629/ENSG00000204592/ENSG00000196126/ENSG00000204632/ENSG00000237541/ENSG00000090659/ENSG00000223865/ENSG00000179344/ENSG00000234745/ENSG00000196735/ENSG00000204287",20
"GO:0023023","GO:0023023","MHC protein complex binding","16/596","19/6764",0.842105263157895,9.55704697986577,11.6099508421813,8.25317686130054e-15,9.54067245166342e-13,9.54067245166342e-13,"ENSG00000019582/ENSG00000231925/ENSG00000241106/ENSG00000198502/ENSG00000131042/ENSG00000242574/ENSG00000232629/ENSG00000196126/ENSG00000104972/ENSG00000237541/ENSG00000223865/ENSG00000179344/ENSG00000156738/ENSG00000196735/ENSG00000204287/ENSG00000134545",16
"GO:0005126","GO:0005126","cytokine receptor binding","37/596","116/6764",0.318965517241379,3.61993751446424,8.84698037322059,1.12326357372427e-12,1.08207724268771e-10,1.08207724268771e-10,"ENSG00000125657/ENSG00000125726/ENSG00000169248/ENSG00000226979/ENSG00000186074/ENSG00000003402/ENSG00000150782/ENSG00000115415/ENSG00000184371/ENSG00000172156/ENSG00000102524/ENSG00000117560/ENSG00000275385/ENSG00000271503/ENSG00000181374/ENSG00000197272/ENSG00000108691/ENSG00000156234/ENSG00000168811/ENSG00000110944/ENSG00000102970/ENSG00000232810/ENSG00000099985/ENSG00000169245/ENSG00000105639/ENSG00000104432/ENSG00000172724/ENSG00000035720/ENSG00000102962/ENSG00000096996/ENSG00000125730/ENSG00000138755/ENSG00000160712/ENSG00000151651/ENSG00000185338/ENSG00000125538/ENSG00000227507",37
"GO:0023026","GO:0023026","MHC class II protein complex binding","12/596","14/6764",0.857142857142857,9.72770853307766,10.1609194090967,1.52450700351573e-11,1.25880721147442e-09,1.25880721147442e-09,"ENSG00000019582/ENSG00000241106/ENSG00000198502/ENSG00000242574/ENSG00000232629/ENSG00000196126/ENSG00000237541/ENSG00000223865/ENSG00000179344/ENSG00000156738/ENSG00000196735/ENSG00000204287",12
"GO:0038187","GO:0038187","pattern recognition receptor activity","17/596","29/6764",0.586206896551724,6.65285813469104,9.48241430217734,1.77598689600667e-11,1.28315053236482e-09,1.28315053236482e-09,"ENSG00000167207/ENSG00000038945/ENSG00000019169/ENSG00000101916/ENSG00000166523/ENSG00000187912/ENSG00000174125/ENSG00000113088/ENSG00000091592/ENSG00000163568/ENSG00000090659/ENSG00000085265/ENSG00000115267/ENSG00000132514/ENSG00000172243/ENSG00000174130/ENSG00000136869",17
"GO:0042277","GO:0042277","peptide binding","32/596","114/6764",0.280701754385965,3.18568232662192,7.31558877167306,1.54828001359276e-09,9.94339830951793e-08,9.94339830951793e-08,"ENSG00000168394/ENSG00000038945/ENSG00000019169/ENSG00000019582/ENSG00000231925/ENSG00000241106/ENSG00000171049/ENSG00000198502/ENSG00000204642/ENSG00000131042/ENSG00000204525/ENSG00000204267/ENSG00000242574/ENSG00000206503/ENSG00000173372/ENSG00000133216/ENSG00000232629/ENSG00000204592/ENSG00000196126/ENSG00000130203/ENSG00000204632/ENSG00000237541/ENSG00000090659/ENSG00000223865/ENSG00000179344/ENSG00000160255/ENSG00000174130/ENSG00000234745/ENSG00000196735/ENSG00000204287/ENSG00000136869/ENSG00000095970",32
"GO:0005125","GO:0005125","cytokine activity","31/596","111/6764",0.279279279279279,3.16953866618296,7.1637556401767,3.21319128059581e-09,1.85722456018438e-07,1.85722456018438e-07,"ENSG00000125657/ENSG00000169248/ENSG00000226979/ENSG00000169884/ENSG00000150782/ENSG00000135925/ENSG00000184371/ENSG00000172156/ENSG00000102524/ENSG00000117560/ENSG00000275385/ENSG00000271503/ENSG00000008517/ENSG00000181374/ENSG00000197272/ENSG00000108691/ENSG00000156234/ENSG00000168811/ENSG00000110944/ENSG00000102970/ENSG00000232810/ENSG00000099985/ENSG00000169245/ENSG00000104432/ENSG00000172724/ENSG00000118785/ENSG00000102962/ENSG00000125730/ENSG00000138755/ENSG00000125538/ENSG00000227507",31
