"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005509","GO:0005509","calcium ion binding","64/472","366/6764",0.174863387978142,2.50588126331388,8.11251458430315,2.11872055404235e-12,1.14622781973691e-09,9.36066265869066e-10,"ENSG00000178726/ENSG00000145335/ENSG00000148180/ENSG00000081853/ENSG00000108823/ENSG00000107611/ENSG00000136011/ENSG00000163815/ENSG00000179776/ENSG00000101384/ENSG00000149090/ENSG00000198719/ENSG00000113248/ENSG00000113209/ENSG00000165124/ENSG00000152583/ENSG00000253731/ENSG00000155970/ENSG00000150471/ENSG00000164318/ENSG00000168060/ENSG00000162618/ENSG00000123119/ENSG00000134569/ENSG00000253485/ENSG00000262209/ENSG00000127241/ENSG00000272636/ENSG00000174175/ENSG00000132561/ENSG00000184500/ENSG00000163687/ENSG00000136960/ENSG00000140945/ENSG00000113296/ENSG00000184226/ENSG00000175471/ENSG00000139549/ENSG00000157782/ENSG00000204301/ENSG00000107736/ENSG00000196159/ENSG00000126218/ENSG00000013016/ENSG00000114698/ENSG00000148357/ENSG00000111885/ENSG00000253873/ENSG00000115380/ENSG00000125810/ENSG00000090006/ENSG00000131471/ENSG00000130032/ENSG00000145147/ENSG00000254245/ENSG00000142798/ENSG00000138722/ENSG00000254122/ENSG00000137225/ENSG00000128917/ENSG00000255587/ENSG00000081818/ENSG00000113212/ENSG00000118729",64
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","32/472","205/6764",0.15609756097561,2.23695742042166,4.92560068943008,1.16062447353752e-05,0.00313948920091898,0.00256386198488448,"ENSG00000106511/ENSG00000157554/ENSG00000111145/ENSG00000164736/ENSG00000177606/ENSG00000125740/ENSG00000113580/ENSG00000134954/ENSG00000116833/ENSG00000171223/ENSG00000120738/ENSG00000170345/ENSG00000163909/ENSG00000144655/ENSG00000151702/ENSG00000085276/ENSG00000169554/ENSG00000128710/ENSG00000123358/ENSG00000067082/ENSG00000116016/ENSG00000150907/ENSG00000142611/ENSG00000119508/ENSG00000178662/ENSG00000122877/ENSG00000203883/ENSG00000171056/ENSG00000136826/ENSG00000081189/ENSG00000179388/ENSG00000221818",32
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","32/472","209/6764",0.15311004784689,2.19414483821263,4.80275172657698,1.74149927053046e-05,0.00314050368452326,0.00256469046231532,"ENSG00000106511/ENSG00000157554/ENSG00000111145/ENSG00000164736/ENSG00000177606/ENSG00000125740/ENSG00000113580/ENSG00000134954/ENSG00000116833/ENSG00000171223/ENSG00000120738/ENSG00000170345/ENSG00000163909/ENSG00000144655/ENSG00000151702/ENSG00000085276/ENSG00000169554/ENSG00000128710/ENSG00000123358/ENSG00000067082/ENSG00000116016/ENSG00000150907/ENSG00000142611/ENSG00000119508/ENSG00000178662/ENSG00000122877/ENSG00000203883/ENSG00000171056/ENSG00000136826/ENSG00000081189/ENSG00000179388/ENSG00000221818",32
"GO:0005248","GO:0005248","voltage-gated sodium channel activity","7/472","15/6764",0.466666666666667,6.68757062146893,6.03947313496813,3.03103233938967e-05,0.00347670042268781,0.00283924532817373,"ENSG00000177098/ENSG00000136546/ENSG00000149575/ENSG00000166257/ENSG00000169432/ENSG00000153253/ENSG00000168356",7
"GO:0004888","GO:0004888","transmembrane signaling receptor activity","53/472","434/6764",0.122119815668203,1.75003905334687,4.42357324647949,3.21321665682792e-05,0.00347670042268781,0.00283924532817373,"ENSG00000139567/ENSG00000166148/ENSG00000133800/ENSG00000178726/ENSG00000074660/ENSG00000134817/ENSG00000078549/ENSG00000102755/ENSG00000174804/ENSG00000169252/ENSG00000136546/ENSG00000135298/ENSG00000112964/ENSG00000111452/ENSG00000170989/ENSG00000135914/ENSG00000178695/ENSG00000069431/ENSG00000261371/ENSG00000116106/ENSG00000117114/ENSG00000168546/ENSG00000064989/ENSG00000069122/ENSG00000106991/ENSG00000136160/ENSG00000171659/ENSG00000185291/ENSG00000150048/ENSG00000150471/ENSG00000179639/ENSG00000162618/ENSG00000169313/ENSG00000163513/ENSG00000164220/ENSG00000221866/ENSG00000164849/ENSG00000116678/ENSG00000174944/ENSG00000127329/ENSG00000173482/ENSG00000020181/ENSG00000128052/ENSG00000066056/ENSG00000148357/ENSG00000120156/ENSG00000115380/ENSG00000090006/ENSG00000117525/ENSG00000037280/ENSG00000115602/ENSG00000139874/ENSG00000144230",53
"GO:0042562","GO:0042562","hormone binding","12/472","49/6764",0.244897959183673,3.50951227948807,4.828482844104,9.88959949660348e-05,0.00891712221277081,0.00728216254070882,"ENSG00000166148/ENSG00000113580/ENSG00000078549/ENSG00000018625/ENSG00000112964/ENSG00000064989/ENSG00000136160/ENSG00000140945/ENSG00000116678/ENSG00000165092/ENSG00000172572/ENSG00000145708",12
"GO:0050839","GO:0050839","cell adhesion molecule binding","40/472","313/6764",0.12779552715655,1.83137488492987,4.12479039725162,0.00011765457454395,0.00909301783261099,0.00742580759382254,"ENSG00000110799/ENSG00000081853/ENSG00000091972/ENSG00000179776/ENSG00000154721/ENSG00000136999/ENSG00000113248/ENSG00000113209/ENSG00000165124/ENSG00000253731/ENSG00000168477/ENSG00000150471/ENSG00000144824/ENSG00000253485/ENSG00000262209/ENSG00000174175/ENSG00000140945/ENSG00000113296/ENSG00000149564/ENSG00000184226/ENSG00000127329/ENSG00000109472/ENSG00000213949/ENSG00000107736/ENSG00000120332/ENSG00000173482/ENSG00000131409/ENSG00000128052/ENSG00000148948/ENSG00000253873/ENSG00000017427/ENSG00000154133/ENSG00000090006/ENSG00000167244/ENSG00000254245/ENSG00000142798/ENSG00000254122/ENSG00000162407/ENSG00000081818/ENSG00000113212",40
"GO:0005201","GO:0005201","extracellular matrix structural constituent","19/472","117/6764",0.162393162393162,2.32717658988845,3.96602219295889,0.000423000009843748,0.0286053756656835,0.0233605629893925,"ENSG00000110799/ENSG00000164619/ENSG00000106809/ENSG00000168477/ENSG00000166482/ENSG00000196569/ENSG00000188783/ENSG00000132561/ENSG00000122176/ENSG00000173269/ENSG00000124749/ENSG00000148357/ENSG00000115380/ENSG00000090006/ENSG00000187955/ENSG00000142798/ENSG00000138722/ENSG00000154175/ENSG00000049540",19
"GO:0008083","GO:0008083","growth factor activity","15/472","83/6764",0.180722891566265,2.58985092914029,3.99136138520444,0.000531535591337943,0.0319511949904252,0.02609292434693,"ENSG00000150630/ENSG00000143869/ENSG00000113070/ENSG00000153162/ENSG00000101384/ENSG00000136999/ENSG00000106809/ENSG00000019991/ENSG00000113296/ENSG00000266524/ENSG00000017427/ENSG00000115380/ENSG00000170962/ENSG00000167244/ENSG00000197461",15
"GO:0030545","GO:0030545","signaling receptor regulator activity","36/472","295/6764",0.122033898305085,1.7488078138466,3.60171327121492,0.000631163689047374,0.0341459555774629,0.0278852742723197,"ENSG00000150630/ENSG00000171951/ENSG00000010319/ENSG00000143869/ENSG00000113070/ENSG00000153162/ENSG00000101384/ENSG00000261371/ENSG00000136999/ENSG00000198719/ENSG00000133116/ENSG00000189056/ENSG00000172458/ENSG00000106991/ENSG00000106809/ENSG00000019991/ENSG00000155011/ENSG00000137872/ENSG00000172247/ENSG00000164220/ENSG00000113296/ENSG00000173269/ENSG00000100448/ENSG00000127329/ENSG00000266524/ENSG00000137033/ENSG00000017427/ENSG00000101280/ENSG00000115380/ENSG00000176956/ENSG00000137077/ENSG00000170962/ENSG00000167244/ENSG00000158955/ENSG00000128917/ENSG00000197461",36
