"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","48/497","128/8044",0.375,6.06941649899396,14.8357709540038,4.66503257014755e-26,2.50978752273938e-23,2.50978752273938e-23,"ENSG00000140092/ENSG00000113140/ENSG00000111799/ENSG00000108821/ENSG00000038427/ENSG00000106624/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000171502/ENSG00000152377/ENSG00000060718/ENSG00000164692/ENSG00000117122/ENSG00000101680/ENSG00000101955/ENSG00000206384/ENSG00000115380/ENSG00000106819/ENSG00000166147/ENSG00000123500/ENSG00000077942/ENSG00000163359/ENSG00000130508/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000197614/ENSG00000164932/ENSG00000182492/ENSG00000135862/ENSG00000188783/ENSG00000164176/ENSG00000011465/ENSG00000138080/ENSG00000196569/ENSG00000204262/ENSG00000101825/ENSG00000130635/ENSG00000186340/ENSG00000133110/ENSG00000112769/ENSG00000163520/ENSG00000105664/ENSG00000144810",48
"GO:0005178","GO:0005178","integrin binding","28/497","101/8044",0.277227722772277,4.48696137219356,9.04931270322068,6.63941501730156e-12,1.78600263965412e-09,1.78600263965412e-09,"ENSG00000140092/ENSG00000259207/ENSG00000078098/ENSG00000106823/ENSG00000113578/ENSG00000115414/ENSG00000168542/ENSG00000142871/ENSG00000073712/ENSG00000064205/ENSG00000154736/ENSG00000118523/ENSG00000154096/ENSG00000104415/ENSG00000171914/ENSG00000167244/ENSG00000166147/ENSG00000077942/ENSG00000145423/ENSG00000157168/ENSG00000142798/ENSG00000157227/ENSG00000166086/ENSG00000164176/ENSG00000138080/ENSG00000130635/ENSG00000105664/ENSG00000107562",28
"GO:0005518","GO:0005518","collagen binding","17/497","37/8044",0.45945945945946,7.43640219696558,10.06952943839,1.06948385621899e-11,1.91794104881939e-09,1.91794104881939e-09,"ENSG00000113140/ENSG00000106823/ENSG00000106624/ENSG00000115414/ENSG00000174348/ENSG00000080573/ENSG00000137809/ENSG00000170275/ENSG00000162733/ENSG00000213949/ENSG00000137745/ENSG00000172061/ENSG00000142156/ENSG00000183287/ENSG00000173918/ENSG00000117385/ENSG00000105664",17
"GO:0050840","GO:0050840","extracellular matrix binding","17/497","40/8044",0.425,6.87867203219316,9.5643561843922,5.01304919296109e-11,6.74255116453266e-09,6.74255116453266e-09,"ENSG00000259207/ENSG00000174807/ENSG00000142871/ENSG00000119681/ENSG00000162745/ENSG00000179954/ENSG00000060718/ENSG00000154736/ENSG00000197859/ENSG00000130508/ENSG00000185585/ENSG00000145147/ENSG00000172061/ENSG00000197614/ENSG00000182492/ENSG00000011465/ENSG00000163520",17
"GO:0005539","GO:0005539","glycosaminoglycan binding","34/497","160/8044",0.2125,3.43933601609658,7.99757580641376,1.17884688305013e-10,1.26843924616194e-08,1.26843924616194e-08,"ENSG00000099250/ENSG00000083782/ENSG00000106823/ENSG00000163430/ENSG00000038427/ENSG00000113578/ENSG00000115414/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000102466/ENSG00000064205/ENSG00000204381/ENSG00000140285/ENSG00000123610/ENSG00000000971/ENSG00000184347/ENSG00000154736/ENSG00000169218/ENSG00000118523/ENSG00000103888/ENSG00000104415/ENSG00000173376/ENSG00000166147/ENSG00000145147/ENSG00000182492/ENSG00000188783/ENSG00000011465/ENSG00000091986/ENSG00000130635/ENSG00000180875/ENSG00000186340/ENSG00000133110/ENSG00000105664",34
"GO:0005198","GO:0005198","structural molecule activity","63/497","454/8044",0.138766519823789,2.24595147980393,7.01307078585336,5.51896104320754e-10,4.36743351948531e-08,4.36743351948531e-08,"ENSG00000140092/ENSG00000113140/ENSG00000111799/ENSG00000108821/ENSG00000038427/ENSG00000106624/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000104722/ENSG00000119681/ENSG00000080573/ENSG00000171502/ENSG00000131711/ENSG00000198467/ENSG00000152377/ENSG00000107796/ENSG00000060718/ENSG00000164692/ENSG00000117122/ENSG00000101335/ENSG00000162614/ENSG00000101680/ENSG00000101955/ENSG00000206384/ENSG00000160808/ENSG00000115380/ENSG00000106819/ENSG00000171914/ENSG00000277586/ENSG00000166147/ENSG00000123500/ENSG00000077942/ENSG00000163359/ENSG00000130508/ENSG00000154553/ENSG00000143631/ENSG00000139220/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000197614/ENSG00000164932/ENSG00000182492/ENSG00000135862/ENSG00000079819/ENSG00000188783/ENSG00000164176/ENSG00000011465/ENSG00000138080/ENSG00000127377/ENSG00000196569/ENSG00000204262/ENSG00000101825/ENSG00000130635/ENSG00000166963/ENSG00000186340/ENSG00000133110/ENSG00000112769/ENSG00000163520/ENSG00000105664/ENSG00000144810",63
"GO:0008201","GO:0008201","heparin binding","27/497","113/8044",0.238938053097345,3.86723883121739,7.87660687592286,6.47383021904599e-10,4.36743351948531e-08,4.36743351948531e-08,"ENSG00000099250/ENSG00000106823/ENSG00000163430/ENSG00000113578/ENSG00000115414/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000102466/ENSG00000064205/ENSG00000140285/ENSG00000000971/ENSG00000184347/ENSG00000154736/ENSG00000169218/ENSG00000118523/ENSG00000104415/ENSG00000173376/ENSG00000166147/ENSG00000145147/ENSG00000188783/ENSG00000091986/ENSG00000130635/ENSG00000180875/ENSG00000186340/ENSG00000133110/ENSG00000105664",27
"GO:0050839","GO:0050839","cell adhesion molecule binding","52/497","340/8044",0.152941176470588,2.47536986625636,7.13316523264927,6.49432493603763e-10,4.36743351948531e-08,4.36743351948531e-08,"ENSG00000140092/ENSG00000259207/ENSG00000078098/ENSG00000106823/ENSG00000113578/ENSG00000115414/ENSG00000168542/ENSG00000142871/ENSG00000140937/ENSG00000120328/ENSG00000183853/ENSG00000189184/ENSG00000253305/ENSG00000073712/ENSG00000064205/ENSG00000254122/ENSG00000144619/ENSG00000122786/ENSG00000154736/ENSG00000162614/ENSG00000118523/ENSG00000137809/ENSG00000140945/ENSG00000154096/ENSG00000177707/ENSG00000104415/ENSG00000018236/ENSG00000171914/ENSG00000167244/ENSG00000166147/ENSG00000213949/ENSG00000081818/ENSG00000077942/ENSG00000171840/ENSG00000145423/ENSG00000157168/ENSG00000118946/ENSG00000142798/ENSG00000240184/ENSG00000173482/ENSG00000157227/ENSG00000196358/ENSG00000197702/ENSG00000261934/ENSG00000166086/ENSG00000164176/ENSG00000138080/ENSG00000170558/ENSG00000130635/ENSG00000133110/ENSG00000105664/ENSG00000107562",52
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","14/497","34/8044",0.411764705882353,6.66445733222867,8.49339972950598,4.36139702722662e-09,2.60714622294214e-07,2.60714622294214e-07,"ENSG00000111799/ENSG00000108821/ENSG00000168542/ENSG00000080573/ENSG00000171502/ENSG00000060718/ENSG00000164692/ENSG00000206384/ENSG00000123500/ENSG00000163359/ENSG00000142156/ENSG00000204262/ENSG00000130635/ENSG00000144810",14
"GO:0005509","GO:0005509","calcium ion binding","58/497","433/8044",0.133949191685912,2.16798249078768,6.4114974407742,1.09312964542039e-08,5.88103749236169e-07,5.88103749236169e-07,"ENSG00000086717/ENSG00000140092/ENSG00000113140/ENSG00000163430/ENSG00000095587/ENSG00000038427/ENSG00000127472/ENSG00000174807/ENSG00000145506/ENSG00000118762/ENSG00000140937/ENSG00000120328/ENSG00000119681/ENSG00000189184/ENSG00000253305/ENSG00000137573/ENSG00000254122/ENSG00000123610/ENSG00000152377/ENSG00000184347/ENSG00000101335/ENSG00000024422/ENSG00000173706/ENSG00000087253/ENSG00000140945/ENSG00000160808/ENSG00000165323/ENSG00000115380/ENSG00000196562/ENSG00000106819/ENSG00000182326/ENSG00000166147/ENSG00000134013/ENSG00000081818/ENSG00000077942/ENSG00000175065/ENSG00000168487/ENSG00000145147/ENSG00000118946/ENSG00000137745/ENSG00000143631/ENSG00000142798/ENSG00000240184/ENSG00000183287/ENSG00000196159/ENSG00000086289/ENSG00000123384/ENSG00000134569/ENSG00000114698/ENSG00000162804/ENSG00000261934/ENSG00000164176/ENSG00000038295/ENSG00000170558/ENSG00000165474/ENSG00000186340/ENSG00000163520/ENSG00000105664",58
