"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","50/754","90/6764",0.555555555555556,4.98379015620395,13.4754332880562,4.02370542156347e-25,2.29753579571274e-22,2.29753579571274e-22,"ENSG00000176208/ENSG00000138346/ENSG00000133119/ENSG00000062822/ENSG00000130816/ENSG00000130826/ENSG00000136982/ENSG00000178295/ENSG00000100479/ENSG00000171316/ENSG00000119969/ENSG00000109674/ENSG00000051341/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000088305/ENSG00000076248/ENSG00000073111/ENSG00000196584/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000164362/ENSG00000147687/ENSG00000197275/ENSG00000105486/ENSG00000174371/ENSG00000137309/ENSG00000124535/ENSG00000168496/ENSG00000186871/ENSG00000166508/ENSG00000154920/ENSG00000187605/ENSG00000140451/ENSG00000100297/ENSG00000131747/ENSG00000112118/ENSG00000076003/ENSG00000119772/ENSG00000160117/ENSG00000132646/ENSG00000049541/ENSG00000127616/ENSG00000051180/ENSG00000175792/ENSG00000163918/ENSG00000177084/ENSG00000116062",50
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid","73/754","196/6764",0.372448979591837,3.3411736047204,11.7804861585162,2.09621753008773e-22,5.98470104840047e-20,5.98470104840047e-20,"ENSG00000176208/ENSG00000138346/ENSG00000091127/ENSG00000162851/ENSG00000113407/ENSG00000124787/ENSG00000135372/ENSG00000105171/ENSG00000133119/ENSG00000062822/ENSG00000136628/ENSG00000130816/ENSG00000130826/ENSG00000136982/ENSG00000178295/ENSG00000100479/ENSG00000171316/ENSG00000180423/ENSG00000119969/ENSG00000109674/ENSG00000051341/ENSG00000134684/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000088305/ENSG00000076248/ENSG00000073111/ENSG00000106105/ENSG00000196584/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000164362/ENSG00000147687/ENSG00000197275/ENSG00000198056/ENSG00000105486/ENSG00000145996/ENSG00000174371/ENSG00000137309/ENSG00000124535/ENSG00000141543/ENSG00000166986/ENSG00000168496/ENSG00000186871/ENSG00000117593/ENSG00000166508/ENSG00000154920/ENSG00000187605/ENSG00000005189/ENSG00000140451/ENSG00000100297/ENSG00000146143/ENSG00000131747/ENSG00000113356/ENSG00000112118/ENSG00000076003/ENSG00000119772/ENSG00000160117/ENSG00000132646/ENSG00000162639/ENSG00000049541/ENSG00000104356/ENSG00000127616/ENSG00000051180/ENSG00000123908/ENSG00000175792/ENSG00000147669/ENSG00000119203/ENSG00000163918/ENSG00000177084/ENSG00000116062",73
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","30/754","39/6764",0.769230769230769,6.9006325239747,13.0888912264869,1.21846334245826e-21,2.31914189514556e-19,2.31914189514556e-19,"ENSG00000176208/ENSG00000138346/ENSG00000133119/ENSG00000136982/ENSG00000171316/ENSG00000119969/ENSG00000051341/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000073111/ENSG00000196584/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000197275/ENSG00000124535/ENSG00000186871/ENSG00000166508/ENSG00000140451/ENSG00000100297/ENSG00000131747/ENSG00000112118/ENSG00000076003/ENSG00000049541/ENSG00000127616/ENSG00000051180/ENSG00000175792/ENSG00000163918/ENSG00000116062",30
"GO:0016887","GO:0016887","ATP hydrolysis activity","59/754","164/6764",0.359756097560976,3.22730801578573,10.2270026135792,1.94901673966034e-17,2.78222139586513e-15,2.78222139586513e-15,"ENSG00000176208/ENSG00000138346/ENSG00000156802/ENSG00000149428/ENSG00000113810/ENSG00000165629/ENSG00000136824/ENSG00000237649/ENSG00000124784/ENSG00000171316/ENSG00000119969/ENSG00000156261/ENSG00000051341/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000077935/ENSG00000120694/ENSG00000073111/ENSG00000163808/ENSG00000085840/ENSG00000139116/ENSG00000070087/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000118193/ENSG00000197275/ENSG00000084731/ENSG00000186185/ENSG00000130294/ENSG00000124535/ENSG00000146731/ENSG00000141543/ENSG00000138182/ENSG00000186871/ENSG00000150753/ENSG00000121621/ENSG00000166508/ENSG00000166226/ENSG00000112984/ENSG00000140451/ENSG00000100297/ENSG00000187522/ENSG00000112118/ENSG00000076003/ENSG00000164070/ENSG00000049541/ENSG00000079616/ENSG00000137807/ENSG00000127616/ENSG00000096384/ENSG00000144381/ENSG00000071539/ENSG00000175792/ENSG00000135624/ENSG00000278259/ENSG00000142945/ENSG00000163918",59
"GO:0003678","GO:0003678","DNA helicase activity","20/754","24/6764",0.833333333333333,7.47568523430592,11.2558820615309,4.80265044060294e-16,5.48462680316856e-14,5.48462680316856e-14,"ENSG00000138346/ENSG00000133119/ENSG00000136982/ENSG00000051341/ENSG00000197299/ENSG00000073111/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000124535/ENSG00000186871/ENSG00000166508/ENSG00000140451/ENSG00000100297/ENSG00000112118/ENSG00000076003/ENSG00000049541/ENSG00000051180/ENSG00000175792/ENSG00000163918",20
"GO:0140657","GO:0140657","ATP-dependent activity","72/754","243/6764",0.296296296296296,2.65802141664211,9.3229703572897,9.24110599052904e-16,8.79445253432014e-14,8.79445253432014e-14,"ENSG00000176208/ENSG00000138346/ENSG00000156802/ENSG00000138160/ENSG00000149428/ENSG00000133119/ENSG00000113810/ENSG00000165629/ENSG00000136982/ENSG00000136824/ENSG00000237649/ENSG00000124784/ENSG00000171316/ENSG00000119969/ENSG00000156261/ENSG00000051341/ENSG00000105877/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000077935/ENSG00000120694/ENSG00000073111/ENSG00000163808/ENSG00000085840/ENSG00000139116/ENSG00000196584/ENSG00000070087/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000118193/ENSG00000138778/ENSG00000197275/ENSG00000084731/ENSG00000186185/ENSG00000130294/ENSG00000144821/ENSG00000124535/ENSG00000146731/ENSG00000141543/ENSG00000138182/ENSG00000186871/ENSG00000150753/ENSG00000121621/ENSG00000166508/ENSG00000166226/ENSG00000112984/ENSG00000140451/ENSG00000100297/ENSG00000187522/ENSG00000131747/ENSG00000112118/ENSG00000076003/ENSG00000164070/ENSG00000049541/ENSG00000079616/ENSG00000137807/ENSG00000127616/ENSG00000096384/ENSG00000051180/ENSG00000144381/ENSG00000071539/ENSG00000090889/ENSG00000175792/ENSG00000135624/ENSG00000142230/ENSG00000186638/ENSG00000278259/ENSG00000142945/ENSG00000163918/ENSG00000116062",72
"GO:0120543","GO:0120543","macromolecular conformation isomerase activity","45/754","112/6764",0.401785714285714,3.60434823796893,9.8435120384491,1.20377184846634e-15,9.81933893534688e-14,9.81933893534688e-14,"ENSG00000138346/ENSG00000138160/ENSG00000133119/ENSG00000136982/ENSG00000237649/ENSG00000119969/ENSG00000051341/ENSG00000105877/ENSG00000197299/ENSG00000085999/ENSG00000073111/ENSG00000163808/ENSG00000139116/ENSG00000013573/ENSG00000104738/ENSG00000136492/ENSG00000118193/ENSG00000138778/ENSG00000084731/ENSG00000186185/ENSG00000130294/ENSG00000144821/ENSG00000124535/ENSG00000141543/ENSG00000138182/ENSG00000186871/ENSG00000121621/ENSG00000166508/ENSG00000112984/ENSG00000140451/ENSG00000100297/ENSG00000131747/ENSG00000112118/ENSG00000076003/ENSG00000049541/ENSG00000079616/ENSG00000137807/ENSG00000127616/ENSG00000051180/ENSG00000090889/ENSG00000175792/ENSG00000186638/ENSG00000278259/ENSG00000142945/ENSG00000163918",45
"GO:0003682","GO:0003682","chromatin binding","66/754","222/6764",0.297297297297297,2.66700121872536,8.94489537819676,1.32345241724904e-14,9.44614162811504e-13,9.44614162811504e-13,"ENSG00000106689/ENSG00000156802/ENSG00000105821/ENSG00000102098/ENSG00000136518/ENSG00000100749/ENSG00000180198/ENSG00000117724/ENSG00000062822/ENSG00000198554/ENSG00000093009/ENSG00000130816/ENSG00000113810/ENSG00000170312/ENSG00000205581/ENSG00000164754/ENSG00000166803/ENSG00000136824/ENSG00000171316/ENSG00000119969/ENSG00000167670/ENSG00000051341/ENSG00000064313/ENSG00000122565/ENSG00000095002/ENSG00000094804/ENSG00000164032/ENSG00000159259/ENSG00000077152/ENSG00000085840/ENSG00000108468/ENSG00000013573/ENSG00000004487/ENSG00000196591/ENSG00000083307/ENSG00000143799/ENSG00000065978/ENSG00000146670/ENSG00000080839/ENSG00000174371/ENSG00000137309/ENSG00000131944/ENSG00000149136/ENSG00000109685/ENSG00000140534/ENSG00000112130/ENSG00000106462/ENSG00000213024/ENSG00000120533/ENSG00000121152/ENSG00000123975/ENSG00000131747/ENSG00000113356/ENSG00000126767/ENSG00000164430/ENSG00000119772/ENSG00000132646/ENSG00000182199/ENSG00000173894/ENSG00000127616/ENSG00000115163/ENSG00000051180/ENSG00000132341/ENSG00000167513/ENSG00000177084/ENSG00000116062",66
"GO:0008017","GO:0008017","microtubule binding","48/754","134/6764",0.358208955223881,3.21342887683598,9.16598911500672,2.62255140014206e-14,1.66386316609013e-12,1.66386316609013e-12,"ENSG00000139734/ENSG00000138160/ENSG00000161800/ENSG00000126787/ENSG00000198901/ENSG00000139354/ENSG00000154839/ENSG00000117724/ENSG00000154429/ENSG00000076382/ENSG00000237649/ENSG00000104419/ENSG00000175216/ENSG00000163808/ENSG00000139116/ENSG00000101447/ENSG00000111640/ENSG00000128944/ENSG00000118193/ENSG00000165209/ENSG00000134222/ENSG00000138778/ENSG00000166851/ENSG00000084731/ENSG00000089685/ENSG00000186185/ENSG00000130294/ENSG00000138182/ENSG00000121621/ENSG00000112984/ENSG00000143228/ENSG00000131351/ENSG00000182628/ENSG00000075218/ENSG00000080986/ENSG00000079616/ENSG00000137807/ENSG00000165480/ENSG00000184368/ENSG00000101146/ENSG00000090889/ENSG00000143494/ENSG00000072864/ENSG00000137812/ENSG00000186638/ENSG00000161888/ENSG00000142945/ENSG00000179051",48
"GO:0003697","GO:0003697","single-stranded DNA binding","24/754","39/6764",0.615384615384615,5.52050601917976,10.0274693150807,4.72673942134291e-14,2.6989682095868e-12,2.6989682095868e-12,"ENSG00000093009/ENSG00000113810/ENSG00000065328/ENSG00000136824/ENSG00000109674/ENSG00000139618/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000073111/ENSG00000013573/ENSG00000104738/ENSG00000065978/ENSG00000163029/ENSG00000166508/ENSG00000125319/ENSG00000100297/ENSG00000146263/ENSG00000112118/ENSG00000076003/ENSG00000111247/ENSG00000051180/ENSG00000144381/ENSG00000164104",24
