"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005509","GO:0005509","calcium ion binding","53/505","433/8044",0.122401847575058,1.94970388493815,5.2578616401926,1.54650447193467e-06,0.000920170160801127,0.0007521768298462,"ENSG00000178726/ENSG00000120049/ENSG00000145335/ENSG00000148180/ENSG00000126218/ENSG00000108823/ENSG00000136011/ENSG00000183166/ENSG00000163815/ENSG00000179776/ENSG00000163106/ENSG00000101384/ENSG00000182132/ENSG00000198719/ENSG00000113248/ENSG00000183087/ENSG00000109047/ENSG00000175471/ENSG00000165124/ENSG00000188257/ENSG00000152583/ENSG00000132561/ENSG00000184500/ENSG00000155970/ENSG00000130032/ENSG00000150471/ENSG00000127241/ENSG00000272636/ENSG00000174175/ENSG00000107736/ENSG00000168060/ENSG00000163687/ENSG00000136960/ENSG00000113296/ENSG00000131471/ENSG00000139549/ENSG00000157782/ENSG00000204301/ENSG00000123119/ENSG00000162618/ENSG00000164318/ENSG00000148357/ENSG00000171643/ENSG00000125810/ENSG00000090006/ENSG00000149090/ENSG00000138722/ENSG00000137225/ENSG00000255587/ENSG00000175445/ENSG00000128917/ENSG00000196277/ENSG00000118729",53
"GO:0005248","GO:0005248","voltage-gated sodium channel activity","8/505","17/8044",0.470588235294118,7.49586488060571,6.93877273948413,3.3513341108779e-06,0.000997021897986174,0.000814997923711812,"ENSG00000168356/ENSG00000177098/ENSG00000136546/ENSG00000169432/ENSG00000149575/ENSG00000007314/ENSG00000166257/ENSG00000153253",8
"GO:0030545","GO:0030545","signaling receptor regulator activity","46/505","389/8044",0.118251928020566,1.8836010079157,4.62334452340407,1.95811853480625e-05,0.00388360176069906,0.00317458159934734,"ENSG00000006128/ENSG00000165197/ENSG00000010319/ENSG00000113070/ENSG00000276409/ENSG00000153162/ENSG00000181195/ENSG00000108342/ENSG00000101384/ENSG00000198719/ENSG00000133116/ENSG00000183087/ENSG00000197461/ENSG00000106991/ENSG00000130173/ENSG00000106809/ENSG00000137077/ENSG00000275152/ENSG00000100448/ENSG00000127329/ENSG00000155011/ENSG00000240654/ENSG00000143869/ENSG00000137872/ENSG00000164220/ENSG00000189056/ENSG00000181092/ENSG00000113296/ENSG00000176956/ENSG00000173269/ENSG00000084674/ENSG00000136244/ENSG00000172458/ENSG00000156427/ENSG00000137033/ENSG00000266524/ENSG00000017427/ENSG00000101280/ENSG00000241186/ENSG00000261371/ENSG00000171951/ENSG00000136999/ENSG00000158955/ENSG00000174697/ENSG00000170962/ENSG00000128917",46
"GO:0030546","GO:0030546","signaling receptor activator activity","43/505","359/8044",0.119777158774373,1.90789597065556,4.5546942505243,2.70481453262992e-05,0.00402341161728701,0.00328886669485405,"ENSG00000006128/ENSG00000165197/ENSG00000010319/ENSG00000113070/ENSG00000276409/ENSG00000153162/ENSG00000181195/ENSG00000108342/ENSG00000101384/ENSG00000198719/ENSG00000133116/ENSG00000183087/ENSG00000197461/ENSG00000106991/ENSG00000130173/ENSG00000106809/ENSG00000137077/ENSG00000275152/ENSG00000100448/ENSG00000240654/ENSG00000143869/ENSG00000137872/ENSG00000164220/ENSG00000189056/ENSG00000181092/ENSG00000113296/ENSG00000173269/ENSG00000084674/ENSG00000136244/ENSG00000172458/ENSG00000156427/ENSG00000137033/ENSG00000266524/ENSG00000017427/ENSG00000101280/ENSG00000241186/ENSG00000261371/ENSG00000171951/ENSG00000136999/ENSG00000158955/ENSG00000174697/ENSG00000170962/ENSG00000128917",43
"GO:0048018","GO:0048018","receptor ligand activity","42/505","355/8044",0.11830985915493,1.88452377632129,4.41150330804698,4.50417884394613e-05,0.00535997282429589,0.00438141502385885,"ENSG00000006128/ENSG00000165197/ENSG00000010319/ENSG00000113070/ENSG00000276409/ENSG00000153162/ENSG00000181195/ENSG00000108342/ENSG00000101384/ENSG00000198719/ENSG00000133116/ENSG00000183087/ENSG00000197461/ENSG00000130173/ENSG00000106809/ENSG00000137077/ENSG00000275152/ENSG00000100448/ENSG00000240654/ENSG00000143869/ENSG00000137872/ENSG00000164220/ENSG00000189056/ENSG00000181092/ENSG00000113296/ENSG00000173269/ENSG00000084674/ENSG00000136244/ENSG00000172458/ENSG00000156427/ENSG00000137033/ENSG00000266524/ENSG00000017427/ENSG00000101280/ENSG00000241186/ENSG00000261371/ENSG00000171951/ENSG00000136999/ENSG00000158955/ENSG00000174697/ENSG00000170962/ENSG00000128917",42
"GO:0004930","GO:0004930","G protein-coupled receptor activity","35/505","279/8044",0.125448028673835,1.99822562901451,4.39195558326813,5.993698062016e-05,0.00592982275985238,0.00484722877904709,"ENSG00000132170/ENSG00000120907/ENSG00000138039/ENSG00000134817/ENSG00000078549/ENSG00000204687/ENSG00000174804/ENSG00000169252/ENSG00000135298/ENSG00000111452/ENSG00000170989/ENSG00000135914/ENSG00000139679/ENSG00000064989/ENSG00000181408/ENSG00000069122/ENSG00000156920/ENSG00000126895/ENSG00000136160/ENSG00000185897/ENSG00000150471/ENSG00000169313/ENSG00000164220/ENSG00000213088/ENSG00000164849/ENSG00000166856/ENSG00000162618/ENSG00000080293/ENSG00000204882/ENSG00000169418/ENSG00000182782/ENSG00000183695/ENSG00000139874/ENSG00000144230/ENSG00000196277",35
"GO:0050431","GO:0050431","transforming growth factor beta binding","6/505","13/8044",0.461538461538462,7.35171363290175,5.93165146544654,6.97626207041457e-05,0.00592982275985238,0.00484722877904709,"ENSG00000139567/ENSG00000101938/ENSG00000135218/ENSG00000106991/ENSG00000163513/ENSG00000090006",6
"GO:0004745","GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","6/505","15/8044",0.4,6.37148514851485,5.38898694648103,0.000182566084936892,0.0135783525671813,0.0110993842482617,"ENSG00000198099/ENSG00000196616/ENSG00000170509/ENSG00000248144/ENSG00000135437/ENSG00000187758",6
"GO:0005319","GO:0005319","lipid transporter activity","16/505","97/8044",0.164948453608247,2.6274165560886,4.1733118859076,0.000317362431387441,0.0209811829639475,0.0171506970781418,"ENSG00000154262/ENSG00000176194/ENSG00000170323/ENSG00000139155/ENSG00000135218/ENSG00000170509/ENSG00000154263/ENSG00000187288/ENSG00000186198/ENSG00000189058/ENSG00000154258/ENSG00000138207/ENSG00000084674/ENSG00000085563/ENSG00000141338/ENSG00000118777",16
"GO:0004022","GO:0004022","alcohol dehydrogenase (NAD+) activity","6/505","17/8044",0.352941176470588,5.62189866045428,4.93703379292397,0.0004051546741741,0.024106703113359,0.0197055982668067,"ENSG00000198099/ENSG00000196616/ENSG00000170509/ENSG00000248144/ENSG00000135437/ENSG00000187758",6
