"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","GO:0003341","cilium movement","22/35","142/7721",0.154929577464789,34.1774647887324,26.9261274964842,1.49190617393912e-30,4.84869506530213e-28,4.3971971442416e-28,"ENSG00000157330/ENSG00000080572/ENSG00000270765/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523/ENSG00000162643/ENSG00000137473",22
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","19/35","123/7721",0.154471544715447,34.0764227642276,24.9524921475634,5.42275986002422e-26,4.40599238626968e-24,3.9957177915968e-24,"ENSG00000157330/ENSG00000080572/ENSG00000270765/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523/ENSG00000162643",19
"GO:0060285","GO:0060285","cilium-dependent cell motility","19/35","123/7721",0.154471544715447,34.0764227642276,24.9524921475634,5.42275986002422e-26,4.40599238626968e-24,3.9957177915968e-24,"ENSG00000157330/ENSG00000080572/ENSG00000270765/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523/ENSG00000162643",19
"GO:0060294","GO:0060294","cilium movement involved in cell motility","19/35","123/7721",0.154471544715447,34.0764227642276,24.9524921475634,5.42275986002422e-26,4.40599238626968e-24,3.9957177915968e-24,"ENSG00000157330/ENSG00000080572/ENSG00000270765/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523/ENSG00000162643",19
"GO:0007018","GO:0007018","microtubule-based movement","22/35","233/7721",0.0944206008583691,20.8291845493562,20.739218141851,1.38261881859946e-25,8.98702232089648e-24,8.15017408858629e-24,"ENSG00000157330/ENSG00000080572/ENSG00000270765/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523/ENSG00000162643/ENSG00000137473",22
"GO:0007017","GO:0007017","microtubule-based process","26/35","469/7721",0.0554371002132196,12.2294243070362,16.9319702997999,5.11223572737481e-25,2.76912768566136e-23,2.51127369064026e-23,"ENSG00000157330/ENSG00000080572/ENSG00000270765/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000129654/ENSG00000188523/ENSG00000164287/ENSG00000162643/ENSG00000243910/ENSG00000234602/ENSG00000137473",26
"GO:0030317","GO:0030317","flagellated sperm motility","16/35","111/7721",0.144144144144144,31.7981981981982,22.0539788015592,3.53387769582972e-21,1.43563781393082e-19,1.30195494056884e-19,"ENSG00000157330/ENSG00000080572/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523",16
"GO:0097722","GO:0097722","sperm motility","16/35","111/7721",0.144144144144144,31.7981981981982,22.0539788015592,3.53387769582972e-21,1.43563781393082e-19,1.30195494056884e-19,"ENSG00000157330/ENSG00000080572/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000188596/ENSG00000165309/ENSG00000145491/ENSG00000183644/ENSG00000188523",16
"GO:0044782","GO:0044782","cilium organization","16/35","176/7721",0.0909090909090909,20.0545454545455,17.2551121873427,7.45670610717196e-18,2.69269942758988e-16,2.44196223392766e-16,"ENSG00000080572/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000152669/ENSG00000163060/ENSG00000157856/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000183644/ENSG00000129654/ENSG00000153789/ENSG00000162643/ENSG00000234602/ENSG00000137473",16
"GO:0060271","GO:0060271","cilium assembly","15/35","158/7721",0.0949367088607595,20.9430379746835,17.0909141152256,5.39368253724621e-17,1.75294682460502e-15,1.58971695834625e-15,"ENSG00000080572/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000152669/ENSG00000163060/ENSG00000157856/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000183644/ENSG00000129654/ENSG00000153789/ENSG00000162643/ENSG00000234602",15
