"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019915","GO:0019915","lipid storage","8/68","42/6528",0.19047619047619,18.2857142857143,11.5297132695972,8.10121615277117e-09,7.28510796030797e-06,1.57489581155593e-06,"ENSG00000132170/ENSG00000135218/ENSG00000176194/ENSG00000174697/ENSG00000198848/ENSG00000076555/ENSG00000187288/ENSG00000175445",8
"GO:0170062","GO:0170062","nutrient storage","8/68","43/6528",0.186046511627907,17.8604651162791,11.3800400969518,9.87142000041731e-09,7.28510796030797e-06,1.57489581155593e-06,"ENSG00000132170/ENSG00000135218/ENSG00000176194/ENSG00000174697/ENSG00000198848/ENSG00000076555/ENSG00000187288/ENSG00000175445",8
"GO:0019216","GO:0019216","regulation of lipid metabolic process","12/68","148/6528",0.0810810810810811,7.78378378378378,8.56421417110521,2.88500614822424e-08,1.41942302492632e-05,3.06851098015575e-06,"ENSG00000132170/ENSG00000176194/ENSG00000174697/ENSG00000124253/ENSG00000198848/ENSG00000076555/ENSG00000166819/ENSG00000181092/ENSG00000004799/ENSG00000152270/ENSG00000187288/ENSG00000095637",12
"GO:0001523","GO:0001523","retinoid metabolic process","7/68","38/6528",0.184210526315789,17.6842105263158,10.5820574472981,9.49080058964503e-08,3.50210541757902e-05,7.57085712912256e-06,"ENSG00000198848/ENSG00000196616/ENSG00000135437/ENSG00000248144/ENSG00000079435/ENSG00000138207/ENSG00000175445",7
"GO:0016101","GO:0016101","diterpenoid metabolic process","7/68","40/6528",0.175,16.8,10.283161716486,1.37919121850459e-07,4.07137247702556e-05,8.80149957459321e-06,"ENSG00000198848/ENSG00000196616/ENSG00000135437/ENSG00000248144/ENSG00000079435/ENSG00000138207/ENSG00000175445",7
"GO:0010883","GO:0010883","regulation of lipid storage","6/68","26/6528",0.230769230769231,22.1538461538462,11.0878549682857,1.99527469690486e-07,4.2071792180451e-05,9.09508680593975e-06,"ENSG00000132170/ENSG00000135218/ENSG00000174697/ENSG00000198848/ENSG00000076555/ENSG00000175445",6
"GO:0042572","GO:0042572","retinol metabolic process","6/68","26/6528",0.230769230769231,22.1538461538462,11.0878549682857,1.99527469690486e-07,4.2071792180451e-05,9.09508680593975e-06,"ENSG00000198848/ENSG00000196616/ENSG00000135437/ENSG00000248144/ENSG00000079435/ENSG00000138207",6
"GO:0006641","GO:0006641","triglyceride metabolic process","7/68","46/6528",0.152173913043478,14.6086956521739,9.50245688384274,3.76905838261931e-07,6.95391271593263e-05,1.50329797031379e-05,"ENSG00000124253/ENSG00000166819/ENSG00000119927/ENSG00000079435/ENSG00000187288/ENSG00000170323/ENSG00000175445",7
"GO:0032869","GO:0032869","cellular response to insulin stimulus","9/68","94/6528",0.0957446808510638,9.19148936170213,8.20694029169062,4.42616634141925e-07,7.25891279992757e-05,1.56923293756821e-05,"ENSG00000132170/ENSG00000181856/ENSG00000174697/ENSG00000124253/ENSG00000181092/ENSG00000004799/ENSG00000152270/ENSG00000095637/ENSG00000184811",9
"GO:0016042","GO:0016042","lipid catabolic process","11/68","158/6528",0.069620253164557,6.68354430379747,7.41947337560907,5.49842928867709e-07,8.11568163008739e-05,1.75444936118773e-05,"ENSG00000176194/ENSG00000174697/ENSG00000198848/ENSG00000076555/ENSG00000166819/ENSG00000181092/ENSG00000152270/ENSG00000079435/ENSG00000187288/ENSG00000170323/ENSG00000175445",11
