"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006396","GO:0006396","RNA processing","57/547","256/7721",0.22265625,3.14283163848263,9.62752718959186,2.02045148951877e-15,6.16439749452176e-12,6.16439749452176e-12,"ENSG00000139546/ENSG00000160214/ENSG00000071626/ENSG00000164896/ENSG00000100029/ENSG00000184281/ENSG00000214309/ENSG00000105372/ENSG00000077348/ENSG00000131652/ENSG00000161981/ENSG00000160256/ENSG00000172336/ENSG00000182117/ENSG00000182173/ENSG00000125743/ENSG00000105671/ENSG00000149743/ENSG00000100416/ENSG00000072506/ENSG00000126254/ENSG00000007376/ENSG00000076067/ENSG00000278619/ENSG00000126461/ENSG00000173113/ENSG00000145912/ENSG00000125835/ENSG00000105202/ENSG00000139793/ENSG00000177192/ENSG00000170892/ENSG00000077312/ENSG00000169972/ENSG00000184967/ENSG00000071859/ENSG00000142544/ENSG00000130520/ENSG00000130332/ENSG00000126457/ENSG00000139343/ENSG00000198258/ENSG00000152601/ENSG00000128309/ENSG00000119705/ENSG00000071462/ENSG00000065268/ENSG00000213638/ENSG00000169718/ENSG00000105373/ENSG00000196976/ENSG00000187531/ENSG00000183684/ENSG00000114767/ENSG00000130299/ENSG00000130305/ENSG00000105618",57
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","19/547","32/7721",0.59375,8.38088436928702,11.5523433314345,1.54519331659039e-14,2.19112195405434e-11,2.19112195405434e-11,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000065518/ENSG00000174886/ENSG00000156411/ENSG00000140990/ENSG00000169020/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",19
"GO:0006119","GO:0006119","oxidative phosphorylation","26/547","63/7721",0.412698412698413,5.82530977046516,10.6184082758185,2.1544955300436e-14,2.19112195405434e-11,2.19112195405434e-11,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000126267/ENSG00000140990/ENSG00000167985/ENSG00000111775/ENSG00000164405/ENSG00000169020/ENSG00000103254/ENSG00000099795/ENSG00000176340/ENSG00000114956/ENSG00000147123/ENSG00000135940/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",26
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","18/547","30/7721",0.6,8.4691042047532,11.3177309988738,5.99797095362427e-14,4.57495234487691e-11,4.57495234487691e-11,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000065518/ENSG00000174886/ENSG00000140990/ENSG00000169020/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",18
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","37/547","135/7721",0.274074074074074,3.86860315525763,9.284372659475,2.63734377996132e-13,1.1994738412209e-10,1.1994738412209e-10,"ENSG00000139546/ENSG00000160214/ENSG00000100029/ENSG00000184281/ENSG00000254858/ENSG00000105372/ENSG00000077348/ENSG00000161981/ENSG00000160256/ENSG00000172336/ENSG00000182117/ENSG00000125743/ENSG00000148824/ENSG00000105671/ENSG00000187051/ENSG00000126254/ENSG00000007376/ENSG00000278619/ENSG00000173113/ENSG00000145912/ENSG00000125835/ENSG00000105202/ENSG00000183207/ENSG00000077312/ENSG00000184967/ENSG00000130520/ENSG00000130332/ENSG00000188976/ENSG00000139343/ENSG00000071462/ENSG00000100129/ENSG00000065268/ENSG00000105373/ENSG00000187531/ENSG00000114767/ENSG00000130305/ENSG00000105618",37
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","22/547","49/7721",0.448979591836735,6.33742491512144,10.3489704929026,2.75198849182113e-13,1.1994738412209e-10,1.1994738412209e-10,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000156411/ENSG00000140990/ENSG00000103024/ENSG00000169020/ENSG00000103202/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",22
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","22/547","49/7721",0.448979591836735,6.33742491512144,10.3489704929026,2.75198849182113e-13,1.1994738412209e-10,1.1994738412209e-10,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000156411/ENSG00000140990/ENSG00000103024/ENSG00000169020/ENSG00000103202/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",22
"GO:0006754","GO:0006754","ATP biosynthetic process","20/547","42/7721",0.476190476190476,6.72151127361365,10.266081237038,8.53987970644616e-13,3.25689662304591e-10,3.25689662304591e-10,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000156411/ENSG00000140990/ENSG00000169020/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",20
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","23/547","58/7721",0.396551724137931,5.59739645716447,9.7039414609055,1.93608611310778e-12,5.96709858467253e-10,5.96709858467253e-10,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000168393/ENSG00000156411/ENSG00000140990/ENSG00000103024/ENSG00000169020/ENSG00000103202/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",23
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","22/547","53/7721",0.415094339622642,5.85912869511228,9.80114719329868,1.95578452463865e-12,5.96709858467253e-10,5.96709858467253e-10,"ENSG00000124172/ENSG00000170906/ENSG00000241468/ENSG00000090266/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000156411/ENSG00000140990/ENSG00000103024/ENSG00000169020/ENSG00000103202/ENSG00000103254/ENSG00000099795/ENSG00000147123/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000130770",22
"GO:0045333","GO:0045333","cellular respiration","35/547","132/7721",0.265151515151515,3.74265968644396,8.77583075965186,3.41327813633061e-12,9.46719235813153e-10,9.46719235813153e-10,"ENSG00000124172/ENSG00000170906/ENSG00000174109/ENSG00000241468/ENSG00000090266/ENSG00000077463/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000204922/ENSG00000065518/ENSG00000174886/ENSG00000126267/ENSG00000163794/ENSG00000140990/ENSG00000167985/ENSG00000111775/ENSG00000164405/ENSG00000169020/ENSG00000169230/ENSG00000125611/ENSG00000103254/ENSG00000099795/ENSG00000176340/ENSG00000114956/ENSG00000147123/ENSG00000135940/ENSG00000181722/ENSG00000105373/ENSG00000131495/ENSG00000125356/ENSG00000110717/ENSG00000141959/ENSG00000130770/ENSG00000175701",35
