"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","59/383","180/6528",0.327777777777778,5.58677110530896,15.5783017279502,9.54757423629262e-30,1.28635395918112e-26,1.28635395918112e-26,"ENSG00000140092/ENSG00000129038/ENSG00000095587/ENSG00000060718/ENSG00000123342/ENSG00000019144/ENSG00000168542/ENSG00000108821/ENSG00000106624/ENSG00000080573/ENSG00000049192/ENSG00000130508/ENSG00000101680/ENSG00000137573/ENSG00000122861/ENSG00000087116/ENSG00000154736/ENSG00000149968/ENSG00000164692/ENSG00000197859/ENSG00000168487/ENSG00000143196/ENSG00000130635/ENSG00000206384/ENSG00000137745/ENSG00000196562/ENSG00000122707/ENSG00000077942/ENSG00000173376/ENSG00000197635/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000099953/ENSG00000162733/ENSG00000151388/ENSG00000139174/ENSG00000106823/ENSG00000204262/ENSG00000167749/ENSG00000123384/ENSG00000138080/ENSG00000225614/ENSG00000100234/ENSG00000138316/ENSG00000133110/ENSG00000136378/ENSG00000157227/ENSG00000196569/ENSG00000078098/ENSG00000134013/ENSG00000144810/ENSG00000091986/ENSG00000038295/ENSG00000178031/ENSG00000149257/ENSG00000138738/ENSG00000185070/ENSG00000166923",59
"GO:0043062","GO:0043062","extracellular structure organization","59/383","181/6528",0.325966850828729,5.5559049666056,15.5176139919002,1.34555853470829e-29,1.28635395918112e-26,1.28635395918112e-26,"ENSG00000140092/ENSG00000129038/ENSG00000095587/ENSG00000060718/ENSG00000123342/ENSG00000019144/ENSG00000168542/ENSG00000108821/ENSG00000106624/ENSG00000080573/ENSG00000049192/ENSG00000130508/ENSG00000101680/ENSG00000137573/ENSG00000122861/ENSG00000087116/ENSG00000154736/ENSG00000149968/ENSG00000164692/ENSG00000197859/ENSG00000168487/ENSG00000143196/ENSG00000130635/ENSG00000206384/ENSG00000137745/ENSG00000196562/ENSG00000122707/ENSG00000077942/ENSG00000173376/ENSG00000197635/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000099953/ENSG00000162733/ENSG00000151388/ENSG00000139174/ENSG00000106823/ENSG00000204262/ENSG00000167749/ENSG00000123384/ENSG00000138080/ENSG00000225614/ENSG00000100234/ENSG00000138316/ENSG00000133110/ENSG00000136378/ENSG00000157227/ENSG00000196569/ENSG00000078098/ENSG00000134013/ENSG00000144810/ENSG00000091986/ENSG00000038295/ENSG00000178031/ENSG00000149257/ENSG00000138738/ENSG00000185070/ENSG00000166923",59
"GO:0045229","GO:0045229","external encapsulating structure organization","59/383","181/6528",0.325966850828729,5.5559049666056,15.5176139919002,1.34555853470829e-29,1.28635395918112e-26,1.28635395918112e-26,"ENSG00000140092/ENSG00000129038/ENSG00000095587/ENSG00000060718/ENSG00000123342/ENSG00000019144/ENSG00000168542/ENSG00000108821/ENSG00000106624/ENSG00000080573/ENSG00000049192/ENSG00000130508/ENSG00000101680/ENSG00000137573/ENSG00000122861/ENSG00000087116/ENSG00000154736/ENSG00000149968/ENSG00000164692/ENSG00000197859/ENSG00000168487/ENSG00000143196/ENSG00000130635/ENSG00000206384/ENSG00000137745/ENSG00000196562/ENSG00000122707/ENSG00000077942/ENSG00000173376/ENSG00000197635/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000099953/ENSG00000162733/ENSG00000151388/ENSG00000139174/ENSG00000106823/ENSG00000204262/ENSG00000167749/ENSG00000123384/ENSG00000138080/ENSG00000225614/ENSG00000100234/ENSG00000138316/ENSG00000133110/ENSG00000136378/ENSG00000157227/ENSG00000196569/ENSG00000078098/ENSG00000134013/ENSG00000144810/ENSG00000091986/ENSG00000038295/ENSG00000178031/ENSG00000149257/ENSG00000138738/ENSG00000185070/ENSG00000166923",59
"GO:0030199","GO:0030199","collagen fibril organization","25/383","50/6528",0.5,8.52219321148825,13.329205521946,2.47520269161092e-18,1.77472032988503e-15,1.77472032988503e-15,"ENSG00000129038/ENSG00000095587/ENSG00000060718/ENSG00000168542/ENSG00000108821/ENSG00000106624/ENSG00000080573/ENSG00000130508/ENSG00000087116/ENSG00000164692/ENSG00000168487/ENSG00000143196/ENSG00000130635/ENSG00000166147/ENSG00000111799/ENSG00000162733/ENSG00000151388/ENSG00000204262/ENSG00000138080/ENSG00000138316/ENSG00000136378/ENSG00000134013/ENSG00000038295/ENSG00000149257/ENSG00000166923",25
"GO:0072359","GO:0072359","circulatory system development","74/383","500/6528",0.148,2.52256919060052,8.84444667047796,1.80842113977127e-14,1.0373103657728e-11,1.0373103657728e-11,"ENSG00000140092/ENSG00000129038/ENSG00000099250/ENSG00000113140/ENSG00000173482/ENSG00000184304/ENSG00000123342/ENSG00000115414/ENSG00000113578/ENSG00000157168/ENSG00000134874/ENSG00000168542/ENSG00000136383/ENSG00000164741/ENSG00000140937/ENSG00000122641/ENSG00000108821/ENSG00000117020/ENSG00000130508/ENSG00000101230/ENSG00000107562/ENSG00000074047/ENSG00000148848/ENSG00000112837/ENSG00000137573/ENSG00000186340/ENSG00000107796/ENSG00000154736/ENSG00000133816/ENSG00000164692/ENSG00000154096/ENSG00000134853/ENSG00000166086/ENSG00000011465/ENSG00000151067/ENSG00000178860/ENSG00000160808/ENSG00000112902/ENSG00000184347/ENSG00000106366/ENSG00000122707/ENSG00000173376/ENSG00000169946/ENSG00000166147/ENSG00000173706/ENSG00000020181/ENSG00000065534/ENSG00000134775/ENSG00000159899/ENSG00000198796/ENSG00000139174/ENSG00000164107/ENSG00000145423/ENSG00000157570/ENSG00000006283/ENSG00000142798/ENSG00000117152/ENSG00000166025/ENSG00000107731/ENSG00000099139/ENSG00000123384/ENSG00000138080/ENSG00000138639/ENSG00000197702/ENSG00000132386/ENSG00000019549/ENSG00000157227/ENSG00000078098/ENSG00000150630/ENSG00000134013/ENSG00000144810/ENSG00000145147/ENSG00000185070/ENSG00000166923",74
"GO:0009887","GO:0009887","animal organ morphogenesis","56/383","335/6528",0.167164179104478,2.84921086473637,8.67468172880077,2.77187176846686e-13,1.32495470532716e-10,1.32495470532716e-10,"ENSG00000099250/ENSG00000113140/ENSG00000173482/ENSG00000060718/ENSG00000113578/ENSG00000157168/ENSG00000162849/ENSG00000168542/ENSG00000164741/ENSG00000122641/ENSG00000108821/ENSG00000080573/ENSG00000074047/ENSG00000112837/ENSG00000137573/ENSG00000140285/ENSG00000107796/ENSG00000154736/ENSG00000133816/ENSG00000164692/ENSG00000117122/ENSG00000168487/ENSG00000154096/ENSG00000134853/ENSG00000130635/ENSG00000011465/ENSG00000197614/ENSG00000198963/ENSG00000160808/ENSG00000218336/ENSG00000184347/ENSG00000137745/ENSG00000106819/ENSG00000106366/ENSG00000169946/ENSG00000166147/ENSG00000165323/ENSG00000177707/ENSG00000065534/ENSG00000159899/ENSG00000198796/ENSG00000139174/ENSG00000153976/ENSG00000164107/ENSG00000145423/ENSG00000204262/ENSG00000019991/ENSG00000167749/ENSG00000105989/ENSG00000197702/ENSG00000019549/ENSG00000105664/ENSG00000145147/ENSG00000106483/ENSG00000185070/ENSG00000166923",56
"GO:0030334","GO:0030334","regulation of cell migration","68/383","474/6528",0.143459915611814,2.44518623789536,8.15618427767353,1.19139587368811e-12,4.88131909391072e-10,4.88131909391072e-10,"ENSG00000099250/ENSG00000113140/ENSG00000173482/ENSG00000184304/ENSG00000198121/ENSG00000145431/ENSG00000115414/ENSG00000113578/ENSG00000153071/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000164741/ENSG00000140937/ENSG00000108821/ENSG00000117020/ENSG00000107562/ENSG00000101680/ENSG00000075213/ENSG00000137573/ENSG00000073712/ENSG00000140285/ENSG00000153993/ENSG00000122861/ENSG00000107796/ENSG00000162614/ENSG00000169554/ENSG00000154096/ENSG00000134853/ENSG00000233608/ENSG00000166086/ENSG00000011465/ENSG00000196358/ENSG00000112902/ENSG00000106366/ENSG00000122707/ENSG00000077942/ENSG00000131016/ENSG00000197635/ENSG00000146122/ENSG00000104415/ENSG00000070808/ENSG00000124343/ENSG00000162733/ENSG00000065534/ENSG00000103888/ENSG00000002586/ENSG00000106538/ENSG00000145423/ENSG00000105137/ENSG00000019991/ENSG00000172061/ENSG00000166025/ENSG00000123384/ENSG00000138080/ENSG00000152580/ENSG00000132386/ENSG00000019549/ENSG00000157227/ENSG00000196569/ENSG00000150630/ENSG00000112769/ENSG00000187098/ENSG00000145147/ENSG00000109743/ENSG00000123610/ENSG00000144724/ENSG00000166923",68
"GO:2000145","GO:2000145","regulation of cell motility","69/383","492/6528",0.140243902439024,2.39037126663695,8.00633890449888,2.38503790143261e-12,8.55036087663589e-10,8.55036087663589e-10,"ENSG00000099250/ENSG00000113140/ENSG00000173482/ENSG00000184304/ENSG00000198121/ENSG00000145431/ENSG00000115414/ENSG00000113578/ENSG00000153071/ENSG00000174348/ENSG00000177469/ENSG00000168542/ENSG00000142871/ENSG00000164741/ENSG00000140937/ENSG00000108821/ENSG00000117020/ENSG00000107562/ENSG00000101680/ENSG00000075213/ENSG00000137573/ENSG00000073712/ENSG00000140285/ENSG00000153993/ENSG00000122861/ENSG00000107796/ENSG00000162614/ENSG00000169554/ENSG00000154096/ENSG00000134853/ENSG00000233608/ENSG00000166086/ENSG00000011465/ENSG00000196358/ENSG00000112902/ENSG00000106366/ENSG00000122707/ENSG00000077942/ENSG00000131016/ENSG00000197635/ENSG00000146122/ENSG00000104415/ENSG00000070808/ENSG00000124343/ENSG00000162733/ENSG00000065534/ENSG00000103888/ENSG00000002586/ENSG00000106538/ENSG00000145423/ENSG00000105137/ENSG00000019991/ENSG00000172061/ENSG00000166025/ENSG00000123384/ENSG00000138080/ENSG00000152580/ENSG00000132386/ENSG00000019549/ENSG00000157227/ENSG00000196569/ENSG00000150630/ENSG00000112769/ENSG00000187098/ENSG00000145147/ENSG00000109743/ENSG00000123610/ENSG00000144724/ENSG00000166923",69
"GO:0001501","GO:0001501","skeletal system development","40/383","202/6528",0.198019801980198,3.37512602435178,8.56037911783366,4.12632478589788e-12,1.31492216510613e-09,1.31492216510613e-09,"ENSG00000140092/ENSG00000083782/ENSG00000060718/ENSG00000157399/ENSG00000168542/ENSG00000140937/ENSG00000108821/ENSG00000080573/ENSG00000128606/ENSG00000074047/ENSG00000137573/ENSG00000164692/ENSG00000188783/ENSG00000168487/ENSG00000134853/ENSG00000130635/ENSG00000137745/ENSG00000109705/ENSG00000196562/ENSG00000166147/ENSG00000123500/ENSG00000124813/ENSG00000104415/ENSG00000162733/ENSG00000159899/ENSG00000151388/ENSG00000164107/ENSG00000099139/ENSG00000183682/ENSG00000136378/ENSG00000038427/ENSG00000019549/ENSG00000157227/ENSG00000134013/ENSG00000105664/ENSG00000117385/ENSG00000160801/ENSG00000038295/ENSG00000106483/ENSG00000166923",40
"GO:0070848","GO:0070848","response to growth factor","52/383","318/6528",0.163522012578616,2.78713237105276,8.15679844632864,5.28634147171337e-12,1.5161227340874e-09,1.5161227340874e-09,"ENSG00000124225/ENSG00000099250/ENSG00000184304/ENSG00000104213/ENSG00000163430/ENSG00000113578/ENSG00000153071/ENSG00000137507/ENSG00000050165/ENSG00000168542/ENSG00000142871/ENSG00000108821/ENSG00000119681/ENSG00000137573/ENSG00000073712/ENSG00000140285/ENSG00000180447/ENSG00000107796/ENSG00000149557/ENSG00000164692/ENSG00000197859/ENSG00000169554/ENSG00000134853/ENSG00000011465/ENSG00000196562/ENSG00000170801/ENSG00000106819/ENSG00000140682/ENSG00000180875/ENSG00000150457/ENSG00000173376/ENSG00000166147/ENSG00000124813/ENSG00000162733/ENSG00000159899/ENSG00000151388/ENSG00000019991/ENSG00000101825/ENSG00000134986/ENSG00000138615/ENSG00000105989/ENSG00000138080/ENSG00000183682/ENSG00000136378/ENSG00000172572/ENSG00000019549/ENSG00000150630/ENSG00000145147/ENSG00000106483/ENSG00000123610/ENSG00000185070/ENSG00000166923",52
