"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098552","GO:0098552","side of membrane","108/507","391/6929",0.276214833759591,3.77493606138107,15.8705387542791,4.0706055124352e-37,1.2944525529544e-34,1.2944525529544e-34,"ENSG00000139193/ENSG00000198851/ENSG00000121594/ENSG00000138623/ENSG00000172215/ENSG00000026751/ENSG00000132704/ENSG00000154451/ENSG00000100385/ENSG00000019582/ENSG00000231925/ENSG00000147168/ENSG00000026103/ENSG00000196735/ENSG00000156738/ENSG00000143226/ENSG00000186810/ENSG00000159753/ENSG00000163554/ENSG00000163606/ENSG00000101916/ENSG00000180871/ENSG00000158517/ENSG00000204525/ENSG00000204642/ENSG00000007312/ENSG00000203747/ENSG00000188389/ENSG00000066294/ENSG00000167261/ENSG00000143851/ENSG00000171777/ENSG00000188822/ENSG00000126759/ENSG00000158481/ENSG00000206503/ENSG00000124334/ENSG00000162739/ENSG00000159958/ENSG00000105369/ENSG00000117090/ENSG00000166523/ENSG00000160856/ENSG00000232629/ENSG00000105122/ENSG00000187912/ENSG00000164733/ENSG00000196839/ENSG00000186818/ENSG00000169442/ENSG00000204287/ENSG00000167286/ENSG00000183813/ENSG00000163823/ENSG00000158869/ENSG00000204592/ENSG00000165457/ENSG00000049249/ENSG00000163599/ENSG00000089692/ENSG00000169245/ENSG00000158488/ENSG00000104972/ENSG00000204632/ENSG00000174837/ENSG00000121966/ENSG00000155719/ENSG00000237541/ENSG00000112303/ENSG00000196126/ENSG00000054219/ENSG00000185482/ENSG00000090659/ENSG00000223865/ENSG00000186827/ENSG00000125730/ENSG00000179344/ENSG00000132185/ENSG00000177455/ENSG00000188404/ENSG00000007908/ENSG00000114013/ENSG00000132514/ENSG00000085265/ENSG00000136869/ENSG00000198502/ENSG00000103522/ENSG00000105639/ENSG00000134460/ENSG00000179934/ENSG00000015413/ENSG00000234745/ENSG00000096996/ENSG00000140678/ENSG00000138755/ENSG00000160255/ENSG00000185339/ENSG00000110448/ENSG00000160791/ENSG00000126353/ENSG00000150337/ENSG00000069424/ENSG00000116824/ENSG00000090339/ENSG00000101336/ENSG00000143297/ENSG00000160712/ENSG00000117091",108
"GO:0009897","GO:0009897","external side of plasma membrane","79/507","215/6929",0.367441860465116,5.02170542635659,16.8310646113443,1.10681342850529e-36,1.75983335132341e-34,1.75983335132341e-34,"ENSG00000139193/ENSG00000198851/ENSG00000121594/ENSG00000138623/ENSG00000172215/ENSG00000026751/ENSG00000132704/ENSG00000100385/ENSG00000019582/ENSG00000147168/ENSG00000026103/ENSG00000156738/ENSG00000143226/ENSG00000186810/ENSG00000163606/ENSG00000101916/ENSG00000180871/ENSG00000204525/ENSG00000204642/ENSG00000007312/ENSG00000203747/ENSG00000188389/ENSG00000066294/ENSG00000158481/ENSG00000206503/ENSG00000124334/ENSG00000162739/ENSG00000159958/ENSG00000105369/ENSG00000117090/ENSG00000166523/ENSG00000160856/ENSG00000187912/ENSG00000164733/ENSG00000196839/ENSG00000167286/ENSG00000183813/ENSG00000163823/ENSG00000158869/ENSG00000204592/ENSG00000165457/ENSG00000049249/ENSG00000163599/ENSG00000089692/ENSG00000169245/ENSG00000158488/ENSG00000104972/ENSG00000204632/ENSG00000174837/ENSG00000121966/ENSG00000196126/ENSG00000054219/ENSG00000090659/ENSG00000186827/ENSG00000132185/ENSG00000177455/ENSG00000188404/ENSG00000007908/ENSG00000114013/ENSG00000132514/ENSG00000085265/ENSG00000136869/ENSG00000103522/ENSG00000134460/ENSG00000179934/ENSG00000234745/ENSG00000096996/ENSG00000140678/ENSG00000138755/ENSG00000160255/ENSG00000185339/ENSG00000110448/ENSG00000160791/ENSG00000126353/ENSG00000150337/ENSG00000116824/ENSG00000090339/ENSG00000143297/ENSG00000160712",79
"GO:0042611","GO:0042611","MHC protein complex","17/507","17/6929",1,13.6666666666667,14.6912147259325,3.84135859815755e-20,4.071840114047e-18,4.071840114047e-18,"ENSG00000019582/ENSG00000196735/ENSG00000204525/ENSG00000204642/ENSG00000242574/ENSG00000206503/ENSG00000232629/ENSG00000204287/ENSG00000204592/ENSG00000204632/ENSG00000237541/ENSG00000241106/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000234745",17
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","16/507","22/6929",0.727272727272727,9.93939393939394,11.799061289855,2.66473241211416e-14,2.11846226763076e-12,2.11846226763076e-12,"ENSG00000019582/ENSG00000231925/ENSG00000196735/ENSG00000204525/ENSG00000204642/ENSG00000206503/ENSG00000232629/ENSG00000204287/ENSG00000204592/ENSG00000204632/ENSG00000237541/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000234745",16
"GO:0042613","GO:0042613","MHC class II protein complex","11/507","11/6929",1,13.6666666666667,11.8124823932579,2.90883406308025e-13,1.85001846411904e-11,1.85001846411904e-11,"ENSG00000019582/ENSG00000196735/ENSG00000242574/ENSG00000232629/ENSG00000204287/ENSG00000237541/ENSG00000241106/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502",11
"GO:0098576","GO:0098576","lumenal side of membrane","16/507","25/6929",0.64,8.74666666666667,10.9020269314399,5.92976336543863e-13,3.14277458368247e-11,3.14277458368247e-11,"ENSG00000019582/ENSG00000231925/ENSG00000196735/ENSG00000204525/ENSG00000204642/ENSG00000206503/ENSG00000232629/ENSG00000204287/ENSG00000204592/ENSG00000204632/ENSG00000237541/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000234745",16
"GO:0001772","GO:0001772","immunological synapse","17/507","29/6929",0.586206896551724,8.01149425287356,10.6306006699196,8.6825878565453e-13,3.94437562625915e-11,3.94437562625915e-11,"ENSG00000198851/ENSG00000104894/ENSG00000109943/ENSG00000188820/ENSG00000198286/ENSG00000100453/ENSG00000104951/ENSG00000102879/ENSG00000145649/ENSG00000143119/ENSG00000013725/ENSG00000204287/ENSG00000196126/ENSG00000182866/ENSG00000115085/ENSG00000090339/ENSG00000135077",17
"GO:0030666","GO:0030666","endocytic vesicle membrane","31/507","103/6929",0.300970873786408,4.11326860841424,8.94385668543217,3.48683031353171e-12,1.38601504962886e-10,1.38601504962886e-10,"ENSG00000051523/ENSG00000168394/ENSG00000038945/ENSG00000019169/ENSG00000019582/ENSG00000231925/ENSG00000196735/ENSG00000204525/ENSG00000204642/ENSG00000204267/ENSG00000206503/ENSG00000128340/ENSG00000102879/ENSG00000166523/ENSG00000232629/ENSG00000204287/ENSG00000010327/ENSG00000167286/ENSG00000204592/ENSG00000130203/ENSG00000204632/ENSG00000237541/ENSG00000174125/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000181804/ENSG00000234745/ENSG00000174130/ENSG00000150337",31
"GO:0030139","GO:0030139","endocytic vesicle","39/507","157/6929",0.248407643312102,3.39490445859873,8.52810055643882,4.59834558994441e-12,1.62474877511369e-10,1.62474877511369e-10,"ENSG00000051523/ENSG00000116701/ENSG00000168394/ENSG00000038945/ENSG00000019169/ENSG00000019582/ENSG00000231925/ENSG00000186188/ENSG00000015285/ENSG00000196735/ENSG00000158517/ENSG00000204525/ENSG00000204642/ENSG00000204267/ENSG00000206503/ENSG00000128340/ENSG00000102879/ENSG00000117090/ENSG00000166523/ENSG00000232629/ENSG00000204287/ENSG00000010327/ENSG00000167286/ENSG00000204592/ENSG00000163599/ENSG00000130203/ENSG00000204632/ENSG00000237541/ENSG00000174125/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000180353/ENSG00000198502/ENSG00000181804/ENSG00000234745/ENSG00000151651/ENSG00000174130/ENSG00000150337",39
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","15/507","24/6929",0.625,8.54166666666667,10.3983368257963,5.34052818788063e-12,1.69828796374604e-10,1.69828796374604e-10,"ENSG00000019582/ENSG00000196735/ENSG00000204525/ENSG00000204642/ENSG00000206503/ENSG00000232629/ENSG00000204287/ENSG00000204592/ENSG00000204632/ENSG00000237541/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000234745",15
