"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005901","GO:0005901","caveola","12/299","54/8256",0.222222222222222,6.13600891861761,7.33976610538212,3.58021893225553e-07,0.000106332502287989,0.000106332502287989,"ENSG00000018625/ENSG00000130037/ENSG00000078549/ENSG00000067113/ENSG00000105974/ENSG00000003436/ENSG00000168497/ENSG00000164867/ENSG00000163513/ENSG00000130300/ENSG00000105971/ENSG00000124212",12
"GO:0044853","GO:0044853","plasma membrane raft","13/299","79/8256",0.164556962025316,4.54375343973583,6.13478713953247,4.36566205804956e-06,0.00064830081562036,0.00064830081562036,"ENSG00000018625/ENSG00000130037/ENSG00000078549/ENSG00000269113/ENSG00000067113/ENSG00000105974/ENSG00000003436/ENSG00000168497/ENSG00000164867/ENSG00000163513/ENSG00000130300/ENSG00000105971/ENSG00000124212",13
"GO:0031012","GO:0031012","extracellular matrix","30/299","359/8256",0.0835654596100279,2.3074128245498,4.9096253185582,1.48890737440695e-05,0.00123162175516263,0.00123162175516263,"ENSG00000120332/ENSG00000049540/ENSG00000176435/ENSG00000187955/ENSG00000271447/ENSG00000175899/ENSG00000163815/ENSG00000138722/ENSG00000100767/ENSG00000172987/ENSG00000152583/ENSG00000154175/ENSG00000168477/ENSG00000189056/ENSG00000164318/ENSG00000113296/ENSG00000163638/ENSG00000164946/ENSG00000054803/ENSG00000116194/ENSG00000154734/ENSG00000148357/ENSG00000166482/ENSG00000173269/ENSG00000137675/ENSG00000101280/ENSG00000266524/ENSG00000106809/ENSG00000110799/ENSG00000185585",30
"GO:0030312","GO:0030312","external encapsulating structure","30/299","361/8256",0.0831024930747922,2.29462937399828,4.87576139336902,1.65874983860287e-05,0.00123162175516263,0.00123162175516263,"ENSG00000120332/ENSG00000049540/ENSG00000176435/ENSG00000187955/ENSG00000271447/ENSG00000175899/ENSG00000163815/ENSG00000138722/ENSG00000100767/ENSG00000172987/ENSG00000152583/ENSG00000154175/ENSG00000168477/ENSG00000189056/ENSG00000164318/ENSG00000113296/ENSG00000163638/ENSG00000164946/ENSG00000054803/ENSG00000116194/ENSG00000154734/ENSG00000148357/ENSG00000166482/ENSG00000173269/ENSG00000137675/ENSG00000101280/ENSG00000266524/ENSG00000106809/ENSG00000110799/ENSG00000185585",30
"GO:0001518","GO:0001518","voltage-gated sodium channel complex","5/299","12/8256",0.416666666666667,11.505016722408,7.0589130675889,3.87027124560258e-05,0.00201990915714833,0.00201990915714833,"ENSG00000166257/ENSG00000177098/ENSG00000136546/ENSG00000168356/ENSG00000149575",5
"GO:0045121","GO:0045121","membrane raft","19/299","187/8256",0.101604278074866,2.80550140396688,4.84092361480167,4.42245376237206e-05,0.00201990915714833,0.00201990915714833,"ENSG00000018625/ENSG00000130037/ENSG00000078549/ENSG00000261371/ENSG00000269113/ENSG00000170989/ENSG00000067113/ENSG00000105974/ENSG00000120156/ENSG00000003436/ENSG00000168497/ENSG00000164867/ENSG00000163513/ENSG00000118777/ENSG00000130300/ENSG00000105971/ENSG00000124212/ENSG00000128052/ENSG00000162407",19
"GO:0098857","GO:0098857","membrane microdomain","19/299","188/8256",0.101063829787234,2.79057852415854,4.81403014146377,4.76072865321154e-05,0.00201990915714833,0.00201990915714833,"ENSG00000018625/ENSG00000130037/ENSG00000078549/ENSG00000261371/ENSG00000269113/ENSG00000170989/ENSG00000067113/ENSG00000105974/ENSG00000120156/ENSG00000003436/ENSG00000168497/ENSG00000164867/ENSG00000163513/ENSG00000118777/ENSG00000130300/ENSG00000105971/ENSG00000124212/ENSG00000128052/ENSG00000162407",19
"GO:0031091","GO:0031091","platelet alpha granule","9/299","55/8256",0.163636363636364,4.51833384007297,5.07463064993883,0.000139232087316655,0.00516899124163083,0.00516899124163083,"ENSG00000145335/ENSG00000261371/ENSG00000175899/ENSG00000138722/ENSG00000017427/ENSG00000184500/ENSG00000174175/ENSG00000167244/ENSG00000110799",9
"GO:0009897","GO:0009897","external side of plasma membrane","21/299","245/8256",0.0857142857142857,2.36674629718108,4.20966014980197,0.000209160643656399,0.00690230124066118,0.00690230124066118,"ENSG00000179776/ENSG00000126218/ENSG00000176435/ENSG00000261371/ENSG00000170989/ENSG00000154133/ENSG00000185291/ENSG00000106991/ENSG00000179639/ENSG00000116678/ENSG00000163513/ENSG00000178726/ENSG00000174175/ENSG00000277494/ENSG00000085563/ENSG00000129244/ENSG00000136011/ENSG00000118777/ENSG00000174059/ENSG00000128052/ENSG00000127241",21
"GO:0034706","GO:0034706","sodium channel complex","5/299","18/8256",0.277777777777778,7.67001114827202,5.49125197496764,0.000349907507844374,0.0103922529829779,0.0103922529829779,"ENSG00000166257/ENSG00000177098/ENSG00000136546/ENSG00000168356/ENSG00000149575",5
"GO:0044291","GO:0044291","cell-cell contact zone","7/299","42/8256",0.166666666666667,4.60200668896321,4.53639919648471,0.000690315663779928,0.0186385229220581,0.0186385229220581,"ENSG00000018625/ENSG00000145362/ENSG00000130037/ENSG00000261371/ENSG00000177098/ENSG00000154721/ENSG00000154330",7
"GO:0070161","GO:0070161","anchoring junction","31/299","484/8256",0.0640495867768595,1.76853976063462,3.3778633746278,0.00133529947459053,0.0330486619961156,0.0330486619961156,"ENSG00000018625/ENSG00000145362/ENSG00000179776/ENSG00000178878/ENSG00000130037/ENSG00000103647/ENSG00000078549/ENSG00000261371/ENSG00000177098/ENSG00000174804/ENSG00000154721/ENSG00000105974/ENSG00000154330/ENSG00000120156/ENSG00000172403/ENSG00000187513/ENSG00000137672/ENSG00000079308/ENSG00000072163/ENSG00000106991/ENSG00000171992/ENSG00000130052/ENSG00000136114/ENSG00000184113/ENSG00000105971/ENSG00000162706/ENSG00000158352/ENSG00000128052/ENSG00000162407/ENSG00000105538/ENSG00000149564",31
