"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005929","GO:0005929","cilium","28/44","394/8256",0.0710659898477157,13.3345639132441,18.3639371417184,8.16960982263304e-27,1.73993444027419e-25,1.03391689999315e-25,"ENSG00000133665/ENSG00000157330/ENSG00000270765/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000188817/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000186471/ENSG00000157856/ENSG00000185681/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000145491/ENSG00000183644/ENSG00000188523/ENSG00000153789/ENSG00000162643/ENSG00000137473/ENSG00000215187/ENSG00000124237",28
"GO:0005930","GO:0005930","axoneme","20/44","111/8256",0.18018018018018,33.8083538083538,25.4718677696975,8.41903761422993e-27,1.73993444027419e-25,1.03391689999315e-25,"ENSG00000133665/ENSG00000157330/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000186471/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000145491/ENSG00000188523/ENSG00000162643/ENSG00000215187",20
"GO:0097014","GO:0097014","ciliary plasm","20/44","111/8256",0.18018018018018,33.8083538083538,25.4718677696975,8.41903761422993e-27,1.73993444027419e-25,1.03391689999315e-25,"ENSG00000133665/ENSG00000157330/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000186471/ENSG00000157856/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000188596/ENSG00000145491/ENSG00000188523/ENSG00000162643/ENSG00000215187",20
"GO:0031514","GO:0031514","motile cilium","18/44","165/8256",0.109090909090909,20.4694214876033,18.4907414202672,6.65454246959557e-20,1.03145408278731e-18,6.12918385357487e-19,"ENSG00000157330/ENSG00000186710/ENSG00000111834/ENSG00000159625/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000157856/ENSG00000185681/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000145491/ENSG00000188523/ENSG00000137473",18
"GO:0097729","GO:0097729","9+2 motile cilium","16/44","140/8256",0.114285714285714,21.4441558441558,17.8575793358041,5.43841942579709e-18,6.74364008798839e-17,4.00725641900838e-17,"ENSG00000157330/ENSG00000111834/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000157856/ENSG00000185681/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000145491/ENSG00000188523/ENSG00000137473",16
"GO:0036126","GO:0036126","sperm flagellum","15/44","133/8256",0.112781954887218,21.161995898838,17.1577968971984,8.84936169724831e-17,9.14434042048992e-16,5.43381858602967e-16,"ENSG00000157330/ENSG00000170788/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000118492/ENSG00000157856/ENSG00000185681/ENSG00000151023/ENSG00000167858/ENSG00000163075/ENSG00000145491/ENSG00000188523/ENSG00000137473",15
"GO:0005879","GO:0005879","axonemal microtubule","9/44","24/8256",0.375,70.3636363636364,24.9083637580854,1.78992380544412e-15,1.3871909492192e-14,8.24307015665057e-15,"ENSG00000157330/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000188523/ENSG00000215187",9
"GO:0097545","GO:0097545","axonemal doublet microtubule","9/44","24/8256",0.375,70.3636363636364,24.9083637580854,1.78992380544412e-15,1.3871909492192e-14,8.24307015665057e-15,"ENSG00000157330/ENSG00000186710/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000188523",9
"GO:0097649","GO:0097649","A axonemal microtubule","8/44","22/8256",0.363636363636364,68.2314049586777,23.1120518281063,1.00594307956017e-13,6.23684709327308e-13,3.70610608259011e-13,"ENSG00000157330/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000188523",8
"GO:0160110","GO:0160110","axonemal microtubule doublet inner sheath","8/44","22/8256",0.363636363636364,68.2314049586777,23.1120518281063,1.00594307956017e-13,6.23684709327308e-13,3.70610608259011e-13,"ENSG00000157330/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000188523",8
"GO:0005881","GO:0005881","cytoplasmic microtubule","9/44","56/8256",0.160714285714286,30.1558441558442,16.0240803568341,9.17339844274371e-12,5.17046094045554e-11,3.07243010044048e-11,"ENSG00000157330/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000188523/ENSG00000215187",9
"GO:0005874","GO:0005874","microtubule","11/44","233/8256",0.0472103004291846,8.85836909871245,8.90640406710229,2.41135456258879e-08,1.24586652400421e-07,7.40328155180769e-08,"ENSG00000157330/ENSG00000270765/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000188523/ENSG00000243910/ENSG00000215187",11
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","12/44","378/8256",0.0317460317460317,5.95670995670996,7.22090822245819,3.97687597358382e-07,1.89666392586305e-06,1.12704987105614e-06,"ENSG00000157330/ENSG00000270765/ENSG00000163060/ENSG00000179902/ENSG00000163263/ENSG00000186973/ENSG00000151023/ENSG00000167858/ENSG00000152936/ENSG00000188523/ENSG00000243910/ENSG00000215187",12
"GO:0160111","GO:0160111","axonemal A tubule inner sheath","4/44","14/8256",0.285714285714286,53.6103896103896,14.4204773735988,6.75703194504028e-07,2.99239986137498e-06,1.77816630132639e-06,"ENSG00000157330/ENSG00000163060/ENSG00000163263/ENSG00000167858",4
"GO:0001534","GO:0001534","radial spoke","3/44","11/8256",0.272727272727273,51.1735537190083,12.1881076617036,2.26225086361232e-05,9.35063690293093e-05,5.556405629925e-05,"ENSG00000111834/ENSG00000170788/ENSG00000145491",3
"GO:0097228","GO:0097228","sperm principal piece","3/44","35/8256",0.0857142857142857,16.0831168831169,6.5452042134551,0.000820685636289953,0.00318015684062357,0.00188973666250976,"ENSG00000163060/ENSG00000151023/ENSG00000137473",3
"GO:0005858","GO:0005858","axonemal dynein complex","2/44","15/8256",0.133333333333333,25.0181818181818,6.81484852725174,0.00278918672537973,0.0101723280572672,0.00604467711382603,"ENSG00000157856/ENSG00000162643",2
"GO:1990234","GO:1990234","transferase complex","6/44","274/8256",0.0218978102189781,4.10882548108825,3.83068260247855,0.00309117995521436,0.0103666479816611,0.00616014735752355,"ENSG00000133665/ENSG00000152669/ENSG00000170788/ENSG00000186471/ENSG00000136918/ENSG00000164287",6
"GO:0035097","GO:0035097","histone methyltransferase complex","2/44","16/8256",0.125,23.4545454545455,6.58053283198847,0.00317687599438,0.0103666479816611,0.00616014735752355,"ENSG00000133665/ENSG00000170788",2
"GO:0005814","GO:0005814","centriole","3/44","61/8256",0.0491803278688525,9.22801788375559,4.72113122821625,0.00409824907029233,0.0127045721179062,0.00754940618211746,"ENSG00000163075/ENSG00000226321/ENSG00000153789",3
"GO:0030286","GO:0030286","dynein complex","2/44","28/8256",0.0714285714285714,13.4025974025974,4.81177074389334,0.0096099030808998,0.0270824541370813,0.0160931391306935,"ENSG00000157856/ENSG00000162643",2
"GO:0035869","GO:0035869","ciliary transition zone","2/44","28/8256",0.0714285714285714,13.4025974025974,4.81177074389334,0.0096099030808998,0.0270824541370813,0.0160931391306935,"ENSG00000145491/ENSG00000153789",2
"GO:0034708","GO:0034708","methyltransferase complex","2/44","30/8256",0.0666666666666667,12.5090909090909,4.62240188910407,0.0109847867073827,0.0296111641677273,0.0175957681811622,"ENSG00000133665/ENSG00000170788",2
"GO:0097225","GO:0097225","sperm midpiece","2/44","40/8256",0.05,9.38181818181818,3.88954161950272,0.0190459956061637,0.0492021553159228,0.0292372739568302,"ENSG00000118492/ENSG00000151023",2
