"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005743","GO:0005743","mitochondrial inner membrane","59/608","184/6929",0.320652173913043,3.65427452803204,11.316877316206,8.90620844332049e-20,3.71388892086464e-17,3.71388892086464e-17,"ENSG00000214026/ENSG00000160072/ENSG00000105197/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000170906/ENSG00000174109/ENSG00000156411/ENSG00000182154/ENSG00000167863/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000125901/ENSG00000099624/ENSG00000183048/ENSG00000130204/ENSG00000174886/ENSG00000126267/ENSG00000262814/ENSG00000229833/ENSG00000134809/ENSG00000197150/ENSG00000172586/ENSG00000204922/ENSG00000167862/ENSG00000175756/ENSG00000140990/ENSG00000111775/ENSG00000164405/ENSG00000119421/ENSG00000169020/ENSG00000161513/ENSG00000086504/ENSG00000179271/ENSG00000090266/ENSG00000241468/ENSG00000167136/ENSG00000103202/ENSG00000104980/ENSG00000099795/ENSG00000128626/ENSG00000155016/ENSG00000188906/ENSG00000147123/ENSG00000135940/ENSG00000175701/ENSG00000176340/ENSG00000172590/ENSG00000197785/ENSG00000130748/ENSG00000126768/ENSG00000099800/ENSG00000131495/ENSG00000125356/ENSG00000074071/ENSG00000125995/ENSG00000110717",59
"GO:0019866","GO:0019866","organelle inner membrane","60/608","199/6929",0.301507537688442,3.43609494842634,10.8137431838041,1.30389114161286e-18,2.71861303026281e-16,2.71861303026281e-16,"ENSG00000214026/ENSG00000160072/ENSG00000105197/ENSG00000124172/ENSG00000254858/ENSG00000105364/ENSG00000170906/ENSG00000174109/ENSG00000156411/ENSG00000182154/ENSG00000167863/ENSG00000109736/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000125901/ENSG00000099624/ENSG00000183048/ENSG00000130204/ENSG00000174886/ENSG00000126267/ENSG00000262814/ENSG00000229833/ENSG00000134809/ENSG00000197150/ENSG00000172586/ENSG00000204922/ENSG00000167862/ENSG00000175756/ENSG00000140990/ENSG00000111775/ENSG00000164405/ENSG00000119421/ENSG00000169020/ENSG00000161513/ENSG00000086504/ENSG00000179271/ENSG00000090266/ENSG00000241468/ENSG00000167136/ENSG00000103202/ENSG00000104980/ENSG00000099795/ENSG00000128626/ENSG00000155016/ENSG00000188906/ENSG00000147123/ENSG00000135940/ENSG00000175701/ENSG00000176340/ENSG00000172590/ENSG00000197785/ENSG00000130748/ENSG00000126768/ENSG00000099800/ENSG00000131495/ENSG00000125356/ENSG00000074071/ENSG00000125995/ENSG00000110717",60
"GO:0005740","GO:0005740","mitochondrial envelope","76/608","303/6929",0.250825082508251,2.85849834983498,10.2593680989131,3.9907877906318e-18,5.54719502897821e-16,5.54719502897821e-16,"ENSG00000214026/ENSG00000160072/ENSG00000105197/ENSG00000124172/ENSG00000254858/ENSG00000165233/ENSG00000129003/ENSG00000105364/ENSG00000170906/ENSG00000172757/ENSG00000174109/ENSG00000156411/ENSG00000140983/ENSG00000182154/ENSG00000167863/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000125901/ENSG00000099624/ENSG00000183048/ENSG00000105327/ENSG00000130204/ENSG00000127554/ENSG00000174886/ENSG00000126267/ENSG00000172009/ENSG00000262814/ENSG00000229833/ENSG00000134809/ENSG00000197150/ENSG00000172586/ENSG00000026297/ENSG00000204922/ENSG00000167862/ENSG00000175756/ENSG00000140990/ENSG00000111775/ENSG00000103024/ENSG00000164405/ENSG00000119421/ENSG00000169020/ENSG00000161513/ENSG00000086504/ENSG00000179271/ENSG00000100300/ENSG00000090266/ENSG00000241468/ENSG00000167136/ENSG00000002330/ENSG00000103202/ENSG00000104980/ENSG00000125611/ENSG00000103254/ENSG00000099795/ENSG00000128626/ENSG00000138688/ENSG00000087088/ENSG00000155016/ENSG00000188906/ENSG00000147123/ENSG00000135940/ENSG00000175701/ENSG00000176340/ENSG00000172590/ENSG00000197785/ENSG00000170638/ENSG00000130748/ENSG00000126768/ENSG00000099800/ENSG00000131495/ENSG00000125356/ENSG00000074071/ENSG00000125995/ENSG00000110717/ENSG00000173156",76
"GO:0031966","GO:0031966","mitochondrial membrane","72/608","283/6929",0.254416961130742,2.89943276920216,10.1181196201267,1.43570393768008e-17,1.49672135503148e-15,1.49672135503148e-15,"ENSG00000214026/ENSG00000160072/ENSG00000105197/ENSG00000124172/ENSG00000254858/ENSG00000165233/ENSG00000129003/ENSG00000105364/ENSG00000170906/ENSG00000172757/ENSG00000174109/ENSG00000156411/ENSG00000140983/ENSG00000182154/ENSG00000167863/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000125901/ENSG00000099624/ENSG00000183048/ENSG00000105327/ENSG00000130204/ENSG00000174886/ENSG00000126267/ENSG00000262814/ENSG00000229833/ENSG00000134809/ENSG00000197150/ENSG00000172586/ENSG00000204922/ENSG00000167862/ENSG00000175756/ENSG00000140990/ENSG00000111775/ENSG00000103024/ENSG00000164405/ENSG00000119421/ENSG00000169020/ENSG00000161513/ENSG00000086504/ENSG00000179271/ENSG00000100300/ENSG00000090266/ENSG00000241468/ENSG00000167136/ENSG00000002330/ENSG00000103202/ENSG00000104980/ENSG00000103254/ENSG00000099795/ENSG00000128626/ENSG00000138688/ENSG00000087088/ENSG00000155016/ENSG00000188906/ENSG00000147123/ENSG00000135940/ENSG00000175701/ENSG00000176340/ENSG00000172590/ENSG00000197785/ENSG00000170638/ENSG00000130748/ENSG00000126768/ENSG00000099800/ENSG00000131495/ENSG00000125356/ENSG00000074071/ENSG00000125995/ENSG00000110717/ENSG00000173156",72
"GO:0031967","GO:0031967","organelle envelope","97/608","460/6929",0.210869565217391,2.40315002860412,9.65889141353183,2.46710413386398e-17,2.05756484764256e-15,2.05756484764256e-15,"ENSG00000054654/ENSG00000214026/ENSG00000160072/ENSG00000105197/ENSG00000124172/ENSG00000254858/ENSG00000130724/ENSG00000165233/ENSG00000129003/ENSG00000131018/ENSG00000105364/ENSG00000170906/ENSG00000067836/ENSG00000172757/ENSG00000177932/ENSG00000174109/ENSG00000156411/ENSG00000100401/ENSG00000140983/ENSG00000182154/ENSG00000132661/ENSG00000167863/ENSG00000109736/ENSG00000145494/ENSG00000148824/ENSG00000197345/ENSG00000125901/ENSG00000099624/ENSG00000183048/ENSG00000105327/ENSG00000130204/ENSG00000127554/ENSG00000174886/ENSG00000160404/ENSG00000126267/ENSG00000172009/ENSG00000262814/ENSG00000229833/ENSG00000134809/ENSG00000197150/ENSG00000172586/ENSG00000026297/ENSG00000204922/ENSG00000169629/ENSG00000132507/ENSG00000224051/ENSG00000167862/ENSG00000175756/ENSG00000140990/ENSG00000111775/ENSG00000184967/ENSG00000103024/ENSG00000164405/ENSG00000110628/ENSG00000119421/ENSG00000169020/ENSG00000161513/ENSG00000086504/ENSG00000179271/ENSG00000100300/ENSG00000090266/ENSG00000241468/ENSG00000167136/ENSG00000147155/ENSG00000002330/ENSG00000105677/ENSG00000103202/ENSG00000104980/ENSG00000125611/ENSG00000103254/ENSG00000099795/ENSG00000128626/ENSG00000140299/ENSG00000157020/ENSG00000138688/ENSG00000087088/ENSG00000155016/ENSG00000188906/ENSG00000147123/ENSG00000135940/ENSG00000175701/ENSG00000176340/ENSG00000172590/ENSG00000197785/ENSG00000170638/ENSG00000130748/ENSG00000126768/ENSG00000099800/ENSG00000131495/ENSG00000125356/ENSG00000074071/ENSG00000205726/ENSG00000175334/ENSG00000125995/ENSG00000185522/ENSG00000110717/ENSG00000173156",97
"GO:0098803","GO:0098803","respiratory chain complex","22/608","44/6929",0.5,5.69819078947368,9.69544727701917,1.29834389901088e-12,9.0234900981256e-11,9.0234900981256e-11,"ENSG00000124172/ENSG00000170906/ENSG00000156411/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000174886/ENSG00000126267/ENSG00000140990/ENSG00000111775/ENSG00000164405/ENSG00000119421/ENSG00000169020/ENSG00000090266/ENSG00000241468/ENSG00000099795/ENSG00000147123/ENSG00000135940/ENSG00000176340/ENSG00000131495/ENSG00000125356/ENSG00000110717",22
"GO:0005759","GO:0005759","mitochondrial matrix","47/608","195/6929",0.241025641025641,2.7468201754386,7.67346970631676,6.51911149527271e-11,3.88352784789817e-09,3.88352784789817e-09,"ENSG00000106268/ENSG00000214026/ENSG00000224877/ENSG00000183010/ENSG00000113580/ENSG00000124172/ENSG00000116863/ENSG00000105364/ENSG00000182154/ENSG00000184470/ENSG00000148824/ENSG00000197345/ENSG00000125901/ENSG00000099624/ENSG00000063854/ENSG00000262814/ENSG00000278619/ENSG00000072506/ENSG00000172586/ENSG00000156990/ENSG00000177192/ENSG00000164896/ENSG00000103152/ENSG00000167862/ENSG00000169972/ENSG00000175756/ENSG00000105552/ENSG00000167985/ENSG00000161513/ENSG00000086504/ENSG00000128309/ENSG00000179271/ENSG00000103202/ENSG00000104980/ENSG00000119705/ENSG00000128626/ENSG00000188906/ENSG00000114956/ENSG00000196365/ENSG00000172590/ENSG00000125656/ENSG00000197785/ENSG00000074071/ENSG00000167969/ENSG00000115541/ENSG00000110717/ENSG00000126432",47
"GO:0140513","GO:0140513","nuclear protein-containing complex","70/608","374/6929",0.18716577540107,2.13301259499015,6.98629668475795,3.76509409197375e-10,1.96255529544132e-08,1.96255529544132e-08,"ENSG00000054654/ENSG00000100029/ENSG00000171988/ENSG00000184281/ENSG00000170473/ENSG00000127922/ENSG00000130724/ENSG00000169689/ENSG00000105372/ENSG00000131018/ENSG00000105619/ENSG00000111642/ENSG00000077348/ENSG00000131652/ENSG00000014138/ENSG00000182117/ENSG00000100401/ENSG00000182173/ENSG00000180628/ENSG00000132661/ENSG00000008382/ENSG00000100142/ENSG00000213347/ENSG00000187051/ENSG00000187079/ENSG00000172428/ENSG00000175550/ENSG00000141552/ENSG00000064490/ENSG00000161981/ENSG00000105202/ENSG00000169629/ENSG00000005075/ENSG00000132507/ENSG00000170892/ENSG00000183207/ENSG00000105393/ENSG00000077312/ENSG00000169641/ENSG00000196235/ENSG00000204435/ENSG00000130332/ENSG00000184967/ENSG00000079819/ENSG00000177700/ENSG00000167797/ENSG00000100644/ENSG00000125835/ENSG00000169727/ENSG00000118058/ENSG00000139343/ENSG00000181817/ENSG00000157020/ENSG00000065268/ENSG00000127586/ENSG00000161036/ENSG00000161980/ENSG00000125743/ENSG00000130520/ENSG00000106400/ENSG00000104973/ENSG00000183684/ENSG00000105258/ENSG00000114767/ENSG00000103363/ENSG00000172336/ENSG00000280789/ENSG00000108021/ENSG00000174744/ENSG00000105618",70
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","22/608","61/6929",0.360655737704918,4.110170405522,7.5665306009818,3.24771212636376e-09,1.50477328521521e-07,1.50477328521521e-07,"ENSG00000214026/ENSG00000105197/ENSG00000105364/ENSG00000182154/ENSG00000197345/ENSG00000125901/ENSG00000130204/ENSG00000262814/ENSG00000072506/ENSG00000134809/ENSG00000167862/ENSG00000086504/ENSG00000179271/ENSG00000104980/ENSG00000128626/ENSG00000087088/ENSG00000172590/ENSG00000170638/ENSG00000126768/ENSG00000099800/ENSG00000074071/ENSG00000125995",22
"GO:1990904","GO:1990904","ribonucleoprotein complex","43/608","193/6929",0.22279792746114,2.53909019634579,6.72518941984621,5.91034028916076e-09,2.46461190058004e-07,2.46461190058004e-07,"ENSG00000139546/ENSG00000214026/ENSG00000160214/ENSG00000071626/ENSG00000100029/ENSG00000184281/ENSG00000105372/ENSG00000105364/ENSG00000160256/ENSG00000182117/ENSG00000182154/ENSG00000197345/ENSG00000125901/ENSG00000187051/ENSG00000262814/ENSG00000072506/ENSG00000161981/ENSG00000172586/ENSG00000105202/ENSG00000183207/ENSG00000077312/ENSG00000167862/ENSG00000175756/ENSG00000130332/ENSG00000184967/ENSG00000105640/ENSG00000086504/ENSG00000179271/ENSG00000125835/ENSG00000139343/ENSG00000119705/ENSG00000128626/ENSG00000181817/ENSG00000100129/ENSG00000188906/ENSG00000125743/ENSG00000130520/ENSG00000172590/ENSG00000183684/ENSG00000074071/ENSG00000114767/ENSG00000172336/ENSG00000105618",43
