"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","GO:0031012","extracellular matrix","91/423","359/8256",0.253481894150418,4.94739129575851,17.7701459033873,2.19651903469782e-40,5.8495766231864e-38,5.8495766231864e-38,"ENSG00000140092/ENSG00000129038/ENSG00000136859/ENSG00000113140/ENSG00000166923/ENSG00000136378/ENSG00000083782/ENSG00000060718/ENSG00000115414/ENSG00000113578/ENSG00000174807/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000108821/ENSG00000119681/ENSG00000106624/ENSG00000080573/ENSG00000162745/ENSG00000049192/ENSG00000130508/ENSG00000101680/ENSG00000139330/ENSG00000137573/ENSG00000064205/ENSG00000182492/ENSG00000179954/ENSG00000152377/ENSG00000107796/ENSG00000087116/ENSG00000154736/ENSG00000149968/ENSG00000164692/ENSG00000117122/ENSG00000197859/ENSG00000118523/ENSG00000143196/ENSG00000130635/ENSG00000011465/ENSG00000164176/ENSG00000149131/ENSG00000100234/ENSG00000197614/ENSG00000101955/ENSG00000123342/ENSG00000206384/ENSG00000137745/ENSG00000106819/ENSG00000106366/ENSG00000140682/ENSG00000077942/ENSG00000173376/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000099953/ENSG00000104415/ENSG00000135862/ENSG00000038427/ENSG00000107562/ENSG00000151388/ENSG00000106538/ENSG00000162804/ENSG00000106823/ENSG00000196569/ENSG00000127083/ENSG00000204262/ENSG00000101825/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000145423/ENSG00000105989/ENSG00000138080/ENSG00000091986/ENSG00000164932/ENSG00000138316/ENSG00000132386/ENSG00000133110/ENSG00000124491/ENSG00000157227/ENSG00000163359/ENSG00000134013/ENSG00000112769/ENSG00000105664/ENSG00000144810/ENSG00000163520/ENSG00000117385/ENSG00000149257/ENSG00000186340/ENSG00000185070",91
"GO:0030312","GO:0030312","external encapsulating structure","91/423","361/8256",0.25207756232687,4.91998192569891,17.6980842248707,3.61084976739901e-40,5.8495766231864e-38,5.8495766231864e-38,"ENSG00000140092/ENSG00000129038/ENSG00000136859/ENSG00000113140/ENSG00000166923/ENSG00000136378/ENSG00000083782/ENSG00000060718/ENSG00000115414/ENSG00000113578/ENSG00000174807/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000108821/ENSG00000119681/ENSG00000106624/ENSG00000080573/ENSG00000162745/ENSG00000049192/ENSG00000130508/ENSG00000101680/ENSG00000139330/ENSG00000137573/ENSG00000064205/ENSG00000182492/ENSG00000179954/ENSG00000152377/ENSG00000107796/ENSG00000087116/ENSG00000154736/ENSG00000149968/ENSG00000164692/ENSG00000117122/ENSG00000197859/ENSG00000118523/ENSG00000143196/ENSG00000130635/ENSG00000011465/ENSG00000164176/ENSG00000149131/ENSG00000100234/ENSG00000197614/ENSG00000101955/ENSG00000123342/ENSG00000206384/ENSG00000137745/ENSG00000106819/ENSG00000106366/ENSG00000140682/ENSG00000077942/ENSG00000173376/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000099953/ENSG00000104415/ENSG00000135862/ENSG00000038427/ENSG00000107562/ENSG00000151388/ENSG00000106538/ENSG00000162804/ENSG00000106823/ENSG00000196569/ENSG00000127083/ENSG00000204262/ENSG00000101825/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000145423/ENSG00000105989/ENSG00000138080/ENSG00000091986/ENSG00000164932/ENSG00000138316/ENSG00000132386/ENSG00000133110/ENSG00000124491/ENSG00000157227/ENSG00000163359/ENSG00000134013/ENSG00000112769/ENSG00000105664/ENSG00000144810/ENSG00000163520/ENSG00000117385/ENSG00000149257/ENSG00000186340/ENSG00000185070",91
"GO:0005614","GO:0005614","interstitial matrix","36/423","74/8256",0.486486486486487,9.49511213341,17.0576774267935,2.3306032172174e-27,2.51705147459479e-25,2.51705147459479e-25,"ENSG00000140092/ENSG00000129038/ENSG00000083782/ENSG00000060718/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000108821/ENSG00000119681/ENSG00000080573/ENSG00000139330/ENSG00000182492/ENSG00000152377/ENSG00000164692/ENSG00000117122/ENSG00000130635/ENSG00000011465/ENSG00000197614/ENSG00000106819/ENSG00000077942/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000038427/ENSG00000106823/ENSG00000127083/ENSG00000204262/ENSG00000142156/ENSG00000142798/ENSG00000138080/ENSG00000091986/ENSG00000163359/ENSG00000105664/ENSG00000144810/ENSG00000163520/ENSG00000186340",36
"GO:0140151","GO:0140151","solid phase of interstitial matrix","28/423","50/8256",0.56,10.9299290780142,16.3655291399671,9.67221561292251e-24,7.83449464646723e-22,7.83449464646723e-22,"ENSG00000140092/ENSG00000129038/ENSG00000060718/ENSG00000115414/ENSG00000168542/ENSG00000108821/ENSG00000119681/ENSG00000080573/ENSG00000182492/ENSG00000164692/ENSG00000117122/ENSG00000130635/ENSG00000011465/ENSG00000197614/ENSG00000077942/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000038427/ENSG00000204262/ENSG00000142156/ENSG00000142798/ENSG00000138080/ENSG00000163359/ENSG00000105664/ENSG00000144810/ENSG00000163520/ENSG00000186340",28
"GO:0140149","GO:0140149","non-collagenous component of interstitial matrix","19/423","31/8256",0.612903225806452,11.9624799816976,14.2097476746895,1.63529512765858e-17,1.05967124272276e-15,1.05967124272276e-15,"ENSG00000140092/ENSG00000129038/ENSG00000115414/ENSG00000119681/ENSG00000182492/ENSG00000117122/ENSG00000011465/ENSG00000197614/ENSG00000077942/ENSG00000166147/ENSG00000038427/ENSG00000142156/ENSG00000142798/ENSG00000138080/ENSG00000163359/ENSG00000105664/ENSG00000144810/ENSG00000163520/ENSG00000186340",19
"GO:0071953","GO:0071953","elastic fiber","16/423","26/8256",0.615384615384615,12.0109110747409,13.0669632849859,5.66583856455186e-15,3.05955282485801e-13,3.05955282485801e-13,"ENSG00000140092/ENSG00000129038/ENSG00000119681/ENSG00000182492/ENSG00000117122/ENSG00000011465/ENSG00000197614/ENSG00000077942/ENSG00000166147/ENSG00000038427/ENSG00000142156/ENSG00000142798/ENSG00000138080/ENSG00000163359/ENSG00000144810/ENSG00000163520",16
"GO:0001527","GO:0001527","microfibril","12/423","20/8256",0.6,11.7106382978723,11.1438906359221,2.43570570251861e-11,1.12738378230862e-09,1.12738378230862e-09,"ENSG00000129038/ENSG00000119681/ENSG00000117122/ENSG00000011465/ENSG00000197614/ENSG00000166147/ENSG00000038427/ENSG00000142156/ENSG00000142798/ENSG00000138080/ENSG00000163359/ENSG00000163520",12
"GO:0005604","GO:0005604","basement membrane","20/423","71/8256",0.28169014084507,5.49795225252223,8.84503045546772,1.99196257794166e-10,8.06744844066371e-09,8.06744844066371e-09,"ENSG00000129038/ENSG00000113140/ENSG00000115414/ENSG00000130508/ENSG00000101680/ENSG00000107796/ENSG00000130635/ENSG00000100234/ENSG00000077942/ENSG00000166147/ENSG00000135862/ENSG00000196569/ENSG00000142156/ENSG00000142798/ENSG00000091986/ENSG00000132386/ENSG00000134013/ENSG00000112769/ENSG00000144810/ENSG00000186340",20
"GO:0098644","GO:0098644","complex of collagen trimers","13/423","28/8256",0.464285714285714,9.06180344478217,9.92953106289846,2.58981336309449e-10,9.32332810714016e-09,9.32332810714016e-09,"ENSG00000060718/ENSG00000168542/ENSG00000108821/ENSG00000080573/ENSG00000164692/ENSG00000130635/ENSG00000206384/ENSG00000123500/ENSG00000111799/ENSG00000204262/ENSG00000142156/ENSG00000163359/ENSG00000144810",13
"GO:0005581","GO:0005581","collagen trimer","13/423","32/8256",0.40625,7.9290780141844,9.12585467625472,1.98958994641102e-09,6.44627142637172e-08,6.44627142637172e-08,"ENSG00000060718/ENSG00000168542/ENSG00000108821/ENSG00000080573/ENSG00000164692/ENSG00000130635/ENSG00000206384/ENSG00000123500/ENSG00000111799/ENSG00000204262/ENSG00000142156/ENSG00000163359/ENSG00000144810",13
