"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA","45/609","90/6764",0.5,5.55336617405583,13.6780769262812,4.23011989782802e-24,2.38578762237501e-21,2.38578762237501e-21,"ENSG00000174371/ENSG00000176208/ENSG00000138346/ENSG00000109674/ENSG00000133119/ENSG00000062822/ENSG00000136492/ENSG00000130816/ENSG00000130826/ENSG00000136982/ENSG00000100479/ENSG00000088305/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000076248/ENSG00000196584/ENSG00000013573/ENSG00000104738/ENSG00000164362/ENSG00000131747/ENSG00000119969/ENSG00000147687/ENSG00000197275/ENSG00000137309/ENSG00000076003/ENSG00000119772/ENSG00000186871/ENSG00000049541/ENSG00000154920/ENSG00000166508/ENSG00000178295/ENSG00000132646/ENSG00000187605/ENSG00000116062/ENSG00000100297/ENSG00000112118/ENSG00000051180/ENSG00000051341/ENSG00000168496/ENSG00000073111/ENSG00000177084/ENSG00000140451/ENSG00000163918/ENSG00000138336",45
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid","61/609","196/6764",0.311224489795918,3.45668710834087,10.9780605509911,3.97101766975581e-19,1.11982698287114e-16,1.11982698287114e-16,"ENSG00000174371/ENSG00000176208/ENSG00000138346/ENSG00000091127/ENSG00000113407/ENSG00000124787/ENSG00000109674/ENSG00000135372/ENSG00000133119/ENSG00000062822/ENSG00000136492/ENSG00000130816/ENSG00000130826/ENSG00000136982/ENSG00000100479/ENSG00000088305/ENSG00000134684/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000145996/ENSG00000076248/ENSG00000106105/ENSG00000196584/ENSG00000013573/ENSG00000104738/ENSG00000164362/ENSG00000131747/ENSG00000119969/ENSG00000147687/ENSG00000197275/ENSG00000123908/ENSG00000137309/ENSG00000076003/ENSG00000119772/ENSG00000186871/ENSG00000049541/ENSG00000154920/ENSG00000166508/ENSG00000123136/ENSG00000178295/ENSG00000132646/ENSG00000187605/ENSG00000116062/ENSG00000100297/ENSG00000146143/ENSG00000198056/ENSG00000104356/ENSG00000112118/ENSG00000051180/ENSG00000051341/ENSG00000113356/ENSG00000147669/ENSG00000168496/ENSG00000119203/ENSG00000073111/ENSG00000166986/ENSG00000177084/ENSG00000140451/ENSG00000163918/ENSG00000138336",61
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA","26/609","39/6764",0.666666666666667,7.40448823207444,12.6163841042964,1.04484692619798e-18,1.9643122212522e-16,1.9643122212522e-16,"ENSG00000176208/ENSG00000138346/ENSG00000133119/ENSG00000136492/ENSG00000136982/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000196584/ENSG00000013573/ENSG00000104738/ENSG00000131747/ENSG00000119969/ENSG00000197275/ENSG00000076003/ENSG00000186871/ENSG00000049541/ENSG00000166508/ENSG00000116062/ENSG00000100297/ENSG00000112118/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000140451/ENSG00000163918",26
"GO:0003697","GO:0003697","single-stranded DNA binding","24/609","39/6764",0.615384615384615,6.83491221422256,11.4943600553136,3.61343899694386e-16,5.09494898569084e-14,5.09494898569084e-14,"ENSG00000109674/ENSG00000121671/ENSG00000113810/ENSG00000065328/ENSG00000139618/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000163029/ENSG00000013573/ENSG00000104738/ENSG00000076003/ENSG00000166508/ENSG00000125319/ENSG00000100297/ENSG00000111247/ENSG00000112118/ENSG00000051180/ENSG00000146263/ENSG00000093009/ENSG00000164104/ENSG00000136824/ENSG00000073111/ENSG00000144381",24
"GO:0003678","GO:0003678","DNA helicase activity","18/609","24/6764",0.75,8.33004926108374,11.3147998826394,9.60362286325582e-15,1.08328865897526e-12,1.08328865897526e-12,"ENSG00000138346/ENSG00000133119/ENSG00000136492/ENSG00000136982/ENSG00000197299/ENSG00000013573/ENSG00000104738/ENSG00000076003/ENSG00000186871/ENSG00000049541/ENSG00000166508/ENSG00000100297/ENSG00000112118/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000140451/ENSG00000163918",18
"GO:0003682","GO:0003682","chromatin binding","57/609","222/6764",0.256756756756757,2.85172857586651,8.82394631887247,8.56721511120274e-14,8.05318220453058e-12,8.05318220453058e-12,"ENSG00000012822/ENSG00000174371/ENSG00000156802/ENSG00000105821/ENSG00000136518/ENSG00000100749/ENSG00000004487/ENSG00000180198/ENSG00000117724/ENSG00000062822/ENSG00000198554/ENSG00000130816/ENSG00000113810/ENSG00000170312/ENSG00000164754/ENSG00000166803/ENSG00000182199/ENSG00000115163/ENSG00000095002/ENSG00000164032/ENSG00000159259/ENSG00000077152/ENSG00000108468/ENSG00000085840/ENSG00000013573/ENSG00000083307/ENSG00000131747/ENSG00000119969/ENSG00000149136/ENSG00000146670/ENSG00000080839/ENSG00000137309/ENSG00000179094/ENSG00000122565/ENSG00000119772/ENSG00000123975/ENSG00000140534/ENSG00000173894/ENSG00000102098/ENSG00000132646/ENSG00000106462/ENSG00000213024/ENSG00000116062/ENSG00000109685/ENSG00000120533/ENSG00000121152/ENSG00000051180/ENSG00000051341/ENSG00000094804/ENSG00000113356/ENSG00000132341/ENSG00000064313/ENSG00000093009/ENSG00000167513/ENSG00000167670/ENSG00000136824/ENSG00000177084",57
"GO:0120543","GO:0120543","macromolecular conformation isomerase activity","38/609","112/6764",0.339285714285714,3.76835561810931,9.29221137839838,1.1894770100883e-13,9.5837861955686e-12,9.5837861955686e-12,"ENSG00000138346/ENSG00000133119/ENSG00000136492/ENSG00000136982/ENSG00000237649/ENSG00000139116/ENSG00000197299/ENSG00000085999/ENSG00000163808/ENSG00000138160/ENSG00000186638/ENSG00000013573/ENSG00000104738/ENSG00000118193/ENSG00000131747/ENSG00000119969/ENSG00000138778/ENSG00000121621/ENSG00000137807/ENSG00000076003/ENSG00000186871/ENSG00000049541/ENSG00000166508/ENSG00000123136/ENSG00000112984/ENSG00000100297/ENSG00000142945/ENSG00000112118/ENSG00000051180/ENSG00000117245/ENSG00000051341/ENSG00000090889/ENSG00000073111/ENSG00000138182/ENSG00000278259/ENSG00000140451/ENSG00000163918/ENSG00000186185",38
"GO:0016887","GO:0016887","ATP hydrolysis activity","47/609","164/6764",0.286585365853659,3.18302695342224,8.90170843845742,1.86779066181255e-13,1.27032642115588e-11,1.27032642115588e-11,"ENSG00000176208/ENSG00000138346/ENSG00000156802/ENSG00000136492/ENSG00000165629/ENSG00000113810/ENSG00000237649/ENSG00000124784/ENSG00000139116/ENSG00000077935/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000163808/ENSG00000085840/ENSG00000013573/ENSG00000104738/ENSG00000118193/ENSG00000119969/ENSG00000197275/ENSG00000121621/ENSG00000137807/ENSG00000076003/ENSG00000186871/ENSG00000146731/ENSG00000049541/ENSG00000150753/ENSG00000187522/ENSG00000166508/ENSG00000123136/ENSG00000112984/ENSG00000100297/ENSG00000142945/ENSG00000112118/ENSG00000117245/ENSG00000096384/ENSG00000051341/ENSG00000136824/ENSG00000156261/ENSG00000073111/ENSG00000138182/ENSG00000278259/ENSG00000071539/ENSG00000140451/ENSG00000144381/ENSG00000163918/ENSG00000186185",47
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","14/609","16/6764",0.875,9.7183908045977,10.981789080607,2.02711662950406e-13,1.27032642115588e-11,1.27032642115588e-11,"ENSG00000138346/ENSG00000133119/ENSG00000136982/ENSG00000104738/ENSG00000076003/ENSG00000049541/ENSG00000166508/ENSG00000100297/ENSG00000112118/ENSG00000051180/ENSG00000051341/ENSG00000073111/ENSG00000140451/ENSG00000163918",14
"GO:0140657","GO:0140657","ATP-dependent activity","59/609","243/6764",0.242798353909465,2.69669633143452,8.47255640751122,4.30527929049935e-13,2.42817751984164e-11,2.42817751984164e-11,"ENSG00000176208/ENSG00000138346/ENSG00000156802/ENSG00000133119/ENSG00000136492/ENSG00000165629/ENSG00000113810/ENSG00000136982/ENSG00000237649/ENSG00000124784/ENSG00000139116/ENSG00000077935/ENSG00000142230/ENSG00000095002/ENSG00000197299/ENSG00000085999/ENSG00000163808/ENSG00000085840/ENSG00000138160/ENSG00000196584/ENSG00000186638/ENSG00000013573/ENSG00000104738/ENSG00000118193/ENSG00000130304/ENSG00000131747/ENSG00000119969/ENSG00000138778/ENSG00000197275/ENSG00000121621/ENSG00000137807/ENSG00000076003/ENSG00000186871/ENSG00000146731/ENSG00000049541/ENSG00000150753/ENSG00000187522/ENSG00000166508/ENSG00000123136/ENSG00000112984/ENSG00000116062/ENSG00000100297/ENSG00000142945/ENSG00000112118/ENSG00000051180/ENSG00000117245/ENSG00000096384/ENSG00000051341/ENSG00000090889/ENSG00000136824/ENSG00000156261/ENSG00000073111/ENSG00000138182/ENSG00000278259/ENSG00000071539/ENSG00000140451/ENSG00000144381/ENSG00000163918/ENSG00000186185",59
