"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140375","GO:0140375","immune receptor activity","61/556","108/8044",0.564814814814815,8.17152944311218,20.4449638139731,3.51851657036439e-43,1.93166559713005e-40,1.93166559713005e-40,"ENSG00000172215/ENSG00000100385/ENSG00000186818/ENSG00000241106/ENSG00000187116/ENSG00000162894/ENSG00000171049/ENSG00000186810/ENSG00000143226/ENSG00000163606/ENSG00000104921/ENSG00000150045/ENSG00000203747/ENSG00000131042/ENSG00000115604/ENSG00000167618/ENSG00000105609/ENSG00000134470/ENSG00000196735/ENSG00000113302/ENSG00000147168/ENSG00000124334/ENSG00000171051/ENSG00000232629/ENSG00000189013/ENSG00000197405/ENSG00000187474/ENSG00000167286/ENSG00000183813/ENSG00000163823/ENSG00000158869/ENSG00000204577/ENSG00000104972/ENSG00000240403/ENSG00000180871/ENSG00000121966/ENSG00000198851/ENSG00000237541/ENSG00000117322/ENSG00000179934/ENSG00000103522/ENSG00000179344/ENSG00000162594/ENSG00000160683/ENSG00000239961/ENSG00000186431/ENSG00000167633/ENSG00000104998/ENSG00000115590/ENSG00000096996/ENSG00000134545/ENSG00000019582/ENSG00000203710/ENSG00000244482/ENSG00000150337/ENSG00000204475/ENSG00000170128/ENSG00000126353/ENSG00000134460/ENSG00000160791/ENSG00000160712",61
"GO:0003823","GO:0003823","antigen binding","30/556","41/8044",0.731707317073171,10.5860677311809,16.7675467314793,1.12634028656977e-26,3.09180408663401e-24,3.09180408663401e-24,"ENSG00000168394/ENSG00000231925/ENSG00000241106/ENSG00000204525/ENSG00000132465/ENSG00000204642/ENSG00000204267/ENSG00000242574/ENSG00000196735/ENSG00000158481/ENSG00000206503/ENSG00000117090/ENSG00000232629/ENSG00000204592/ENSG00000089692/ENSG00000158488/ENSG00000204632/ENSG00000158485/ENSG00000237541/ENSG00000196126/ENSG00000090659/ENSG00000223865/ENSG00000125730/ENSG00000179344/ENSG00000182866/ENSG00000085265/ENSG00000198502/ENSG00000204287/ENSG00000128322/ENSG00000234745",30
"GO:0042605","GO:0042605","peptide antigen binding","20/556","24/8044",0.833333333333333,12.0563549160671,14.780663177259,3.66717951295389e-20,6.71093850870562e-18,6.71093850870562e-18,"ENSG00000168394/ENSG00000231925/ENSG00000241106/ENSG00000204525/ENSG00000204642/ENSG00000204267/ENSG00000242574/ENSG00000196735/ENSG00000206503/ENSG00000232629/ENSG00000204592/ENSG00000204632/ENSG00000237541/ENSG00000196126/ENSG00000090659/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000204287/ENSG00000234745",20
"GO:0023023","GO:0023023","MHC protein complex binding","16/556","19/8044",0.842105263157895,12.1832639151836,13.2980011508976,1.76455617508676e-16,2.42185335030658e-14,2.42185335030658e-14,"ENSG00000231925/ENSG00000241106/ENSG00000131042/ENSG00000242574/ENSG00000156738/ENSG00000196735/ENSG00000232629/ENSG00000104972/ENSG00000237541/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000204287/ENSG00000134545/ENSG00000019582",16
"GO:0023026","GO:0023026","MHC class II protein complex binding","12/556","14/8044",0.857142857142857,12.4008221993834,11.6333804233963,8.50863832777871e-13,9.34248488390102e-11,9.34248488390102e-11,"ENSG00000241106/ENSG00000242574/ENSG00000156738/ENSG00000196735/ENSG00000232629/ENSG00000237541/ENSG00000196126/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000204287/ENSG00000019582",12
"GO:0004896","GO:0004896","cytokine receptor activity","25/556","69/8044",0.36231884057971,5.24189344176832,9.6423405615008,1.34595964446148e-12,1.23155307468226e-10,1.23155307468226e-10,"ENSG00000172215/ENSG00000100385/ENSG00000186810/ENSG00000115604/ENSG00000134470/ENSG00000113302/ENSG00000147168/ENSG00000124334/ENSG00000183813/ENSG00000163823/ENSG00000180871/ENSG00000121966/ENSG00000179934/ENSG00000103522/ENSG00000162594/ENSG00000160683/ENSG00000104998/ENSG00000115590/ENSG00000096996/ENSG00000019582/ENSG00000170128/ENSG00000126353/ENSG00000134460/ENSG00000160791/ENSG00000160712",25
"GO:0005126","GO:0005126","cytokine receptor binding","37/556","146/8044",0.253424657534247,3.66645313885878,8.85962481963944,1.75103153368223e-12,1.37330901713078e-10,1.37330901713078e-10,"ENSG00000125726/ENSG00000169248/ENSG00000125538/ENSG00000186074/ENSG00000185338/ENSG00000164400/ENSG00000150782/ENSG00000184371/ENSG00000113302/ENSG00000172156/ENSG00000102524/ENSG00000117560/ENSG00000271503/ENSG00000156234/ENSG00000138684/ENSG00000274736/ENSG00000102970/ENSG00000099985/ENSG00000169245/ENSG00000181374/ENSG00000111537/ENSG00000131142/ENSG00000125730/ENSG00000162594/ENSG00000105639/ENSG00000104432/ENSG00000172724/ENSG00000035720/ENSG00000138755/ENSG00000151651/ENSG00000096996/ENSG00000108691/ENSG00000102962/ENSG00000226979/ENSG00000106178/ENSG00000227507/ENSG00000160712",37
"GO:0032393","GO:0032393","MHC class I receptor activity","10/556","10/8044",1,14.4676258992806,11.611508454477,2.30731105972527e-12,1.58339221473647e-10,1.58339221473647e-10,"ENSG00000186818/ENSG00000187116/ENSG00000150045/ENSG00000131042/ENSG00000105609/ENSG00000204577/ENSG00000104972/ENSG00000239961/ENSG00000167633/ENSG00000244482",10
"GO:0038187","GO:0038187","pattern recognition receptor activity","18/556","37/8044",0.486486486486487,7.0383044915419,10.0310055180701,5.08905046150644e-12,3.10432078151893e-10,3.10432078151893e-10,"ENSG00000038945/ENSG00000172243/ENSG00000205846/ENSG00000101916/ENSG00000104921/ENSG00000163568/ENSG00000166523/ENSG00000187912/ENSG00000198178/ENSG00000174125/ENSG00000113088/ENSG00000091592/ENSG00000090659/ENSG00000166527/ENSG00000085265/ENSG00000132514/ENSG00000174130/ENSG00000136869",18
"GO:0042277","GO:0042277","peptide binding","31/556","128/8044",0.2421875,3.50387814748201,7.78088137465724,4.0018229758698e-10,2.19700081375252e-08,2.19700081375252e-08,"ENSG00000168394/ENSG00000038945/ENSG00000231925/ENSG00000241106/ENSG00000171049/ENSG00000204525/ENSG00000204642/ENSG00000131042/ENSG00000204267/ENSG00000242574/ENSG00000196735/ENSG00000206503/ENSG00000173372/ENSG00000133216/ENSG00000232629/ENSG00000204592/ENSG00000130203/ENSG00000204632/ENSG00000237541/ENSG00000196126/ENSG00000090659/ENSG00000223865/ENSG00000179344/ENSG00000198502/ENSG00000160255/ENSG00000174130/ENSG00000204287/ENSG00000136869/ENSG00000019582/ENSG00000095970/ENSG00000234745",31
"GO:0019955","GO:0019955","cytokine binding","26/556","97/8044",0.268041237113402,3.87792034413706,7.77009881930635,1.01907153104845e-09,5.08609336859637e-08,5.08609336859637e-08,"ENSG00000174004/ENSG00000172215/ENSG00000100385/ENSG00000186810/ENSG00000115604/ENSG00000113302/ENSG00000147168/ENSG00000124334/ENSG00000137752/ENSG00000183813/ENSG00000163823/ENSG00000180871/ENSG00000121966/ENSG00000117228/ENSG00000179934/ENSG00000162594/ENSG00000160683/ENSG00000028137/ENSG00000115590/ENSG00000096996/ENSG00000167634/ENSG00000019582/ENSG00000126353/ENSG00000134460/ENSG00000160791/ENSG00000160712",26
"GO:0042287","GO:0042287","MHC protein binding","11/556","18/8044",0.611111111111111,8.84132693844924,9.07485613767292,3.1852020614157e-09,1.45722994309768e-07,1.45722994309768e-07,"ENSG00000168394/ENSG00000231925/ENSG00000172243/ENSG00000131042/ENSG00000204267/ENSG00000204592/ENSG00000089692/ENSG00000104972/ENSG00000240403/ENSG00000085514/ENSG00000019582",11
