"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","12/605","29/6764",0.413793103448276,4.62627529210601,6.13314523142507,2.93970735326389e-06,0.000900564667754132,0.000900564667754132,"ENSG00000170906/ENSG00000145494/ENSG00000126267/ENSG00000140990/ENSG00000119421/ENSG00000090266/ENSG00000099795/ENSG00000135940/ENSG00000176340/ENSG00000131495/ENSG00000125356/ENSG00000110717",12
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","25/605","104/6764",0.240384615384615,2.68753973299428,5.43532905113851,3.15434209370974e-06,0.000900564667754132,0.000900564667754132,"ENSG00000214309/ENSG00000179115/ENSG00000077348/ENSG00000105671/ENSG00000100142/ENSG00000149743/ENSG00000100416/ENSG00000278619/ENSG00000026297/ENSG00000105202/ENSG00000005075/ENSG00000177192/ENSG00000170892/ENSG00000167862/ENSG00000169972/ENSG00000177700/ENSG00000167136/ENSG00000071462/ENSG00000130299/ENSG00000161980/ENSG00000134744/ENSG00000169718/ENSG00000105258/ENSG00000172336/ENSG00000130305",25
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","9/605","18/6764",0.5,5.5900826446281,6.11119115176859,8.03095326166024e-06,0.00125825954072762,0.00125825954072762,"ENSG00000170906/ENSG00000145494/ENSG00000140990/ENSG00000119421/ENSG00000090266/ENSG00000099795/ENSG00000131495/ENSG00000125356/ENSG00000110717",9
"GO:0022853","GO:0022853","active monoatomic ion transmembrane transporter activity","16/605","53/6764",0.30188679245283,3.37514423826602,5.44034677478064,8.81442760579767e-06,0.00125825954072762,0.00125825954072762,"ENSG00000110719/ENSG00000128524/ENSG00000170906/ENSG00000145494/ENSG00000126267/ENSG00000105726/ENSG00000140990/ENSG00000119421/ENSG00000058668/ENSG00000090266/ENSG00000099795/ENSG00000135940/ENSG00000176340/ENSG00000131495/ENSG00000125356/ENSG00000110717",16
"GO:0015078","GO:0015078","proton transmembrane transporter activity","19/605","73/6764",0.26027397260274,2.90990603418997,5.14185937535809,1.42908732253629e-05,0.00163201772233645,0.00163201772233645,"ENSG00000110719/ENSG00000128524/ENSG00000124172/ENSG00000170906/ENSG00000167863/ENSG00000145494/ENSG00000099624/ENSG00000126267/ENSG00000140990/ENSG00000119421/ENSG00000169020/ENSG00000090266/ENSG00000241468/ENSG00000099795/ENSG00000135940/ENSG00000176340/ENSG00000131495/ENSG00000125356/ENSG00000110717",19
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid","35/605","196/6764",0.178571428571429,1.99645808736718,4.43672773875084,4.83344612248936e-05,0.00459982955990237,0.00459982955990237,"ENSG00000214309/ENSG00000179115/ENSG00000111642/ENSG00000077348/ENSG00000105671/ENSG00000100142/ENSG00000149743/ENSG00000100416/ENSG00000278619/ENSG00000026297/ENSG00000105202/ENSG00000005075/ENSG00000177192/ENSG00000170892/ENSG00000183207/ENSG00000103152/ENSG00000167862/ENSG00000169972/ENSG00000039650/ENSG00000197774/ENSG00000009413/ENSG00000177700/ENSG00000167136/ENSG00000071462/ENSG00000130299/ENSG00000167968/ENSG00000127586/ENSG00000161980/ENSG00000134744/ENSG00000169718/ENSG00000146414/ENSG00000105258/ENSG00000065057/ENSG00000172336/ENSG00000130305",35
"GO:0051020","GO:0051020","GTPase binding","25/605","124/6764",0.201612903225806,2.25406558251133,4.41712135171378,7.91445747946966e-05,0.00645593602968168,0.00645593602968168,"ENSG00000115306/ENSG00000164877/ENSG00000172354/ENSG00000139132/ENSG00000107560/ENSG00000147202/ENSG00000115504/ENSG00000100401/ENSG00000132661/ENSG00000134318/ENSG00000147251/ENSG00000169629/ENSG00000165029/ENSG00000130733/ENSG00000167657/ENSG00000005810/ENSG00000090565/ENSG00000103202/ENSG00000188906/ENSG00000166398/ENSG00000107404/ENSG00000123143/ENSG00000162069/ENSG00000108518/ENSG00000105404",25
"GO:0019213","GO:0019213","deacetylase activity","6/605","11/6764",0.545454545454545,6.09827197595793,5.30350822403364,0.000155995976137736,0.0111342127968309,0.0111342127968309,"ENSG00000116863/ENSG00000161179/ENSG00000077463/ENSG00000133315/ENSG00000162066/ENSG00000187531",6
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","18/605","81/6764",0.222222222222222,2.48448117539027,4.21234324411613,0.000221313290141651,0.0140410987412092,0.0140410987412092,"ENSG00000110719/ENSG00000128524/ENSG00000170906/ENSG00000145494/ENSG00000126267/ENSG00000197150/ENSG00000105726/ENSG00000140990/ENSG00000165029/ENSG00000119421/ENSG00000058668/ENSG00000090266/ENSG00000099795/ENSG00000135940/ENSG00000176340/ENSG00000131495/ENSG00000125356/ENSG00000110717",18
"GO:0003735","GO:0003735","structural constituent of ribosome","12/605","43/6764",0.27906976744186,3.12004612723429,4.37073896082004,0.000269641131306047,0.0153965085975753,0.0153965085975753,"ENSG00000214026/ENSG00000105372/ENSG00000105364/ENSG00000182154/ENSG00000197345/ENSG00000262814/ENSG00000105640/ENSG00000086504/ENSG00000179271/ENSG00000128626/ENSG00000172590/ENSG00000074071",12
