"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","46/391","117/6764",0.393162393162393,6.80140774258421,15.6783225479918,1.78608765330108e-27,8.28744671131703e-25,8.28744671131703e-25,"ENSG00000140092/ENSG00000113140/ENSG00000060718/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000108821/ENSG00000119681/ENSG00000106624/ENSG00000080573/ENSG00000130508/ENSG00000101680/ENSG00000182492/ENSG00000186340/ENSG00000152377/ENSG00000164692/ENSG00000117122/ENSG00000188783/ENSG00000143196/ENSG00000130635/ENSG00000011465/ENSG00000164176/ENSG00000197614/ENSG00000101955/ENSG00000206384/ENSG00000106819/ENSG00000077942/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000204262/ENSG00000101825/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000138080/ENSG00000164932/ENSG00000133110/ENSG00000038427/ENSG00000196569/ENSG00000163359/ENSG00000112769/ENSG00000105664/ENSG00000144810/ENSG00000163520",46
"GO:0005539","GO:0005539","glycosaminoglycan binding","32/391","133/6764",0.240601503759398,4.16222141030325,9.12251727612123,1.93670403167818e-12,4.49315335349339e-10,4.49315335349339e-10,"ENSG00000099250/ENSG00000083782/ENSG00000163430/ENSG00000115414/ENSG00000113578/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000064205/ENSG00000204381/ENSG00000140285/ENSG00000182492/ENSG00000186340/ENSG00000154736/ENSG00000118523/ENSG00000188783/ENSG00000130635/ENSG00000011465/ENSG00000184347/ENSG00000180875/ENSG00000173376/ENSG00000166147/ENSG00000104415/ENSG00000103888/ENSG00000106823/ENSG00000133110/ENSG00000038427/ENSG00000105664/ENSG00000091986/ENSG00000145147/ENSG00000123610/ENSG00000000971",32
"GO:0005178","GO:0005178","integrin binding","25/391","97/6764",0.257731958762887,4.45856513829198,8.49772577834335,1.13084261457013e-10,1.31177743290136e-08,1.31177743290136e-08,"ENSG00000140092/ENSG00000115414/ENSG00000113578/ENSG00000157168/ENSG00000168542/ENSG00000142871/ENSG00000107562/ENSG00000073712/ENSG00000064205/ENSG00000154736/ENSG00000118523/ENSG00000154096/ENSG00000130635/ENSG00000166086/ENSG00000164176/ENSG00000077942/ENSG00000166147/ENSG00000104415/ENSG00000106823/ENSG00000145423/ENSG00000142798/ENSG00000138080/ENSG00000157227/ENSG00000078098/ENSG00000105664",25
"GO:0008201","GO:0008201","heparin binding","25/391","97/6764",0.257731958762887,4.45856513829198,8.49772577834335,1.13084261457013e-10,1.31177743290136e-08,1.31177743290136e-08,"ENSG00000099250/ENSG00000163430/ENSG00000115414/ENSG00000113578/ENSG00000142871/ENSG00000119681/ENSG00000080573/ENSG00000064205/ENSG00000140285/ENSG00000186340/ENSG00000154736/ENSG00000118523/ENSG00000188783/ENSG00000130635/ENSG00000184347/ENSG00000180875/ENSG00000173376/ENSG00000166147/ENSG00000104415/ENSG00000106823/ENSG00000133110/ENSG00000105664/ENSG00000091986/ENSG00000145147/ENSG00000000971",25
"GO:0005198","GO:0005198","structural molecule activity","53/391","366/6764",0.144808743169399,2.50508015037804,7.33270420231729,2.25265388437431e-10,2.09046280469936e-08,2.09046280469936e-08,"ENSG00000140092/ENSG00000113140/ENSG00000060718/ENSG00000198467/ENSG00000115414/ENSG00000174348/ENSG00000168542/ENSG00000142871/ENSG00000108821/ENSG00000119681/ENSG00000106624/ENSG00000080573/ENSG00000130508/ENSG00000101680/ENSG00000182492/ENSG00000186340/ENSG00000152377/ENSG00000107796/ENSG00000101335/ENSG00000162614/ENSG00000164692/ENSG00000117122/ENSG00000188783/ENSG00000143196/ENSG00000166963/ENSG00000130635/ENSG00000011465/ENSG00000164176/ENSG00000197614/ENSG00000101955/ENSG00000206384/ENSG00000160808/ENSG00000106819/ENSG00000077942/ENSG00000166147/ENSG00000123500/ENSG00000111799/ENSG00000204262/ENSG00000101825/ENSG00000142156/ENSG00000138615/ENSG00000142798/ENSG00000138080/ENSG00000164932/ENSG00000133110/ENSG00000038427/ENSG00000196569/ENSG00000163359/ENSG00000139220/ENSG00000112769/ENSG00000105664/ENSG00000144810/ENSG00000163520",53
"GO:0005518","GO:0005518","collagen binding","15/391","36/6764",0.416666666666667,7.2080136402387,9.25011292545,3.75954750605058e-10,2.90738340467911e-08,2.90738340467911e-08,"ENSG00000113140/ENSG00000213949/ENSG00000115414/ENSG00000174348/ENSG00000106624/ENSG00000080573/ENSG00000137809/ENSG00000137745/ENSG00000162733/ENSG00000106823/ENSG00000172061/ENSG00000142156/ENSG00000105664/ENSG00000117385/ENSG00000149257",15
"GO:0050840","GO:0050840","extracellular matrix binding","15/391","37/6764",0.405405405405405,7.01320246077279,9.08410379609349,5.99326681982311e-10,3.97267972056846e-08,3.97267972056846e-08,"ENSG00000060718/ENSG00000174807/ENSG00000142871/ENSG00000119681/ENSG00000162745/ENSG00000130508/ENSG00000182492/ENSG00000179954/ENSG00000154736/ENSG00000197859/ENSG00000011465/ENSG00000197614/ENSG00000172061/ENSG00000163520/ENSG00000145147",15
"GO:0030020","GO:0030020","extracellular matrix structural constituent conferring tensile strength","13/391","31/6764",0.419354838709677,7.2545169540467,8.64482939539591,5.25610189283123e-09,3.04853909784212e-07,3.04853909784212e-07,"ENSG00000060718/ENSG00000168542/ENSG00000108821/ENSG00000080573/ENSG00000164692/ENSG00000130635/ENSG00000206384/ENSG00000123500/ENSG00000111799/ENSG00000204262/ENSG00000142156/ENSG00000163359/ENSG00000144810",13
"GO:0004222","GO:0004222","metalloendopeptidase activity","16/391","54/6764",0.296296296296296,5.12569858861419,7.53909523668741,3.18379114650175e-08,1.64142121330757e-06,1.64142121330757e-06,"ENSG00000095587/ENSG00000123342/ENSG00000049192/ENSG00000148848/ENSG00000087116/ENSG00000154736/ENSG00000149968/ENSG00000196549/ENSG00000168487/ENSG00000137745/ENSG00000099953/ENSG00000151388/ENSG00000138316/ENSG00000136378/ENSG00000157227/ENSG00000038295",16
"GO:0050839","GO:0050839","cell adhesion molecule binding","43/391","313/6764",0.137380191693291,2.37657190949723,6.17651732630769,6.49336328371985e-08,3.01292056364601e-06,3.01292056364601e-06,"ENSG00000140092/ENSG00000173482/ENSG00000213949/ENSG00000115414/ENSG00000189184/ENSG00000113578/ENSG00000157168/ENSG00000168542/ENSG00000142871/ENSG00000140937/ENSG00000183853/ENSG00000107562/ENSG00000253305/ENSG00000073712/ENSG00000064205/ENSG00000107736/ENSG00000154736/ENSG00000162614/ENSG00000118523/ENSG00000154096/ENSG00000130635/ENSG00000166086/ENSG00000164176/ENSG00000196358/ENSG00000137809/ENSG00000018236/ENSG00000254122/ENSG00000077942/ENSG00000171840/ENSG00000122786/ENSG00000166147/ENSG00000104415/ENSG00000177707/ENSG00000106823/ENSG00000145423/ENSG00000142798/ENSG00000138080/ENSG00000253873/ENSG00000197702/ENSG00000133110/ENSG00000157227/ENSG00000078098/ENSG00000105664",43
