Module,GeneSymbol,EnsemblID,kME,Full_Name,Aliases,EntrezID,BRCA_Mutation_pct,BRCA_CNA_pct,BRCA_Altered_pct,Functional_Summary
purple,PUF60,ENSG00000179950.14,0.9204,poly(U) binding splicing factor 60,FIR; RoBPI; SIAHBP1; VRJS,22827,0.2,10.7,10.7,"This gene encodes a nucleic acid-binding protein that plays a role in a variety of nuclear processes, including pre-mRNA splicing and transcriptional regulation. The encoded protein forms a complex with the far upstream DNA element (FUSE) and FUSE-binding protein at the myelocytomatosis oncogene (MYC) promoter. This complex represses MYC transcription through the core-TFIIH basal transcription factor. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Aug 2012]."
purple,HSF1,ENSG00000185122.11,0.908,heat shock transcription factor 1,HSTF1,3297,0.5,10.8,11.2,"The product of this gene is a transcription factor that is rapidly induced after temperature stress and binds heat shock promoter elements (HSE). This protein plays a role in the regulation of lifespan. Expression of this gene is repressed by phosphorylation, which promotes binding by heat shock protein 90. [provided by RefSeq, Jul 2017]."
purple,SHARPIN,ENSG00000179526.17,0.9074,SHANK associated RH domain interactor,AIFID; SIPL1,81858,0.4,10.8,11.1,"Enables polyubiquitin modification-dependent protein binding activity. Involved in protein linear polyubiquitination and regulation of signal transduction. Located in cytosol. Part of LUBAC complex. [provided by Alliance of Genome Resources, Apr 2022]"
purple,EXOSC4,ENSG00000178896.9,0.8976,exosome component 4,RRP41; RRP41A; Rrp41p; SKI6; Ski6p; hRrp41p; p12A,54512,0.1,10.8,10.8,"Enables mRNA 3'-UTR AU-rich region binding activity. Involved in nucleic acid metabolic process and positive regulation of cell growth. Acts upstream of or within defense response to virus. Located in cytosol; nucleoplasm; and transcriptionally active chromatin. Part of exosome (RNase complex). [provided by Alliance of Genome Resources, Apr 2022]"
purple,HGH1,ENSG00000235173.7,0.8974,HGH1 cochaperone,BRP16; BRP16L; C8orf30A; C8orf30B; FAM203A; FAM203B,51236,0.0,10.8,10.7,No summary available.
purple,ZFTRAF1,ENSG00000187954.13,0.8942,zinc finger TRAF-type and ring finger containing 1,CHRP; CYHR1,50626,0.3,10.8,11.0,"Predicted to enable zinc ion binding activity. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
purple,CYC1,ENSG00000179091.5,0.8893,cytochrome c1,MC3DN6; UQCR4,1537,0.0,10.8,10.7,"This gene encodes a subunit of the cytochrome bc1 complex, which plays an important role in the mitochondrial respiratory chain by transferring electrons from the Rieske iron-sulfur protein to cytochrome c. Mutations in this gene may cause mitochondrial complex III deficiency, nuclear type 6. [provided by RefSeq, Dec 2013]."
purple,COMMD5,ENSG00000170619.10,0.889,COMM domain containing 5,HCARG; HT002,28991,0.2,10.8,10.8,"Predicted to be involved in proximal tubule morphogenesis. Located in cytosol and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
purple,PYCR3,ENSG00000104524.14,0.8802,pyrroline-5-carboxylate reductase 3,PYCRL,65263,0.0,10.7,10.5,"This gene encodes a protein that belongs to the pyrroline-5-carboxylate reductase family of enzymes. Members of this family catalyze the final step in proline biosynthesis, converting pyrroline-5-carboxylate to proline. Glutamate and ornithine are precursors in the synthesis of proline. The protein encoded by this gene is a cytoplasmic enzyme involved in the biosynthesis of proline from ornithine. [provided by RefSeq, Aug 2016]."
purple,ZC3H3,ENSG00000014164.7,0.8703,zinc finger CCCH-type containing 3,SMICL; ZC3HDC3,23144,0.1,10.8,10.7,"Predicted to enable SMAD binding activity. Involved in regulation of mRNA polyadenylation. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
