"Module","EnsemblID","GeneSymbol","kME"
"turquoise","ENSG00000065328.17","MCM10",0.914
"turquoise","ENSG00000088325.16","TPX2",0.9118
"turquoise","ENSG00000112742.10","TTK",0.9086
"turquoise","ENSG00000169679.15","BUB1",0.905
"turquoise","ENSG00000109805.10","NCAPG",0.9039
"turquoise","ENSG00000145386.11","CCNA2",0.9036
"turquoise","ENSG00000134690.11","CDCA8",0.9014
"turquoise","ENSG00000129810.15","SGO1",0.8964
"turquoise","ENSG00000138180.16","CEP55",0.8949
"turquoise","ENSG00000024526.17","DEPDC1",0.8938
"turquoise","ENSG00000165304.8","MELK",0.8936
"turquoise","ENSG00000121152.10","NCAPH",0.8894
"turquoise","ENSG00000154839.10","SKA1",0.8888
"turquoise","ENSG00000111206.13","FOXM1",0.8861
"turquoise","ENSG00000169607.13","CKAP2L",0.8841
"turquoise","ENSG00000115163.15","CENPA",0.8825
"turquoise","ENSG00000174371.17","EXO1",0.8821
"turquoise","ENSG00000164045.12","CDC25A",0.8818
"turquoise","ENSG00000126787.13","DLGAP5",0.881
"turquoise","ENSG00000164109.14","MAD2L1",0.8806
"magenta","ENSG00000179950.14","PUF60",0.9206
"magenta","ENSG00000179526.17","SHARPIN",0.9106
"magenta","ENSG00000185122.11","HSF1",0.9064
"magenta","ENSG00000178896.9","EXOSC4",0.8996
"magenta","ENSG00000235173.7","HGH1",0.8993
"magenta","ENSG00000187954.13","ZFTRAF1",0.8929
"magenta","ENSG00000170619.10","COMMD5",0.8919
"magenta","ENSG00000179091.5","CYC1",0.8918
"magenta","ENSG00000104524.14","PYCR3",0.882
"magenta","ENSG00000014164.7","ZC3H3",0.8698
"magenta","ENSG00000185803.12","SLC52A2",0.8681
"magenta","ENSG00000182325.11","FBXL6",0.8678
"magenta","ENSG00000261236.8","BOP1",0.8592
"magenta","ENSG00000160948.14","VPS28",0.857
"magenta","ENSG00000180900.20","SCRIB",0.8443
"magenta","ENSG00000213563.7","C8orf82",0.8368
"magenta","ENSG00000179886.6","TIGD5",0.83
"magenta","ENSG00000173137.12","ADCK5",0.8269
"magenta","ENSG00000197858.11","GPAA1",0.8225
"magenta","ENSG00000160972.9","PPP1R16A",0.8151
"black","ENSG00000172366.20","MCRIP2",0.895
"black","ENSG00000103024.7","NME3",0.8912
"black","ENSG00000095906.17","NUBP2",0.8837
"black","ENSG00000229809.8","ZNF688",0.8765
"black","ENSG00000103254.10","ANTKMT",0.8736
"black","ENSG00000103245.14","CIAO3",0.8705
"black","ENSG00000162076.13","FLYWCH2",0.8592
"black","ENSG00000007541.17","PIGQ",0.8582
"black","ENSG00000167969.13","ECI1",0.8513
"black","ENSG00000074071.15","MRPS34",0.8507
"black","ENSG00000140983.14","RHOT2",0.8477
"black","ENSG00000067836.13","ROGDI",0.8474
"black","ENSG00000122386.11","ZNF205",0.8446
"black","ENSG00000177548.13","RABEP2",0.8421
"black","ENSG00000127580.17","WDR24",0.8413
"black","ENSG00000284976.1","LOC122513141",0.8388
"black","ENSG00000167967.16","E4F1",0.8383
"black","ENSG00000127554.13","GFER",0.8288
"black","ENSG00000140990.15","NDUFB10",0.8184
"black","ENSG00000103152.12","MPG",0.817
"yellow","ENSG00000102030.16","NAA10",0.8565
