"Module","EnsemblID","GeneSymbol","kME"
"blue","ENSG00000088325.16","TPX2",0.9289
"blue","ENSG00000065328.17","MCM10",0.9283
"blue","ENSG00000169679.15","BUB1",0.9233
"blue","ENSG00000145386.11","CCNA2",0.9188
"blue","ENSG00000112742.10","TTK",0.9174
"blue","ENSG00000109805.10","NCAPG",0.9161
"blue","ENSG00000134690.11","CDCA8",0.9156
"blue","ENSG00000138180.16","CEP55",0.9131
"blue","ENSG00000165304.8","MELK",0.9124
"blue","ENSG00000129810.15","SGO1",0.9122
"blue","ENSG00000121152.10","NCAPH",0.9114
"blue","ENSG00000111206.13","FOXM1",0.9031
"blue","ENSG00000024526.17","DEPDC1",0.9027
"blue","ENSG00000154839.10","SKA1",0.902
"blue","ENSG00000169607.13","CKAP2L",0.9016
"blue","ENSG00000115163.15","CENPA",0.9014
"blue","ENSG00000126787.13","DLGAP5",0.9001
"blue","ENSG00000090889.12","KIF4A",0.8986
"blue","ENSG00000157456.8","CCNB2",0.8981
"blue","ENSG00000142945.13","KIF2C",0.8979
"black","ENSG00000187954.13","ZFTRAF1",0.9172
"black","ENSG00000179950.14","PUF60",0.9164
"black","ENSG00000185122.11","HSF1",0.9111
"black","ENSG00000179526.17","SHARPIN",0.911
"black","ENSG00000178896.9","EXOSC4",0.8945
"black","ENSG00000170619.10","COMMD5",0.8845
"black","ENSG00000235173.7","HGH1",0.8825
"black","ENSG00000104524.14","PYCR3",0.8806
"black","ENSG00000014164.7","ZC3H3",0.8792
"black","ENSG00000182325.11","FBXL6",0.8765
"black","ENSG00000180900.20","SCRIB",0.8719
"black","ENSG00000179091.5","CYC1",0.8714
"black","ENSG00000173137.12","ADCK5",0.8664
"black","ENSG00000185803.12","SLC52A2",0.8642
"black","ENSG00000160948.14","VPS28",0.8638
"black","ENSG00000261236.8","BOP1",0.8613
"black","ENSG00000179886.6","TIGD5",0.8481
"black","ENSG00000160972.9","PPP1R16A",0.8475
"black","ENSG00000213563.7","C8orf82",0.8469
"black","ENSG00000197858.11","GPAA1",0.8334
"turquoise","ENSG00000099624.8","ATP5F1D",0.8688
"turquoise","ENSG00000175756.13","AURKAIP1",0.8611
"turquoise","ENSG00000179271.3","GADD45GIP1",0.86
"turquoise","ENSG00000176101.12","SSNA1",0.8396
"turquoise","ENSG00000099795.7","NDUFB7",0.8374
"turquoise","ENSG00000148362.11","ENSG00000148362.11",0.8363
"turquoise","ENSG00000077463.15","SIRT6",0.8321
"turquoise","ENSG00000086504.17","MRPL28",0.832
"turquoise","ENSG00000105669.14","COPE",0.8314
"turquoise","ENSG00000102030.16","NAA10",0.8314
"turquoise","ENSG00000007080.11","CCDC124",0.8284
"turquoise","ENSG00000228300.14","ENSG00000228300.14",0.8279
"turquoise","ENSG00000074071.15","MRPS34",0.8255
"turquoise","ENSG00000130731.16","METTL26",0.8251
"turquoise","ENSG00000107223.13","EDF1",0.8235
"turquoise","ENSG00000095906.17","NUBP2",0.8227
"turquoise","ENSG00000099800.8","TIMM13",0.8217
"turquoise","ENSG00000103363.15","ELOB",0.8194
"turquoise","ENSG00000182154.8","MRPL41",0.8177
"turquoise","ENSG00000130332.15","LSM7",0.8171
"pink","ENSG00000173627.8","APOBEC4",0.9124
"pink","ENSG00000136918.8","WDR38",0.8764
"pink","ENSG00000167858.13","TEKT1",0.8756
"pink","ENSG00000157330.10","CFAP107",0.875
"pink","ENSG00000169064.13","ZBBX",0.8718
"pink","ENSG00000187492.9","CDHR4",0.8622
"pink","ENSG00000186471.13","AKAP14",0.8577
"pink","ENSG00000164287.13","CDC20B",0.8435
"pink","ENSG00000176601.13","MAP3K19",0.841
"pink","ENSG00000124237.6","CIMIP1",0.8317
"pink","ENSG00000080572.13","DNAAF6",0.8251
"pink","ENSG00000118492.17","ADGB",0.823
"pink","ENSG00000139445.18","FOXN4",0.8219
"pink","ENSG00000145491.12","ROPN1L",0.8188
"pink","ENSG00000243910.8","TUBA4B",0.8167
"pink","ENSG00000179902.13","CFAP276",0.814
"pink","ENSG00000111834.13","RSPH4A",0.8033
"pink","ENSG00000159625.15","DRC7",0.7997
"pink","ENSG00000163263.7","CFAP141",0.7914
"pink","ENSG00000129654.8","FOXJ1",0.7909
"brown","ENSG00000167208.15","SNX20",0.9576
"brown","ENSG00000143851.15","PTPN7",0.9569
"brown","ENSG00000122122.10","SASH3",0.9455
"brown","ENSG00000096996.16","IL12RB1",0.9413
"brown","ENSG00000143119.14","CD53",0.9346
"brown","ENSG00000117091.10","CD48",0.9344
"brown","ENSG00000123329.20","ARHGAP9",0.9249
"brown","ENSG00000117090.15","SLAMF1",0.9233
"brown","ENSG00000160791.13","CCR5",0.9161
"brown","ENSG00000162739.14","SLAMF6",0.9156
"brown","ENSG00000079263.19","SP140",0.9153
"brown","ENSG00000116824.5","CD2",0.915
"brown","ENSG00000089012.14","SIRPG",0.9147
"brown","ENSG00000160185.15","UBASH3A",0.9116
"brown","ENSG00000104894.12","CD37",0.9112
"brown","ENSG00000167286.10","CD3D",0.9108
"brown","ENSG00000101082.14","SLA2",0.9101
"brown","ENSG00000137078.9","SIT1",0.9099
"brown","ENSG00000028137.19","TNFRSF1B",0.9098
"brown","ENSG00000110934.13","BIN2",0.9089
"yellow","ENSG00000120820.12","GLT8D2",0.9314
"yellow","ENSG00000166147.14","FBN1",0.9282
"yellow","ENSG00000204262.14","COL5A2",0.9235
"yellow","ENSG00000163359.16","COL6A3",0.923
"yellow","ENSG00000168542.16","COL3A1",0.9212
"yellow","ENSG00000164692.18","COL1A2",0.9121
"yellow","ENSG00000163430.12","FSTL1",0.9119
"yellow","ENSG00000140937.14","CDH11",0.9107
"yellow","ENSG00000183801.8","OLFML1",0.9051
"yellow","ENSG00000011465.18","DCN",0.905
"yellow","ENSG00000078098.14","FAP",0.9045
"yellow","ENSG00000148848.14","ADAM12",0.9018
"yellow","ENSG00000038427.16","VCAN",0.8992
"yellow","ENSG00000174099.12","MSRB3",0.8987
"yellow","ENSG00000113140.11","SPARC",0.8932
"yellow","ENSG00000122870.12","BICC1",0.8901
"yellow","ENSG00000122707.12","RECK",0.8898
"yellow","ENSG00000106823.12","ECM2",0.8881
"yellow","ENSG00000130635.16","COL5A1",0.8831
"yellow","ENSG00000101825.8","MXRA5",0.8808
"green","ENSG00000147113.17","DIPK2B",0.9097
"green","ENSG00000170989.10","S1PR1",0.9071
"green","ENSG00000157554.19","ERG",0.8975
"green","ENSG00000173269.14","MMRN2",0.8962
"green","ENSG00000164035.10","EMCN",0.8953
"green","ENSG00000183722.9","LHFPL6",0.8909
"green","ENSG00000169744.13","LDB2",0.8897
"green","ENSG00000154721.15","JAM2",0.8856
"green","ENSG00000198844.12","ARHGEF15",0.8821
"green","ENSG00000120279.6","MYCT1",0.8751
"green","ENSG00000186642.16","PDE2A",0.8704
"green","ENSG00000179776.19","CDH5",0.8701
"green","ENSG00000168497.5","CAVIN2",0.867
"green","ENSG00000120156.22","TEK",0.8645
"green","ENSG00000126785.13","RHOJ",0.86
"green","ENSG00000164330.17","EBF1",0.8588
"green","ENSG00000162618.15","ADGRL4",0.8558
"green","ENSG00000102010.15","BMX",0.853
"green","ENSG00000131471.7","AOC3",0.8525
"green","ENSG00000169291.10","SHE",0.8512
"red","ENSG00000187288.12","CIDEC",0.9396
"red","ENSG00000184811.4","TRARG1",0.9311
"red","ENSG00000165269.13","AQP7",0.9294
"red","ENSG00000176194.18","CIDEA",0.9268
"red","ENSG00000167588.13","GPD1",0.9189
"red","ENSG00000184601.11","C14orf180",0.9174
"red","ENSG00000166819.12","PLIN1",0.9168
"red","ENSG00000181092.10","ADIPOQ",0.9131
"red","ENSG00000174697.5","LEP",0.9124
"red","ENSG00000196616.14","ADH1B",0.9019
"red","ENSG00000170323.9","FABP4",0.896
"red","ENSG00000181234.9","TMEM132C",0.8895
"red","ENSG00000149124.11","GLYAT",0.886
"red","ENSG00000120049.20","KCNIP2",0.8853
"red","ENSG00000161649.13","CD300LG",0.8792
"red","ENSG00000165478.7","HEPACAM",0.8748
"red","ENSG00000167676.4","PLIN4",0.8735
"red","ENSG00000135917.16","SLC19A3",0.8734
"red","ENSG00000039537.14","C6",0.8461
"red","ENSG00000123243.15","ITIH5",0.8352
