GeneID	ModuleColor	GeneSymbol
ENSG00000000005.6	blue	TNMD
ENSG00000000460.17	yellow	FIRRM
ENSG00000000971.16	red	CFH
ENSG00000001617.12	green	SEMA3F
ENSG00000002726.21	black	AOC1
ENSG00000003096.14	green	KLHL13
ENSG00000003137.8	green	CYP26B1
ENSG00000003249.15	brown	DBNDD1
ENSG00000003402.20	green	CFLAR
ENSG00000003436.16	blue	TFPI
ENSG00000003989.18	turquoise	SLC7A2
ENSG00000004478.8	green	FKBP4
ENSG00000004776.13	blue	HSPB6
ENSG00000004799.8	blue	PDK4
ENSG00000004838.14	turquoise	ZMYND10
ENSG00000004846.16	blue	ABCB5
ENSG00000004848.8	grey	ARX
ENSG00000004939.15	grey	SLC4A1
ENSG00000004948.16	grey	CALCR
ENSG00000005001.10	green	PRSS22
ENSG00000005020.13	brown	SKAP2
ENSG00000005073.6	red	HOXA11
ENSG00000005102.14	blue	MEOX1
ENSG00000005108.16	blue	THSD7A
ENSG00000005187.12	green	ACSM3
ENSG00000005249.13	grey	PRKAR2B
ENSG00000005381.8	black	MPO
ENSG00000005448.17	green	WDR54
ENSG00000005810.18	brown	MYCBP2
ENSG00000005981.13	grey	ASB4
ENSG00000006118.15	brown	TMEM132A
ENSG00000006128.12	yellow	TAC1
ENSG00000006210.7	turquoise	CX3CL1
ENSG00000006283.18	red	CACNA1G
ENSG00000006327.14	grey	TNFRSF12A
ENSG00000006377.11	turquoise	DLX6
ENSG00000006453.14	blue	BAIAP2L1
ENSG00000006468.14	red	ETV1
ENSG00000006625.18	brown	GGCT
ENSG00000006634.8	yellow	DBF4
ENSG00000006704.11	blue	GTF2IRD1
ENSG00000006788.14	red	MYH13
ENSG00000007174.18	pink	DNAH9
ENSG00000007216.15	grey	SLC13A2
ENSG00000007237.19	red	GAS7
ENSG00000007306.15	turquoise	CEACAM7
ENSG00000007314.12	blue	SCN4A
ENSG00000007350.17	black	TKTL1
ENSG00000007372.24	turquoise	PAX6
ENSG00000007376.8	brown	RPUSD1
ENSG00000007402.12	turquoise	CACNA2D2
ENSG00000007516.14	turquoise	BAIAP3
ENSG00000007541.17	green	PIGQ
ENSG00000007908.16	black	SELE
ENSG00000007952.18	red	NOX1
ENSG00000007968.7	yellow	E2F2
ENSG00000008056.14	grey	SYN1
ENSG00000008283.16	green	CYB561
ENSG00000008300.17	grey	CELSR3
ENSG00000008311.15	brown	AASS
ENSG00000008394.13	grey	MGST1
ENSG00000008516.17	grey	MMP25
ENSG00000008735.14	green	MAPK8IP2
ENSG00000009413.16	brown	REV3L
ENSG00000009694.13	brown	TENM1
ENSG00000009709.12	grey	PAX7
ENSG00000009724.17	grey	MASP2
ENSG00000009765.15	grey	IYD
ENSG00000009950.16	blue	MLXIPL
ENSG00000010030.14	black	ETV7
ENSG00000010282.15	grey	HHATL
ENSG00000010319.7	yellow	SEMA3G
ENSG00000011021.23	brown	CLCN6
ENSG00000011332.19	blue	DPF1
ENSG00000011347.10	black	SYT7
ENSG00000011422.12	turquoise	PLAUR
ENSG00000011426.11	yellow	ANLN
ENSG00000011465.18	red	DCN
ENSG00000011523.14	brown	CEP68
ENSG00000011590.14	black	ZBTB32
ENSG00000011677.13	grey	GABRA3
ENSG00000012048.23	yellow	BRCA1
ENSG00000012822.16	turquoise	CALCOCO1
ENSG00000013293.6	brown	SLC7A14
ENSG00000013297.12	blue	CLDN11
ENSG00000013306.16	brown	SLC25A39
ENSG00000013588.9	turquoise	GPRC5A
ENSG00000013725.14	black	CD6
ENSG00000013810.20	yellow	TACC3
ENSG00000014138.9	brown	POLA2
ENSG00000014164.7	brown	ZC3H3
ENSG00000015413.9	yellow	DPEP1
ENSG00000016490.16	grey	CLCA1
ENSG00000016602.9	green	CLCA4
ENSG00000017427.17	blue	IGF1
ENSG00000017483.15	red	SLC38A5
ENSG00000018280.17	grey	SLC11A1
ENSG00000018625.15	blue	ATP1A2
ENSG00000019144.19	red	PHLDB1
ENSG00000019169.10	turquoise	MARCO
ENSG00000019485.13	grey	PRDM11
ENSG00000019505.8	grey	SYT13
ENSG00000019991.18	red	HGF
ENSG00000020181.18	red	ADGRA2
ENSG00000020577.14	red	SAMD4A
ENSG00000021826.17	brown	CPS1
ENSG00000022267.19	blue	FHL1
ENSG00000022355.18	grey	GABRA1
ENSG00000022556.16	grey	NLRP2
ENSG00000024422.12	yellow	EHD2
ENSG00000024526.17	yellow	DEPDC1
ENSG00000025039.15	turquoise	RRAGD
ENSG00000025423.11	red	HSD17B6
ENSG00000025708.14	black	TYMP
ENSG00000026025.16	green	VIM
ENSG00000026559.14	turquoise	KCNG1
ENSG00000027869.12	black	SH2D2A
ENSG00000029559.7	blue	IBSP
ENSG00000029993.15	yellow	HMGB3
ENSG00000030110.13	yellow	BAK1
ENSG00000031081.11	green	ARHGAP31
ENSG00000033170.17	turquoise	FUT8
ENSG00000034053.14	turquoise	APBA2
ENSG00000034239.11	pink	CLXN
ENSG00000034971.17	blue	MYOC
ENSG00000035499.13	yellow	DEPDC1B
ENSG00000035720.8	black	STAP1
ENSG00000036448.10	grey	MYOM2
ENSG00000036473.8	blue	OTC
ENSG00000036530.9	yellow	CYP46A1
ENSG00000036565.15	grey	SLC18A1
ENSG00000037241.7	brown	RPL26L1
ENSG00000037280.16	blue	FLT4
ENSG00000038295.8	red	TLL1
ENSG00000038427.16	red	VCAN
ENSG00000039537.14	blue	C6
ENSG00000040608.14	brown	RTN4R
ENSG00000041515.16	grey	MYO16
ENSG00000042286.15	brown	AIFM2
ENSG00000042304.12	grey	ENSG00000042304.12
ENSG00000042445.14	turquoise	RETSAT
ENSG00000042493.16	brown	CAPG
ENSG00000042813.8	grey	ZPBP
ENSG00000042832.12	grey	TG
ENSG00000043355.12	grey	ZIC2
ENSG00000043591.6	blue	ADRB1
ENSG00000046653.15	green	GPM6B
ENSG00000046774.10	grey	MAGEC2
ENSG00000046889.19	blue	PREX2
ENSG00000047648.23	blue	ARHGAP6
ENSG00000047936.11	turquoise	ROS1
ENSG00000048540.15	grey	LMO3
ENSG00000048740.18	black	CELF2
ENSG00000049192.15	red	ADAMTS6
ENSG00000049247.14	black	UTS2
ENSG00000049249.9	black	TNFRSF9
ENSG00000049283.18	green	EPN3
ENSG00000049541.11	yellow	RFC2
ENSG00000049768.16	black	FOXP3
ENSG00000050165.18	red	DKK3
ENSG00000050344.9	turquoise	NFE2L3
ENSG00000050438.17	turquoise	SLC4A8
ENSG00000050555.19	grey	LAMC3
