GeneID	ModuleColor	GeneSymbol
ENSG00000000005.6	turquoise	TNMD
ENSG00000000460.17	turquoise	FIRRM
ENSG00000000971.16	turquoise	CFH
ENSG00000001617.12	brown	SEMA3F
ENSG00000002726.21	grey	AOC1
ENSG00000003096.14	blue	KLHL13
ENSG00000003137.8	turquoise	CYP26B1
ENSG00000003249.15	turquoise	DBNDD1
ENSG00000003402.20	yellow	CFLAR
ENSG00000003436.16	turquoise	TFPI
ENSG00000003989.18	turquoise	SLC7A2
ENSG00000004478.8	turquoise	FKBP4
ENSG00000004776.13	turquoise	HSPB6
ENSG00000004799.8	turquoise	PDK4
ENSG00000004838.14	turquoise	ZMYND10
ENSG00000004846.16	brown	ABCB5
ENSG00000004848.8	turquoise	ARX
ENSG00000004939.15	turquoise	SLC4A1
ENSG00000004948.16	grey	CALCR
ENSG00000005001.10	blue	PRSS22
ENSG00000005020.13	yellow	SKAP2
ENSG00000005073.6	blue	HOXA11
ENSG00000005102.14	turquoise	MEOX1
ENSG00000005108.16	turquoise	THSD7A
ENSG00000005187.12	blue	ACSM3
ENSG00000005249.13	turquoise	PRKAR2B
ENSG00000005381.8	turquoise	MPO
ENSG00000005448.17	yellow	WDR54
ENSG00000005810.18	yellow	MYCBP2
ENSG00000005981.13	red	ASB4
ENSG00000006118.15	turquoise	TMEM132A
ENSG00000006128.12	blue	TAC1
ENSG00000006210.7	blue	CX3CL1
ENSG00000006283.18	turquoise	CACNA1G
ENSG00000006327.14	yellow	TNFRSF12A
ENSG00000006377.11	grey	DLX6
ENSG00000006453.14	blue	BAIAP2L1
ENSG00000006468.14	turquoise	ETV1
ENSG00000006625.18	turquoise	GGCT
ENSG00000006634.8	turquoise	DBF4
ENSG00000006704.11	brown	GTF2IRD1
ENSG00000006788.14	turquoise	MYH13
ENSG00000007174.18	turquoise	DNAH9
ENSG00000007216.15	blue	SLC13A2
ENSG00000007237.19	turquoise	GAS7
ENSG00000007306.15	blue	CEACAM7
ENSG00000007314.12	turquoise	SCN4A
ENSG00000007350.17	turquoise	TKTL1
ENSG00000007372.24	grey	PAX6
ENSG00000007376.8	brown	RPUSD1
ENSG00000007402.12	blue	CACNA2D2
ENSG00000007516.14	yellow	BAIAP3
ENSG00000007541.17	brown	PIGQ
ENSG00000007908.16	turquoise	SELE
ENSG00000007952.18	turquoise	NOX1
ENSG00000007968.7	green	E2F2
ENSG00000008056.14	red	SYN1
ENSG00000008283.16	turquoise	CYB561
ENSG00000008300.17	turquoise	CELSR3
ENSG00000008311.15	yellow	AASS
ENSG00000008394.13	turquoise	MGST1
ENSG00000008516.17	turquoise	MMP25
ENSG00000008735.14	turquoise	MAPK8IP2
ENSG00000009413.16	yellow	REV3L
ENSG00000009694.13	yellow	TENM1
ENSG00000009709.12	red	PAX7
ENSG00000009724.17	turquoise	MASP2
ENSG00000009765.15	turquoise	IYD
ENSG00000009950.16	turquoise	MLXIPL
ENSG00000010030.14	turquoise	ETV7
ENSG00000010282.15	red	HHATL
ENSG00000010319.7	turquoise	SEMA3G
ENSG00000011021.23	yellow	CLCN6
ENSG00000011332.19	turquoise	DPF1
ENSG00000011347.10	blue	SYT7
ENSG00000011422.12	turquoise	PLAUR
ENSG00000011426.11	green	ANLN
ENSG00000011465.18	turquoise	DCN
ENSG00000011523.14	yellow	CEP68
ENSG00000011590.14	turquoise	ZBTB32
ENSG00000011677.13	grey	GABRA3
ENSG00000012048.23	green	BRCA1
ENSG00000012822.16	turquoise	CALCOCO1
ENSG00000013293.6	turquoise	SLC7A14
ENSG00000013297.12	blue	CLDN11
ENSG00000013306.16	brown	SLC25A39
ENSG00000013588.9	grey	GPRC5A
ENSG00000013725.14	turquoise	CD6
ENSG00000013810.20	green	TACC3
ENSG00000014138.9	yellow	POLA2
ENSG00000014164.7	brown	ZC3H3
ENSG00000015413.9	grey	DPEP1
ENSG00000016490.16	turquoise	CLCA1
ENSG00000016602.9	blue	CLCA4
ENSG00000017427.17	turquoise	IGF1
ENSG00000017483.15	turquoise	SLC38A5
ENSG00000018280.17	turquoise	SLC11A1
ENSG00000018625.15	turquoise	ATP1A2
ENSG00000019144.19	turquoise	PHLDB1
ENSG00000019169.10	turquoise	MARCO
ENSG00000019485.13	turquoise	PRDM11
ENSG00000019505.8	blue	SYT13
ENSG00000019991.18	brown	HGF
ENSG00000020181.18	turquoise	ADGRA2
ENSG00000020577.14	turquoise	SAMD4A
ENSG00000021826.17	yellow	CPS1
ENSG00000022267.19	turquoise	FHL1
ENSG00000022355.18	grey	GABRA1
ENSG00000022556.16	blue	NLRP2
ENSG00000024422.12	turquoise	EHD2
ENSG00000024526.17	green	DEPDC1
ENSG00000025039.15	blue	RRAGD
ENSG00000025423.11	turquoise	HSD17B6
ENSG00000025708.14	brown	TYMP
ENSG00000026025.16	turquoise	VIM
ENSG00000026559.14	turquoise	KCNG1
ENSG00000027869.12	turquoise	SH2D2A
ENSG00000029559.7	grey	IBSP
ENSG00000029993.15	green	HMGB3
ENSG00000030110.13	brown	BAK1
ENSG00000031081.11	turquoise	ARHGAP31
ENSG00000033170.17	turquoise	FUT8
ENSG00000034053.14	turquoise	APBA2
ENSG00000034239.11	blue	CLXN
ENSG00000034971.17	turquoise	MYOC
ENSG00000035499.13	green	DEPDC1B
ENSG00000035720.8	grey	STAP1
ENSG00000036448.10	grey	MYOM2
ENSG00000036473.8	turquoise	OTC
ENSG00000036530.9	turquoise	CYP46A1
ENSG00000036565.15	grey	SLC18A1
ENSG00000037241.7	grey	RPL26L1
ENSG00000037280.16	turquoise	FLT4
ENSG00000038295.8	turquoise	TLL1
ENSG00000038427.16	turquoise	VCAN
ENSG00000039537.14	turquoise	C6
ENSG00000040608.14	yellow	RTN4R
ENSG00000041515.16	turquoise	MYO16
ENSG00000042286.15	turquoise	AIFM2
ENSG00000042304.12	turquoise	ENSG00000042304.12
ENSG00000042445.14	turquoise	RETSAT
ENSG00000042493.16	yellow	CAPG
ENSG00000042813.8	turquoise	ZPBP
ENSG00000042832.12	grey	TG
ENSG00000043355.12	grey	ZIC2
ENSG00000043591.6	turquoise	ADRB1
ENSG00000046653.15	blue	GPM6B
ENSG00000046774.10	grey	MAGEC2
ENSG00000046889.19	turquoise	PREX2
ENSG00000047648.23	turquoise	ARHGAP6
ENSG00000047936.11	grey	ROS1
ENSG00000048540.15	turquoise	LMO3
ENSG00000048740.18	turquoise	CELF2
ENSG00000049192.15	turquoise	ADAMTS6
ENSG00000049247.14	grey	UTS2
ENSG00000049249.9	grey	TNFRSF9
ENSG00000049283.18	blue	EPN3
ENSG00000049541.11	brown	RFC2
ENSG00000049768.16	turquoise	FOXP3
ENSG00000050165.18	blue	DKK3
ENSG00000050344.9	grey	NFE2L3
ENSG00000050438.17	blue	SLC4A8
ENSG00000050555.19	blue	LAMC3
ENSG00000050628.20	turquoise	PTGER3
ENSG00000050730.16	turquoise	TNIP3
ENSG00000050767.17	turquoise	COL23A1
ENSG00000051128.19	brown	HOMER3
ENSG00000051180.17	green	RAD51
ENSG00000051341.14	green	POLQ
ENSG00000052344.16	blue	PRSS8
ENSG00000052850.8	blue	ALX4
ENSG00000053108.17	blue	FSTL4
ENSG00000053254.16	yellow	FOXN3
ENSG00000053328.8	brown	METTL24
ENSG00000053438.11	turquoise	NNAT
ENSG00000053702.15	turquoise	NRIP2
ENSG00000053747.17	blue	LAMA3
ENSG00000054356.14	turquoise	PTPRN
ENSG00000054803.4	grey	CBLN4
ENSG00000054967.13	red	RELT
ENSG00000055118.16	turquoise	KCNH2
ENSG00000055163.20	turquoise	CYFIP2
ENSG00000055813.6	turquoise	CCDC85A
ENSG00000056291.17	grey	NPFFR2
ENSG00000056487.16	blue	PHF21B
ENSG00000056998.20	turquoise	GYG2
ENSG00000057149.16	grey	SERPINB3
ENSG00000057593.14	turquoise	F7
ENSG00000057704.13	turquoise	TMCC3
ENSG00000058085.15	blue	LAMC2
ENSG00000058335.16	blue	RASGRF1
ENSG00000058668.15	turquoise	ATP2B4
ENSG00000059573.9	turquoise	ALDH18A1
ENSG00000059915.17	turquoise	PSD
ENSG00000060566.14	grey	CREB3L3
ENSG00000060718.22	turquoise	COL11A1
ENSG00000061492.12	turquoise	WNT8A
ENSG00000061656.10	turquoise	SPAG4
ENSG00000062282.15	turquoise	DGAT2
ENSG00000063015.20	grey	SEZ6
ENSG00000063515.3	turquoise	GSC2
ENSG00000064042.18	turquoise	LIMCH1
ENSG00000064195.7	blue	DLX3
ENSG00000064205.10	turquoise	CCN5
ENSG00000064218.5	turquoise	DMRT3
ENSG00000064270.13	blue	ATP2C2
ENSG00000064300.9	turquoise	NGFR
ENSG00000064547.14	blue	LPAR2
ENSG00000064692.20	brown	SNCAIP
ENSG00000064787.13	blue	BCAS1
ENSG00000064989.13	turquoise	CALCRL
ENSG00000065057.9	brown	NTHL1
ENSG00000065325.13	turquoise	GLP2R
ENSG00000065328.17	green	MCM10
ENSG00000065361.16	blue	ERBB3
ENSG00000065534.19	blue	MYLK
ENSG00000065600.13	turquoise	PACC1
ENSG00000065618.21	blue	COL17A1
ENSG00000065833.9	turquoise	ME1
ENSG00000065911.13	turquoise	MTHFD2
ENSG00000066032.18	grey	CTNNA2
ENSG00000066056.14	turquoise	TIE1
ENSG00000066279.18	green	ASPM
ENSG00000066382.16	red	MPPED2
ENSG00000066735.14	turquoise	KIF26A
ENSG00000066813.14	turquoise	ACSM2B
ENSG00000067082.15	grey	KLF6
ENSG00000067113.17	turquoise	PLPP1
ENSG00000067715.14	turquoise	SYT1
ENSG00000067836.13	yellow	ROGDI
ENSG00000067842.17	turquoise	ATP2B3
ENSG00000068078.20	turquoise	FGFR3
ENSG00000068079.8	turquoise	IFI35
ENSG00000068366.20	yellow	ACSL4
ENSG00000068489.13	green	PRR11
ENSG00000068615.19	turquoise	REEP1
ENSG00000068781.21	turquoise	STON1-GTF2A1L
ENSG00000068976.14	turquoise	PYGM
ENSG00000068985.5	grey	PAGE1
ENSG00000069011.16	brown	PITX1
ENSG00000069018.19	grey	TRPC7
ENSG00000069122.19	turquoise	ADGRF5
ENSG00000069399.15	grey	BCL3
ENSG00000069431.11	turquoise	ABCC9
ENSG00000069482.7	yellow	GAL
ENSG00000069696.7	brown	DRD4
ENSG00000069702.11	yellow	TGFBR3
ENSG00000069764.10	blue	PLA2G10
ENSG00000069812.11	blue	HES2
ENSG00000070031.4	red	SCT
ENSG00000070182.21	turquoise	SPTB
ENSG00000070501.12	turquoise	POLB
ENSG00000070601.10	grey	FRMPD1
ENSG00000070748.19	grey	CHAT
ENSG00000070778.13	yellow	PTPN21
ENSG00000070808.16	red	CAMK2A
ENSG00000070886.12	turquoise	EPHA8
ENSG00000070915.10	turquoise	SLC12A3
ENSG00000070985.13	turquoise	TRPM5
ENSG00000071205.12	turquoise	ARHGAP10
ENSG00000071242.12	turquoise	RPS6KA2
ENSG00000071539.14	green	TRIP13
ENSG00000071553.18	turquoise	ATP6AP1
ENSG00000071677.1	turquoise	PRLH
ENSG00000071909.19	turquoise	MYO3B
ENSG00000071967.12	yellow	CYBRD1
ENSG00000072041.17	grey	SLC6A15
ENSG00000072163.20	turquoise	LIMS2
ENSG00000072182.13	turquoise	ASIC4
ENSG00000072274.13	grey	TFRC
ENSG00000072310.17	brown	SREBF1
ENSG00000072571.20	green	HMMR
ENSG00000072657.9	turquoise	TRHDE
ENSG00000072952.19	brown	IRAG1
ENSG00000073067.14	grey	CYP2W1
ENSG00000073111.14	turquoise	MCM2
ENSG00000073150.14	turquoise	PANX2
ENSG00000073282.14	blue	TP63
ENSG00000073350.14	turquoise	LLGL2
ENSG00000073464.13	turquoise	CLCN4
